"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",37,"Atlanta",2007-11-02,210,100,100,100,-100,100,-100,100,100,-100,210,100,100,100,-100,100,-100,100,100,-100
"2",76,"Atlanta",2007-11-04,-100,100,100,-100,100,-100,100,100,-100,100,110,200,200,0,0,0,0,200,0,0
"3",88,"Atlanta",2007-11-06,-100,-100,-100,-100,100,-100,100,100,-100,100,10,100,100,-100,100,-100,100,300,-100,100
"4",107,"Atlanta",2007-11-07,190,100,100,-100,100,-100,100,100,-100,100,200,200,200,-200,200,-200,200,400,-200,200
"5",134,"Atlanta",2007-11-09,-100,-100,-100,-100,100,-100,100,-100,-100,100,100,100,100,-300,300,-300,300,300,-300,300
"6",169,"Atlanta",2007-11-11,-100,-100,-100,-100,100,-100,100,-100,0,0,0,0,0,-400,400,-400,400,200,-300,300
"7",211,"Atlanta",2007-11-14,41.6666666666667,100,100,100,-100,100,-100,-100,100,-100,41.6666666666667,100,100,-300,300,-300,300,100,-200,200
"8",245,"Atlanta",2007-11-16,-100,-100,-100,100,-100,100,-100,100,100,-100,-58.3333333333333,0,0,-200,200,-200,200,200,-100,100
"9",270,"Atlanta",2007-11-17,-100,-100,-100,100,-100,100,-100,100,-100,100,-158.333333333333,-100,-100,-100,100,-100,100,300,-200,200
"10",301,"Atlanta",2007-11-20,-100,-100,-100,-100,100,-100,100,100,-100,100,-258.333333333333,-200,-200,-200,200,-200,200,400,-300,300
"11",318,"Atlanta",2007-11-21,360,100,100,-100,100,-100,100,100,-100,100,101.666666666667,-100,-100,-300,300,-300,300,500,-400,400
"12",372,"Atlanta",2007-11-24,51.2820512820513,100,100,-100,100,-100,100,100,-100,100,152.948717948718,0,0,-400,400,-400,400,600,-500,500
"13",414,"Atlanta",2007-11-27,-100,-100,-100,-100,100,-100,100,-100,100,-100,52.948717948718,-100,-100,-500,500,-500,500,500,-400,400
"14",423,"Atlanta",2007-11-28,58.8235294117647,100,100,-100,100,-100,100,100,-100,100,111.772247360483,0,0,-600,600,-600,600,600,-500,500
"15",449,"Atlanta",2007-11-30,-100,-100,-100,-100,100,-100,100,-100,-100,100,11.7722473604827,-100,-100,-700,700,-700,700,500,-600,600
"16",498,"Atlanta",2007-12-03,135,100,100,-100,100,-100,100,100,-100,100,146.772247360483,0,0,-800,800,-800,800,600,-700,700
"17",511,"Atlanta",2007-12-04,-100,-100,-100,100,-100,100,-100,-100,100,-100,46.7722473604827,-100,-100,-700,700,-700,700,500,-600,600
"18",543,"Atlanta",2007-12-06,22.2222222222222,-100,-100,-100,100,-100,100,-100,-100,100,68.9944695827049,-200,-200,-800,800,-800,800,400,-700,700
"19",573,"Atlanta",2007-12-08,52.6315789473684,100,100,-100,100,-100,100,-100,-100,100,121.626048530073,-100,-100,-900,900,-900,900,300,-800,800
"20",600,"Atlanta",2007-12-10,500,100,100,-100,100,-100,100,100,-100,100,621.626048530073,0,0,-1000,1000,-1000,1000,400,-900,900
"21",613,"Atlanta",2007-12-11,-100,-100,-100,100,-100,100,-100,-100,-100,100,521.626048530073,-100,-100,-900,900,-900,900,300,-1000,1000
"22",660,"Atlanta",2007-12-14,-100,100,-100,-100,100,-100,100,100,0,0,421.626048530073,0,-200,-1000,1000,-1000,1000,400,-1000,1000
"23",679,"Atlanta",2007-12-15,38.4615384615385,100,100,-100,100,-100,100,-100,-100,100,460.087586991612,100,-100,-1100,1100,-1100,1100,300,-1100,1100
"24",705,"Atlanta",2007-12-17,145,100,100,100,-100,100,-100,100,100,-100,605.087586991612,200,0,-1000,1000,-1000,1000,400,-1000,1000
"25",731,"Atlanta",2007-12-19,76.9230769230769,100,100,100,-100,100,-100,-100,100,-100,682.010663914689,300,100,-900,900,-900,900,300,-900,900
"26",768,"Atlanta",2007-12-21,165,100,100,-100,100,-100,100,100,-100,100,847.010663914689,400,200,-1000,1000,-1000,1000,400,-1000,1000
"27",815,"Atlanta",2007-12-26,66.6666666666667,100,100,100,-100,-100,100,100,100,-100,913.677330581355,500,300,-900,900,-1100,1100,500,-900,900
"28",866,"Atlanta",2007-12-29,-100,-100,-100,-100,100,-100,100,100,-100,100,813.677330581355,400,200,-1000,1000,-1200,1200,600,-1000,1000
"29",918,"Atlanta",2008-01-02,-100,100,100,100,-100,100,-100,-100,100,-100,713.677330581355,500,300,-900,900,-1100,1100,500,-900,900
"30",946,"Atlanta",2008-01-04,-100,-100,-100,100,-100,100,-100,-100,100,-100,613.677330581355,400,200,-800,800,-1000,1000,400,-800,800
"31",965,"Atlanta",2008-01-05,-100,-100,-100,100,-100,100,-100,-100,100,-100,513.677330581355,300,100,-700,700,-900,900,300,-700,700
"32",1017,"Atlanta",2008-01-09,64.5161290322581,100,100,-100,100,-100,100,100,100,-100,578.193459613613,400,200,-800,800,-1000,1000,400,-600,600
"33",1047,"Atlanta",2008-01-11,-100,-100,-100,100,-100,100,-100,100,100,-100,478.193459613613,300,100,-700,700,-900,900,500,-500,500
"34",1081,"Atlanta",2008-01-13,57.1428571428571,100,100,100,-100,100,-100,100,-100,100,535.336316756471,400,200,-600,600,-800,800,600,-600,600
"35",1107,"Atlanta",2008-01-15,66.6666666666667,100,100,-100,100,-100,100,-100,-100,100,602.002983423137,500,300,-700,700,-900,900,500,-700,700
"36",1134,"Atlanta",2008-01-16,-100,-100,-100,-100,100,-100,100,-100,-100,100,502.002983423137,400,200,-800,800,-1000,1000,400,-800,800
"37",1148,"Atlanta",2008-01-18,-100,-100,-100,-100,100,-100,100,-100,-100,100,402.002983423137,300,100,-900,900,-1100,1100,300,-900,900
"38",1193,"Atlanta",2008-01-21,-100,-100,-100,100,-100,100,-100,100,100,-100,302.002983423137,200,0,-800,800,-1000,1000,400,-800,800
"39",1236,"Atlanta",2008-01-23,-100,-100,-100,100,-100,100,-100,100,100,-100,202.002983423137,100,-100,-700,700,-900,900,500,-700,700
"40",1272,"Atlanta",2008-01-25,58.8235294117647,100,100,-100,100,-100,100,-100,100,-100,260.826512834902,200,0,-800,800,-1000,1000,400,-600,600
"41",1290,"Atlanta",2008-01-27,-100,100,100,100,-100,100,-100,-100,100,-100,160.826512834902,300,100,-700,700,-900,900,300,-500,500
"42",1322,"Atlanta",2008-01-29,-100,-100,-100,100,-100,100,-100,-100,100,-100,60.826512834902,200,0,-600,600,-800,800,200,-400,400
"43",1346,"Atlanta",2008-01-30,-100,-100,-100,-100,100,-100,100,-100,-100,100,-39.173487165098,100,-100,-700,700,-900,900,100,-500,500
"44",1375,"Atlanta",2008-02-02,33.3333333333333,100,100,100,-100,100,-100,-100,100,-100,-5.84015383176471,200,0,-600,600,-800,800,0,-400,400
"45",1393,"Atlanta",2008-02-04,51.2820512820513,-100,100,-100,100,-100,100,100,-100,100,45.4418974502866,100,100,-700,700,-900,900,100,-500,500
"46",1421,"Atlanta",2008-02-06,155,100,100,-100,100,-100,100,100,-100,100,200.441897450287,200,200,-800,800,-1000,1000,200,-600,600
"47",1457,"Atlanta",2008-02-08,-100,-100,-100,100,-100,100,-100,-100,-100,100,100.441897450287,100,100,-700,700,-900,900,100,-700,700
"48",1478,"Atlanta",2008-02-09,-100,-100,-100,100,-100,100,-100,100,100,-100,0.441897450286575,0,0,-600,600,-800,800,200,-600,600
"49",1513,"Atlanta",2008-02-12,-100,100,100,-100,100,100,-100,100,-100,100,-99.5581025497134,100,100,-700,700,-700,700,300,-700,700
"50",1534,"Atlanta",2008-02-13,-100,-100,-100,100,-100,100,-100,-100,-100,100,-199.558102549713,0,0,-600,600,-600,600,200,-800,800
"51",1568,"Atlanta",2008-02-19,-100,-100,-100,100,-100,100,-100,100,100,-100,-299.558102549713,-100,-100,-500,500,-500,500,300,-700,700
"52",1584,"Atlanta",2008-02-20,-100,-100,-100,100,-100,100,-100,-100,100,-100,-399.558102549713,-200,-200,-400,400,-400,400,200,-600,600
