"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",41,"Boston",2007-11-02,29.8507462686567,100,100,-100,100,-100,100,100,-100,100,29.8507462686567,100,100,-100,100,-100,100,100,-100,100
"2",68,"Boston",2007-11-04,105,100,100,100,-100,-100,100,-100,-100,100,134.850746268657,200,200,0,0,-200,200,0,-200,200
"3",113,"Boston",2007-11-07,33.8983050847458,100,100,100,-100,100,-100,-100,-100,100,168.749051353402,300,300,100,-100,-100,100,-100,-300,300
"4",133,"Boston",2007-11-09,23.2558139534884,100,100,-100,100,-100,100,100,-100,100,192.004865306891,400,400,0,0,-200,200,0,-400,400
"5",160,"Boston",2007-11-10,66.6666666666667,100,100,100,-100,100,-100,100,100,-100,258.671531973558,500,500,100,-100,-100,100,100,-300,300
"6",194,"Boston",2007-11-13,33.3333333333333,100,100,-100,100,-100,100,100,-100,100,292.004865306891,600,600,0,0,-200,200,200,-400,400
"7",215,"Boston",2007-11-14,15.3846153846154,100,100,-100,100,-100,100,100,-100,100,307.389480691506,700,700,-100,100,-300,300,300,-500,500
"8",239,"Boston",2007-11-16,15.3846153846154,-100,-100,-100,100,0,0,-100,-100,100,322.774096076122,600,600,-200,200,-300,300,200,-600,600
"9",282,"Boston",2007-11-18,-100,-100,-100,100,-100,100,-100,100,100,-100,222.774096076122,500,500,-100,100,-200,200,300,-500,500
"10",313,"Boston",2007-11-21,12.1951219512195,100,100,-100,100,-100,100,100,-100,100,234.969218027341,600,600,-200,200,-300,300,400,-600,600
"11",341,"Boston",2007-11-23,27.7777777777778,100,100,-100,100,-100,100,-100,100,-100,262.746995805119,700,700,-300,300,-400,400,300,-500,500
"12",366,"Boston",2007-11-24,30.3030303030303,-100,-100,100,-100,100,-100,-100,-100,100,293.050026108149,600,600,-200,200,-300,300,200,-600,600
"13",406,"Boston",2007-11-27,-100,-100,-100,100,-100,100,-100,-100,-100,100,193.050026108149,500,500,-100,100,-200,200,100,-700,700
"14",439,"Boston",2007-11-29,10,100,100,-100,100,-100,100,100,-100,100,203.050026108149,600,600,-200,200,-300,300,200,-800,800
"15",456,"Boston",2007-11-30,68.9655172413793,100,100,-100,100,-100,100,-100,-100,100,272.015543349529,700,700,-300,300,-400,400,100,-900,900
"16",481,"Boston",2007-12-02,3.57142857142857,-100,-100,-100,100,-100,100,-100,-100,100,275.586971920957,600,600,-400,400,-500,500,0,-1000,1000
"17",522,"Boston",2007-12-05,18.1818181818182,100,100,100,-100,100,-100,100,100,-100,293.768790102775,700,700,-300,300,-400,400,100,-900,900
"18",557,"Boston",2007-12-07,7.69230769230769,100,100,100,-100,100,-100,100,100,-100,301.461097795083,800,800,-200,200,-300,300,200,-800,800
"19",582,"Boston",2007-12-08,41.6666666666667,100,100,-100,100,-100,100,100,-100,100,343.12776446175,900,900,-300,300,-400,400,300,-900,900
"20",633,"Boston",2007-12-12,4.16666666666667,-100,-100,-100,100,-100,100,100,-100,100,347.294431128416,800,800,-400,400,-500,500,400,-1000,1000
"21",657,"Boston",2007-12-14,8.33333333333333,100,100,-100,100,-100,100,100,100,-100,355.62776446175,900,900,-500,500,-600,600,500,-900,900
"22",700,"Boston",2007-12-16,90.9090909090909,100,100,-100,100,-100,100,100,-100,100,446.536855370841,1000,1000,-600,600,-700,700,600,-1000,1000
"23",735,"Boston",2007-12-19,-100,-100,-100,-100,100,-100,100,-100,-100,100,346.536855370841,900,900,-700,700,-800,800,500,-1100,1100
"24",765,"Boston",2007-12-21,18.1818181818182,100,100,100,-100,100,-100,100,100,-100,364.718673552659,1000,1000,-600,600,-700,700,600,-1000,1000
"25",803,"Boston",2007-12-23,17.8571428571429,100,100,100,-100,100,-100,100,100,-100,382.575816409802,1100,1100,-500,500,-600,600,700,-900,900
"26",832,"Boston",2007-12-26,28.5714285714286,100,100,-100,100,-100,100,-100,-100,100,411.14724498123,1200,1200,-600,600,-700,700,600,-1000,1000
"27",840,"Boston",2007-12-27,16.1290322580645,-100,-100,100,-100,100,-100,100,100,-100,427.276277239295,1100,1100,-500,500,-600,600,700,-900,900
"28",880,"Boston",2007-12-29,42.5531914893617,100,100,100,-100,100,-100,100,-100,100,469.829468728656,1200,1200,-400,400,-500,500,800,-1000,1000
"29",894,"Boston",2007-12-30,135,100,100,100,-100,100,-100,100,100,-100,604.829468728656,1300,1300,-300,300,-400,400,900,-900,900
"30",921,"Boston",2008-01-02,10,-100,-100,100,-100,100,-100,-100,100,-100,614.829468728656,1200,1200,-200,200,-300,300,800,-800,800
"31",947,"Boston",2008-01-04,6.66666666666667,-100,-100,-100,100,100,-100,-100,100,-100,621.496135395323,1100,1100,-300,300,-200,200,700,-700,700
"32",968,"Boston",2008-01-05,110,100,100,-100,100,-100,100,100,100,-100,731.496135395323,1200,1200,-400,400,-300,300,800,-600,600
"33",1023,"Boston",2008-01-09,-100,-100,-100,-100,100,-100,100,-100,-100,100,631.496135395323,1100,1100,-500,500,-400,400,700,-700,700
"34",1052,"Boston",2008-01-11,33.3333333333333,100,100,-100,100,-100,100,100,-100,100,664.829468728656,1200,1200,-600,600,-500,500,800,-800,800
"35",1068,"Boston",2008-01-12,-100,-100,-100,-100,100,-100,100,-100,-100,100,564.829468728656,1100,1100,-700,700,-600,600,700,-900,900
"36",1093,"Boston",2008-01-14,-100,-100,-100,-100,100,-100,100,-100,100,-100,464.829468728656,1000,1000,-800,800,-700,700,600,-800,800
"37",1129,"Boston",2008-01-16,27.7777777777778,100,100,100,-100,100,-100,100,100,-100,492.607246506434,1100,1100,-700,700,-600,600,700,-700,700
"38",1149,"Boston",2008-01-18,13.4228187919463,100,100,100,-100,100,-100,100,0,0,506.03006529838,1200,1200,-600,600,-500,500,800,-700,700
"39",1192,"Boston",2008-01-21,25,100,100,100,-100,100,-100,100,100,-100,531.03006529838,1300,1300,-500,500,-400,400,900,-600,600
"40",1223,"Boston",2008-01-23,-100,-100,-100,100,-100,100,-100,-100,100,-100,431.03006529838,1200,1200,-400,400,-300,300,800,-500,500
"41",1255,"Boston",2008-01-25,5.88235294117647,-100,-100,-100,100,-100,100,-100,-100,100,436.912418239557,1100,1100,-500,500,-400,400,700,-600,600
"42",1286,"Boston",2008-01-27,-100,100,-100,-100,100,-100,100,-100,100,-100,336.912418239557,1200,1000,-600,600,-500,500,600,-500,500
"43",1314,"Boston",2008-01-29,52.6315789473684,100,100,100,-100,100,-100,100,100,-100,389.543997186925,1300,1100,-500,500,-400,400,700,-400,400
"44",1349,"Boston",2008-01-31,110,100,100,100,-100,-100,100,100,100,-100,499.543997186925,1400,1200,-400,400,-500,500,800,-300,300
"45",1412,"Boston",2008-02-05,-100,100,100,100,-100,100,-100,100,100,-100,399.543997186925,1500,1300,-300,300,-400,400,900,-200,200
"46",1427,"Boston",2008-02-06,27.7777777777778,100,100,100,-100,100,-100,-100,100,-100,427.321774964703,1600,1400,-200,200,-300,300,800,-100,100
"47",1462,"Boston",2008-02-08,40.8163265306122,-100,-100,-100,100,-100,100,100,-100,100,468.138101495315,1500,1300,-300,300,-400,400,900,-200,200
"48",1495,"Boston",2008-02-10,120,100,100,100,-100,100,-100,100,100,-100,588.138101495315,1600,1400,-200,200,-300,300,1000,-100,100
"49",1516,"Boston",2008-02-12,57.1428571428571,100,100,100,-100,-100,100,100,-100,100,645.280958638173,1700,1500,-100,100,-400,400,1100,-200,200
"50",1537,"Boston",2008-02-13,22.7272727272727,-100,-100,100,-100,100,-100,-100,100,-100,668.008231365445,1600,1400,0,0,-300,300,1000,-100,100
"51",1588,"Boston",2008-02-20,-100,-100,-100,100,-100,100,-100,-100,100,-100,568.008231365445,1500,1300,100,-100,-200,200,900,0,0
"52",1618,"Boston",2008-02-22,-100,-100,-100,-100,100,-100,100,100,-100,100,468.008231365445,1400,1200,0,0,-300,300,1000,-100,100
"53",1642,"Boston",2008-02-24,41.6666666666667,100,100,100,-100,100,-100,100,100,-100,509.674898032112,1500,1300,100,-100,-200,200,1100,0,0
"54",1662,"Boston",2008-02-25,22.9885057471264,100,100,-100,100,-100,100,100,100,-100,532.663403779238,1600,1400,0,0,-300,300,1200,100,-100
"55",1689,"Boston",2008-02-27,20,-100,-100,-100,100,-100,100,-100,-100,100,552.663403779238,1500,1300,-100,100,-400,400,1100,0,0
"56",1707,"Boston",2008-02-28,2.5,-100,-100,100,-100,100,-100,-100,100,-100,555.163403779238,1400,1200,0,0,-300,300,1000,100,-100
"57",1743,"Boston",2008-03-02,10.8108108108108,-100,-100,-100,100,-100,100,100,-100,100,565.974214590049,1300,1100,-100,100,-400,400,1100,0,0
"58",1791,"Boston",2008-03-05,57.1428571428571,100,100,-100,100,-100,100,100,-100,100,623.117071732906,1400,1200,-200,200,-500,500,1200,-100,100
"59",1823,"Boston",2008-03-07,12.5,100,100,100,-100,100,-100,100,100,-100,635.617071732906,1500,1300,-100,100,-400,400,1300,0,0
"60",1848,"Boston",2008-03-08,12.5,100,100,100,-100,100,-100,100,100,-100,648.117071732906,1600,1400,0,0,-300,300,1400,100,-100
"61",1872,"Boston",2008-03-10,40.8163265306122,100,100,-100,100,-100,100,100,-100,100,688.933398263519,1700,1500,-100,100,-400,400,1500,0,0
"62",1899,"Boston",2008-03-12,2,100,100,-100,100,-100,100,100,-100,100,690.933398263519,1800,1600,-200,200,-500,500,1600,-100,100
"63",1921,"Boston",2008-03-14,-100,-100,-100,-100,100,-100,100,-100,-100,100,590.933398263519,1700,1500,-300,300,-600,600,1500,-200,200
"64",1950,"Boston",2008-03-15,21.505376344086,100,100,-100,100,-100,100,100,-100,100,612.438774607605,1800,1600,-400,400,-700,700,1600,-300,300
"65",1984,"Boston",2008-03-17,175,100,100,100,-100,100,-100,100,-100,100,787.438774607605,1900,1700,-300,300,-600,600,1700,-400,400
"66",1996,"Boston",2008-03-18,155,100,100,-100,100,-100,100,100,-100,100,942.438774607605,2000,1800,-400,400,-700,700,1800,-500,500
"67",2024,"Boston",2008-03-20,145,100,100,-100,100,-100,100,100,-100,100,1087.4387746076,2100,1900,-500,500,-800,800,1900,-600,600
"68",2054,"Boston",2008-03-22,-100,-100,-100,100,-100,100,-100,-100,100,-100,987.438774607605,2000,1800,-400,400,-700,700,1800,-500,500
"69",2077,"Boston",2008-03-24,-100,-100,-100,-100,100,-100,100,-100,-100,100,887.438774607605,1900,1700,-500,500,-800,800,1700,-600,600
"70",2115,"Boston",2008-03-26,110,100,100,100,-100,100,-100,100,100,-100,997.438774607605,2000,1800,-400,400,-700,700,1800,-500,500
"71",2141,"Boston",2008-03-28,33.3333333333333,100,100,100,-100,100,-100,100,-100,100,1030.77210794094,2100,1900,-300,300,-600,600,1900,-600,600
"72",2206,"Boston",2008-04-01,30.7692307692308,100,100,0,0,100,-100,100,100,-100,1061.54133871017,2200,2000,-300,300,-500,500,2000,-500,500
"73",2219,"Boston",2008-04-02,11.1111111111111,100,100,-100,100,-100,100,-100,-100,100,1072.65244982128,2300,2100,-400,400,-600,600,1900,-600,600
"74",2264,"Boston",2008-04-05,76.9230769230769,100,100,-100,100,-100,100,100,-100,100,1149.57552674436,2400,2200,-500,500,-700,700,2000,-700,700
"75",2304,"Boston",2008-04-08,26.6666666666667,-100,-100,100,-100,100,-100,-100,-100,100,1176.24219341102,2300,2100,-400,400,-600,600,1900,-800,800
"76",2314,"Boston",2008-04-09,-100,-100,-100,100,-100,100,-100,-100,-100,100,1076.24219341102,2200,2000,-300,300,-500,500,1800,-900,900
"77",2347,"Boston",2008-04-11,5,100,100,-100,100,-100,100,-100,-100,100,1081.24219341102,2300,2100,-400,400,-600,600,1700,-1000,1000
"78",2366,"Boston",2008-04-12,155,100,100,-100,100,-100,100,100,-100,100,1236.24219341102,2400,2200,-500,500,-700,700,1800,-1100,1100
"79",2398,"Boston",2008-04-14,57.1428571428571,-100,100,-100,100,-100,100,100,-100,100,1293.38505055388,2300,2300,-600,600,-800,800,1900,-1200,1200
"80",2427,"Boston",2008-04-16,20,100,100,100,-100,100,-100,100,100,-100,1313.38505055388,2400,2400,-500,500,-700,700,2000,-1100,1100
"81",2461,"Boston",2008-04-20,3.33333333333333,100,100,-100,100,-100,100,100,100,-100,1316.71838388721,2500,2500,-600,600,-800,800,2100,-1000,1000
"82",2475,"Boston",2008-04-23,3.33333333333333,100,100,-100,100,-100,100,100,-100,100,1320.05171722055,2600,2600,-700,700,-900,900,2200,-1100,1100
"83",2496,"Boston",2008-04-26,-100,-100,-100,100,-100,100,-100,-100,-100,100,1220.05171722055,2500,2500,-600,600,-800,800,2100,-1200,1200
"84",2510,"Boston",2008-04-28,-100,-100,-100,-100,100,100,-100,-100,-100,100,1120.05171722055,2400,2400,-700,700,-700,700,2000,-1300,1300
"85",2521,"Boston",2008-04-30,4.76190476190476,100,100,100,-100,100,-100,100,100,-100,1124.81362198245,2500,2500,-600,600,-600,600,2100,-1200,1200
"86",2528,"Boston",2008-05-02,-100,-100,-100,100,-100,100,-100,-100,100,-100,1024.81362198245,2400,2400,-500,500,-500,500,2000,-1100,1100
"87",2537,"Boston",2008-05-04,4.76190476190476,100,100,-100,100,-100,100,100,100,-100,1029.57552674436,2500,2500,-600,600,-600,600,2100,-1000,1000
"88",2545,"Boston",2008-05-06,16,-100,-100,-100,100,-100,100,-100,-100,100,1045.57552674436,2400,2400,-700,700,-700,700,2000,-1100,1100
"89",2551,"Boston",2008-05-08,22.7272727272727,100,100,-100,100,-100,100,100,-100,100,1068.30279947163,2500,2500,-800,800,-800,800,2100,-1200,1200
"90",2558,"Boston",2008-05-10,-100,-100,-100,100,-100,100,-100,-100,100,-100,968.302799471629,2400,2400,-700,700,-700,700,2000,-1100,1100
"91",2564,"Boston",2008-05-12,-100,-100,-100,-100,100,-100,100,-100,-100,100,868.302799471629,2300,2300,-800,800,-800,800,1900,-1200,1200
