"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",13,"Brooklyn",2007-10-31,80,100,100,100,-100,100,-100,-100,100,-100,80,100,100,100,-100,100,-100,-100,100,-100
"2",35,"Brooklyn",2007-11-02,-100,-100,-100,-100,100,-100,100,-100,-100,100,-20,0,0,0,0,0,0,-200,0,0
"3",56,"Brooklyn",2007-11-03,66.6666666666667,100,100,-100,100,-100,100,-100,100,-100,46.6666666666667,100,100,-100,100,-100,100,-300,100,-100
"4",87,"Brooklyn",2007-11-06,52.6315789473684,100,100,-100,100,-100,100,-100,-100,100,99.2982456140351,200,200,-200,200,-200,200,-400,0,0
"5",123,"Brooklyn",2007-11-08,36.3636363636364,-100,-100,-100,100,-100,100,100,-100,100,135.661881977671,100,100,-300,300,-300,300,-300,-100,100
"6",159,"Brooklyn",2007-11-10,-100,-100,-100,100,-100,100,-100,-100,100,-100,35.6618819776715,0,0,-200,200,-200,200,-400,0,0
"7",183,"Brooklyn",2007-11-12,-100,-100,-100,-100,100,-100,100,100,-100,100,-64.3381180223285,-100,-100,-300,300,-300,300,-300,-100,100
"8",216,"Brooklyn",2007-11-14,-100,-100,-100,-100,100,-100,100,-100,-100,100,-164.338118022329,-200,-200,-400,400,-400,400,-400,-200,200
"9",241,"Brooklyn",2007-11-16,-100,-100,-100,-100,100,-100,100,-100,-100,100,-264.338118022329,-300,-300,-500,500,-500,500,-500,-300,300
"10",265,"Brooklyn",2007-11-17,-100,-100,-100,-100,100,100,-100,100,100,-100,-364.338118022329,-400,-400,-600,600,-400,400,-400,-200,200
"11",294,"Brooklyn",2007-11-19,-100,-100,-100,-100,100,-100,100,-100,-100,100,-464.338118022329,-500,-500,-700,700,-500,500,-500,-300,300
"12",334,"Brooklyn",2007-11-21,135,100,100,100,-100,100,-100,100,100,-100,-329.338118022329,-400,-400,-600,600,-400,400,-400,-200,200
"13",360,"Brooklyn",2007-11-23,62.5,100,100,-100,100,-100,100,-100,-100,100,-266.838118022329,-300,-300,-700,700,-500,500,-500,-300,300
"14",390,"Brooklyn",2007-11-25,240,100,100,100,-100,100,-100,100,100,-100,-26.8381180223285,-200,-200,-600,600,-400,400,-400,-200,200
