"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",29,"Charlotte",2007-11-02,58.8235294117647,100,-100,100,-100,100,-100,100,100,-100,58.8235294117647,100,-100,100,-100,100,-100,100,100,-100
"2",74,"Charlotte",2007-11-04,140,100,100,-100,100,-100,100,-100,-100,100,198.823529411765,200,0,0,0,0,0,0,0,0
"3",85,"Charlotte",2007-11-06,-100,-100,-100,-100,100,-100,100,-100,100,-100,98.8235294117647,100,-100,-100,100,-100,100,-100,100,-100
"4",112,"Charlotte",2007-11-07,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1.17647058823529,0,-200,-200,200,-200,200,-200,0,0
"5",131,"Charlotte",2007-11-09,80,100,100,-100,100,-100,100,100,100,-100,78.8235294117647,100,-100,-300,300,-300,300,-100,100,-100
"6",171,"Charlotte",2007-11-11,-100,100,100,-100,100,-100,100,-100,-100,100,-21.1764705882353,200,0,-400,400,-400,400,-200,0,0
"7",191,"Charlotte",2007-11-13,80,100,100,-100,100,-100,100,100,100,-100,58.8235294117647,300,100,-500,500,-500,500,-100,100,-100
"8",212,"Charlotte",2007-11-14,-100,-100,-100,100,-100,100,-100,100,100,-100,-41.1764705882353,200,0,-400,400,-400,400,0,200,-200
"9",261,"Charlotte",2007-11-17,27.7777777777778,100,100,-100,100,-100,100,100,-100,100,-13.3986928104575,300,100,-500,500,-500,500,100,100,-100
"10",287,"Charlotte",2007-11-19,43.4782608695652,100,100,100,-100,100,-100,100,100,-100,30.0795680591077,400,200,-400,400,-400,400,200,200,-200
"11",311,"Charlotte",2007-11-21,-100,-100,-100,100,-100,100,-100,-100,100,-100,-69.9204319408923,300,100,-300,300,-300,300,100,300,-300
"12",340,"Charlotte",2007-11-23,-100,-100,-100,100,-100,-100,100,100,-100,100,-169.920431940892,200,0,-200,200,-400,400,200,200,-200
"13",365,"Charlotte",2007-11-24,-100,100,100,100,-100,100,-100,100,-100,100,-269.920431940892,300,100,-100,100,-300,300,300,100,-100
"14",410,"Charlotte",2007-11-27,-100,-100,-100,100,-100,100,-100,-100,100,-100,-369.920431940892,200,0,0,0,-200,200,200,200,-200
"15",478,"Charlotte",2007-12-01,-100,-100,-100,100,-100,100,-100,-100,-100,100,-469.920431940892,100,-100,100,-100,-100,100,100,100,-100
"16",500,"Charlotte",2007-12-03,-100,-100,-100,-100,100,-100,100,-100,-100,100,-569.920431940892,0,-200,0,0,-200,200,0,0,0
"17",525,"Charlotte",2007-12-05,-100,-100,-100,-100,100,-100,100,-100,-100,100,-669.920431940892,-100,-300,-100,100,-300,300,-100,-100,100
"18",571,"Charlotte",2007-12-08,27.7777777777778,-100,-100,100,-100,100,-100,-100,-100,100,-642.142654163114,-200,-400,0,0,-200,200,-200,-200,200
"19",592,"Charlotte",2007-12-09,-100,-100,-100,100,-100,-100,100,-100,-100,100,-742.142654163114,-300,-500,100,-100,-300,300,-300,-300,300
"20",631,"Charlotte",2007-12-12,40,-100,-100,100,-100,100,-100,100,100,-100,-702.142654163114,-400,-600,200,-200,-200,200,-200,-200,200
"21",653,"Charlotte",2007-12-14,-100,-100,-100,-100,100,-100,100,-100,-100,100,-802.142654163114,-500,-700,100,-100,-300,300,-300,-300,300
"22",680,"Charlotte",2007-12-15,-100,-100,-100,-100,100,-100,100,100,-100,100,-902.142654163114,-600,-800,0,0,-400,400,-200,-400,400
"23",727,"Charlotte",2007-12-19,180,100,100,-100,100,-100,100,100,100,-100,-722.142654163114,-500,-700,-100,100,-500,500,-100,-300,300
"24",759,"Charlotte",2007-12-21,39.2156862745098,100,100,100,-100,100,-100,-100,-100,100,-682.926967888605,-400,-600,0,0,-400,400,-200,-400,400
"25",794,"Charlotte",2007-12-22,-100,100,100,100,-100,100,-100,100,100,-100,-782.926967888605,-300,-500,100,-100,-300,300,-100,-300,300
"26",817,"Charlotte",2007-12-26,-100,-100,-100,100,-100,100,-100,-100,-100,100,-882.926967888605,-400,-600,200,-200,-200,200,-200,-400,400
"27",841,"Charlotte",2007-12-28,-100,-100,-100,-100,100,-100,100,100,100,-100,-982.926967888605,-500,-700,100,-100,-300,300,-100,-300,300
"28",872,"Charlotte",2007-12-29,-100,100,-100,0,0,-100,100,-100,-100,100,-1082.9269678886,-400,-800,100,-100,-400,400,-200,-400,400
"29",897,"Charlotte",2007-12-31,80,100,100,100,-100,100,-100,100,-100,100,-1002.9269678886,-300,-700,200,-200,-300,300,-100,-500,500
"30",915,"Charlotte",2008-01-02,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1102.9269678886,-400,-800,300,-300,-200,200,-200,-400,400
"31",952,"Charlotte",2008-01-04,-100,100,-100,100,-100,100,-100,-100,100,-100,-1202.9269678886,-300,-900,400,-400,-100,100,-300,-300,300
"32",987,"Charlotte",2008-01-06,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1302.9269678886,-400,-1000,300,-300,-200,200,-400,-400,400
"33",997,"Charlotte",2008-01-08,105,100,100,100,-100,100,-100,100,100,-100,-1197.9269678886,-300,-900,400,-400,-100,100,-300,-300,300
"34",1024,"Charlotte",2008-01-09,1000,100,100,-100,100,-100,100,100,-100,100,-197.926967888605,-200,-800,300,-300,-200,200,-200,-400,400
"35",1046,"Charlotte",2008-01-11,-100,100,100,100,-100,100,-100,100,-100,100,-297.926967888605,-100,-700,400,-400,-100,100,-100,-500,500
"36",1065,"Charlotte",2008-01-12,-100,100,100,100,-100,100,-100,100,-100,100,-397.926967888605,0,-600,500,-500,0,0,0,-600,600
"37",1091,"Charlotte",2008-01-14,160,100,100,100,-100,100,-100,100,-100,100,-237.926967888605,100,-500,600,-600,100,-100,100,-700,700
"38",1125,"Charlotte",2008-01-16,90.9090909090909,100,100,-100,100,-100,100,100,-100,100,-147.017876979514,200,-400,500,-500,0,0,200,-800,800
"39",1152,"Charlotte",2008-01-18,-100,-100,-100,100,-100,100,-100,-100,100,-100,-247.017876979514,100,-500,600,-600,100,-100,100,-700,700
"40",1167,"Charlotte",2008-01-19,40,100,100,-100,100,-100,100,100,100,-100,-207.017876979514,200,-400,500,-500,0,0,200,-600,600
"41",1187,"Charlotte",2008-01-21,-100,-100,-100,-100,100,-100,100,-100,-100,100,-307.017876979514,100,-500,400,-400,-100,100,100,-700,700
"42",1219,"Charlotte",2008-01-23,-100,-100,-100,100,-100,100,-100,100,-100,100,-407.017876979514,0,-600,500,-500,0,0,200,-800,800
"43",1264,"Charlotte",2008-01-25,145,100,100,-100,100,-100,100,100,-100,100,-262.017876979514,100,-500,400,-400,-100,100,300,-900,900
"44",1275,"Charlotte",2008-01-26,-100,-100,-100,100,-100,100,-100,-100,100,-100,-362.017876979514,0,-600,500,-500,0,0,200,-800,800
"45",1308,"Charlotte",2008-01-28,115,100,100,100,-100,100,-100,-100,100,-100,-247.017876979514,100,-500,600,-600,100,-100,100,-700,700
"46",1344,"Charlotte",2008-01-30,-100,-100,-100,-100,100,-100,100,-100,-100,100,-347.017876979514,0,-600,500,-500,0,0,0,-800,800
"47",1370,"Charlotte",2008-02-01,-100,-100,-100,100,-100,100,-100,-100,100,-100,-447.017876979514,-100,-700,600,-600,100,-100,-100,-700,700
