"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",14,"Chicago",2007-10-31,-100,-100,-100,100,-100,100,-100,100,100,-100,-100,-100,-100,100,-100,100,-100,100,100,-100
"2",47,"Chicago",2007-11-02,-100,-100,-100,-100,100,-100,100,-100,100,-100,-200,-200,-200,0,0,0,0,0,200,-200
"3",62,"Chicago",2007-11-03,-100,-100,-100,-100,100,-100,100,-100,-100,100,-300,-300,-300,-100,100,-100,100,-100,100,-100
"4",97,"Chicago",2007-11-06,-100,-100,-100,-100,100,-100,100,-100,-100,100,-400,-400,-400,-200,200,-200,200,-200,0,0
"5",125,"Chicago",2007-11-08,83.3333333333333,100,100,100,-100,100,-100,-100,100,-100,-316.666666666667,-300,-300,-100,100,-100,100,-300,100,-100
"6",161,"Chicago",2007-11-10,-100,-100,-100,-100,100,-100,100,-100,100,-100,-416.666666666667,-400,-400,-200,200,-200,200,-400,200,-200
"7",234,"Chicago",2007-11-15,-100,-100,-100,100,-100,100,-100,100,100,-100,-516.666666666667,-500,-500,-100,100,-100,100,-300,300,-300
"8",278,"Chicago",2007-11-17,62.5,100,100,-100,100,-100,100,100,-100,100,-454.166666666667,-400,-400,-200,200,-200,200,-200,200,-200
"9",286,"Chicago",2007-11-18,-100,-100,-100,-100,100,-100,100,-100,-100,100,-554.166666666667,-500,-500,-300,300,-300,300,-300,100,-100
"10",308,"Chicago",2007-11-20,-100,-100,-100,-100,100,100,-100,-100,-100,100,-654.166666666667,-600,-600,-400,400,-200,200,-400,0,0
"11",364,"Chicago",2007-11-24,-100,-100,-100,-100,100,-100,100,100,-100,100,-754.166666666667,-700,-700,-500,500,-300,300,-300,-100,100
"12",382,"Chicago",2007-11-25,-100,-100,-100,-100,100,-100,100,-100,-100,100,-854.166666666667,-800,-800,-600,600,-400,400,-400,-200,200
"13",413,"Chicago",2007-11-27,43.4782608695652,100,100,-100,100,-100,100,100,100,-100,-810.688405797101,-700,-700,-700,700,-500,500,-300,-100,100
"14",477,"Chicago",2007-12-01,30.7692307692308,100,100,100,-100,100,-100,100,-100,100,-779.919175027871,-600,-600,-600,600,-400,400,-200,-200,200
"15",503,"Chicago",2007-12-03,-100,-100,-100,100,-100,100,-100,100,100,-100,-879.919175027871,-700,-700,-500,500,-300,300,-100,-100,100
"16",526,"Chicago",2007-12-05,83.3333333333333,100,100,-100,100,-100,100,100,-100,100,-796.585841694537,-600,-600,-600,600,-400,400,0,-200,200
