"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",15,"Cleveland",2007-10-31,-100,-100,-100,-100,100,-100,100,-100,-100,100,-100,-100,-100,-100,100,-100,100,-100,-100,100
"2",39,"Cleveland",2007-11-02,40,-100,-100,100,-100,100,-100,-100,100,-100,-60,-200,-200,0,0,0,0,-200,0,0
"3",80,"Cleveland",2007-11-04,-100,-100,-100,-100,100,-100,100,-100,100,-100,-160,-300,-300,-100,100,-100,100,-300,100,-100
"4",102,"Cleveland",2007-11-06,115,100,100,100,-100,100,-100,100,-100,100,-45,-200,-200,0,0,0,0,-200,0,0
"5",118,"Cleveland",2007-11-07,-100,100,100,100,-100,100,-100,100,100,-100,-145,-100,-100,100,-100,100,-100,-100,100,-100
"6",154,"Cleveland",2007-11-09,40.8163265306122,-100,-100,-100,100,-100,100,-100,-100,100,-104.183673469388,-200,-200,0,0,0,0,-200,0,0
"7",182,"Cleveland",2007-11-11,90.9090909090909,100,100,100,-100,100,-100,100,100,-100,-13.2745825602968,-100,-100,100,-100,100,-100,-100,100,-100
"8",186,"Cleveland",2007-11-12,-100,-100,-100,100,-100,100,-100,-100,100,-100,-113.274582560297,-200,-200,200,-200,200,-200,-200,200,-200
"9",207,"Cleveland",2007-11-14,-100,-100,-100,100,-100,100,-100,-100,100,-100,-213.274582560297,-300,-300,300,-300,300,-300,-300,300,-300
"10",243,"Cleveland",2007-11-16,80,100,100,-100,100,-100,100,100,100,-100,-133.274582560297,-200,-200,200,-200,200,-200,-200,400,-400
"11",297,"Cleveland",2007-11-20,-100,-100,-100,100,-100,100,-100,-100,100,-100,-233.274582560297,-300,-300,300,-300,300,-300,-300,500,-500
"12",324,"Cleveland",2007-11-21,43.4782608695652,100,100,-100,100,-100,100,100,-100,100,-189.796321690732,-200,-200,200,-200,200,-200,-200,400,-400
"13",361,"Cleveland",2007-11-24,50,-100,-100,100,-100,100,-100,100,100,-100,-139.796321690732,-300,-300,300,-300,300,-300,-100,500,-500
"14",386,"Cleveland",2007-11-25,110,100,100,100,-100,100,-100,100,100,-100,-29.7963216907316,-200,-200,400,-400,400,-400,0,600,-600
"15",405,"Cleveland",2007-11-27,145,100,100,100,-100,100,-100,100,-100,100,115.203678309268,-100,-100,500,-500,500,-500,100,500,-500
"16",426,"Cleveland",2007-11-28,-100,-100,-100,-100,100,-100,100,-100,-100,100,15.2036783092684,-200,-200,400,-400,400,-400,0,400,-400
"17",448,"Cleveland",2007-11-30,-100,-100,-100,-100,100,-100,100,-100,-100,100,-84.7963216907316,-300,-300,300,-300,300,-300,-100,300,-300
"18",482,"Cleveland",2007-12-02,-100,100,100,-100,100,-100,100,100,-100,100,-184.796321690732,-200,-200,200,-200,200,-200,0,200,-200
"19",509,"Cleveland",2007-12-04,-100,-100,-100,-100,100,-100,100,-100,-100,100,-284.796321690732,-300,-300,100,-100,100,-100,-100,100,-100
"20",524,"Cleveland",2007-12-05,-100,-100,-100,100,-100,100,-100,100,100,-100,-384.796321690732,-400,-400,200,-200,200,-200,0,200,-200
"21",572,"Cleveland",2007-12-08,-100,100,100,100,-100,100,-100,100,-100,100,-484.796321690732,-300,-300,300,-300,300,-300,100,100,-100
"22",609,"Cleveland",2007-12-11,74.0740740740741,100,100,100,-100,100,-100,-100,100,-100,-410.722247616658,-200,-200,400,-400,400,-400,0,200,-200
"23",662,"Cleveland",2007-12-14,-100,-100,-100,100,-100,100,-100,-100,-100,100,-510.722247616658,-300,-300,500,-500,500,-500,-100,100,-100
"24",681,"Cleveland",2007-12-15,-100,-100,-100,-100,100,-100,100,-100,-100,100,-610.722247616658,-400,-400,400,-400,400,-400,-200,0,0
"25",707,"Cleveland",2007-12-17,28.5714285714286,-100,-100,100,-100,100,-100,-100,-100,100,-582.150819045229,-500,-500,500,-500,500,-500,-300,-100,100
"26",738,"Cleveland",2007-12-19,-100,-100,-100,100,-100,100,-100,-100,-100,100,-682.150819045229,-600,-600,600,-600,600,-600,-400,-200,200
"27",755,"Cleveland",2007-12-20,115,100,100,-100,100,-100,100,100,-100,100,-567.150819045229,-500,-500,500,-500,500,-500,-300,-300,300
"28",799,"Cleveland",2007-12-23,-100,-100,-100,-100,100,-100,100,-100,-100,100,-667.150819045229,-600,-600,400,-400,400,-400,-400,-400,400
"29",807,"Cleveland",2007-12-24,47.6190476190476,100,100,-100,100,-100,100,100,-100,100,-619.531771426181,-500,-500,300,-300,300,-300,-300,-500,500
"30",836,"Cleveland",2007-12-27,260,100,100,-100,100,-100,100,100,-100,100,-359.531771426181,-400,-400,200,-200,200,-200,-200,-600,600
"31",874,"Cleveland",2007-12-29,-100,-100,-100,-100,100,-100,100,-100,-100,100,-459.531771426181,-500,-500,100,-100,100,-100,-300,-700,700
"32",917,"Cleveland",2008-01-02,46.5116279069767,-100,-100,100,-100,100,-100,100,100,-100,-413.020143519205,-600,-600,200,-200,200,-200,-200,-600,600
"33",949,"Cleveland",2008-01-04,27.7777777777778,-100,-100,-100,100,0,0,-100,-100,100,-385.242365741427,-700,-700,100,-100,200,-200,-300,-700,700
"34",980,"Cleveland",2008-01-06,160,100,100,-100,100,-100,100,100,100,-100,-225.242365741427,-600,-600,0,0,100,-100,-200,-600,600
"35",999,"Cleveland",2008-01-08,19.8019801980198,100,100,-100,100,-100,100,100,100,-100,-205.440385543407,-500,-500,-100,100,0,0,-100,-500,500
"36",1018,"Cleveland",2008-01-09,-100,-100,-100,-100,100,-100,100,-100,100,-100,-305.440385543407,-600,-600,-200,200,-100,100,-200,-400,400
"37",1045,"Cleveland",2008-01-11,26.6666666666667,-100,-100,100,-100,100,-100,-100,-100,100,-278.77371887674,-700,-700,-100,100,0,0,-300,-500,500
"38",1116,"Cleveland",2008-01-15,76.9230769230769,100,100,100,-100,100,-100,-100,100,-100,-201.850641953663,-600,-600,0,0,100,-100,-400,-400,400
"39",1138,"Cleveland",2008-01-17,290,100,100,-100,100,-100,100,100,-100,100,88.1493580463366,-500,-500,-100,100,0,0,-300,-500,500
"40",1210,"Cleveland",2008-01-21,64.5161290322581,100,100,-100,100,-100,100,100,-100,100,152.665487078595,-400,-400,-200,200,-100,100,-200,-600,600
"41",1221,"Cleveland",2008-01-23,50,100,100,100,-100,100,-100,100,100,-100,202.665487078595,-300,-300,-100,100,0,0,-100,-500,500
"42",1247,"Cleveland",2008-01-25,-100,100,-100,100,-100,100,-100,-100,-100,100,102.665487078595,-200,-400,0,0,100,-100,-200,-600,600
"43",1284,"Cleveland",2008-01-27,160,100,100,-100,100,-100,100,-100,100,-100,262.665487078595,-100,-300,-100,100,0,0,-300,-500,500
"44",1340,"Cleveland",2008-01-30,140,100,100,-100,100,-100,100,100,-100,100,402.665487078595,0,-200,-200,200,-100,100,-200,-600,600
"45",1352,"Cleveland",2008-01-31,-100,-100,-100,-100,100,100,-100,100,-100,100,302.665487078595,-100,-300,-300,300,0,0,-100,-700,700
"46",1377,"Cleveland",2008-02-02,12.1212121212121,100,100,0,0,-100,100,100,-100,100,314.786699199807,0,-200,-300,300,-100,100,0,-800,800
"47",1411,"Cleveland",2008-02-05,62.5,-100,-100,100,-100,100,-100,-100,100,-100,377.286699199807,-100,-300,-200,200,0,0,-100,-700,700
"48",1446,"Cleveland",2008-02-07,-100,-100,-100,-100,100,-100,100,-100,-100,100,277.286699199807,-200,-400,-300,300,-100,100,-200,-800,800
"49",1458,"Cleveland",2008-02-08,155,100,100,100,-100,100,-100,100,-100,100,432.286699199807,-100,-300,-200,200,0,0,-100,-900,900
"50",1485,"Cleveland",2008-02-10,-100,-100,-100,-100,100,-100,100,-100,-100,100,332.286699199807,-200,-400,-300,300,-100,100,-200,-1000,1000
"51",1502,"Cleveland",2008-02-11,400,100,100,100,-100,100,-100,100,100,-100,732.286699199807,-100,-300,-200,200,0,0,-100,-900,900
"52",1525,"Cleveland",2008-02-13,-100,-100,-100,100,-100,100,-100,-100,100,-100,632.286699199807,-200,-400,-100,100,100,-100,-200,-800,800
"53",1559,"Cleveland",2008-02-19,-100,-100,-100,-100,100,-100,100,-100,100,-100,532.286699199807,-300,-500,-200,200,0,0,-300,-700,700
"54",1574,"Cleveland",2008-02-20,80,100,100,100,-100,-100,100,100,-100,100,612.286699199807,-200,-400,-100,100,-100,100,-200,-800,800
"55",1601,"Cleveland",2008-02-22,60.6060606060606,-100,-100,-100,100,-100,100,-100,-100,100,672.892759805867,-300,-500,-200,200,-200,200,-300,-900,900
"56",1639,"Cleveland",2008-02-24,11.1111111111111,100,100,100,-100,100,-100,-100,100,-100,684.003870916978,-200,-400,-100,100,-100,100,-400,-800,800
"57",1670,"Cleveland",2008-02-26,-100,-100,-100,100,-100,100,-100,-100,-100,100,584.003870916978,-300,-500,0,0,0,0,-500,-900,900
"58",1690,"Cleveland",2008-02-27,-100,100,100,-100,100,-100,100,100,-100,100,484.003870916978,-200,-400,-100,100,-100,100,-400,-1000,1000
