"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",16,"Dallas",2007-10-31,71.4285714285714,100,100,-100,100,-100,100,100,-100,100,71.4285714285714,100,100,-100,100,-100,100,100,-100,100
"2",38,"Dallas",2007-11-02,-100,-100,-100,100,-100,100,-100,-100,100,-100,-28.5714285714286,0,0,0,0,0,0,0,0,0
"3",83,"Dallas",2007-11-05,50,100,100,100,-100,100,-100,100,100,-100,21.4285714285714,100,100,100,-100,100,-100,100,100,-100
"4",128,"Dallas",2007-11-08,30.7692307692308,-100,-100,100,-100,100,-100,100,100,-100,52.1978021978022,0,0,200,-200,200,-200,200,200,-200
"5",168,"Dallas",2007-11-10,-100,-100,-100,-100,100,-100,100,-100,-100,100,-47.8021978021978,-100,-100,100,-100,100,-100,100,100,-100
"6",197,"Dallas",2007-11-13,12.5,100,100,-100,100,-100,100,100,-100,100,-35.3021978021978,0,0,0,0,0,0,200,0,0
"7",231,"Dallas",2007-11-15,80,100,100,100,-100,100,-100,-100,100,-100,44.6978021978022,100,100,100,-100,100,-100,100,100,-100
"8",271,"Dallas",2007-11-17,6.66666666666667,-100,-100,100,-100,0,0,-100,100,-100,51.3644688644689,0,0,200,-200,100,-100,0,200,-200
"9",305,"Dallas",2007-11-20,23.5294117647059,-100,-100,100,-100,100,-100,100,100,-100,74.8938806291747,-100,-100,300,-300,200,-200,100,300,-300
"10",316,"Dallas",2007-11-21,120,100,100,100,-100,100,-100,100,100,-100,194.893880629175,0,0,400,-400,300,-300,200,400,-400
"11",346,"Dallas",2007-11-23,-100,-100,-100,100,-100,100,-100,-100,0,0,94.8938806291747,-100,-100,500,-500,400,-400,100,400,-400
"12",378,"Dallas",2007-11-24,-100,-100,-100,-100,100,-100,100,-100,100,-100,-5.10611937082525,-200,-200,400,-400,300,-300,0,500,-500
"13",395,"Dallas",2007-11-26,-100,-100,-100,-100,100,0,0,-100,100,-100,-105.106119370825,-300,-300,300,-300,300,-300,-100,600,-600
"14",427,"Dallas",2007-11-28,5.88235294117647,-100,-100,100,-100,100,-100,-100,100,-100,-99.2237664296488,-400,-400,400,-400,400,-400,-200,700,-700
"15",457,"Dallas",2007-11-30,7.69230769230769,-100,-100,-100,100,-100,100,-100,-100,100,-91.5314587373411,-500,-500,300,-300,300,-300,-300,600,-600
"16",474,"Dallas",2007-12-01,-100,-100,-100,100,-100,100,-100,100,100,-100,-191.531458737341,-600,-600,400,-400,400,-400,-200,700,-700
"17",504,"Dallas",2007-12-03,62.5,100,100,100,-100,100,-100,-100,100,-100,-129.031458737341,-500,-500,500,-500,500,-500,-300,800,-800
"18",534,"Dallas",2007-12-05,-100,-100,-100,100,-100,-100,100,-100,100,-100,-229.031458737341,-600,-600,600,-600,400,-400,-400,900,-900
"19",545,"Dallas",2007-12-06,-100,-100,-100,100,-100,100,-100,-100,100,-100,-329.031458737341,-700,-700,700,-700,500,-500,-500,1000,-1000
"20",579,"Dallas",2007-12-08,37.7358490566038,100,100,100,-100,100,-100,-100,100,-100,-291.295609680737,-600,-600,800,-800,600,-600,-600,1100,-1100
"21",604,"Dallas",2007-12-10,23.5294117647059,100,100,-100,100,-100,100,-100,100,-100,-267.766197916031,-500,-500,700,-700,500,-500,-700,1200,-1200
"22",628,"Dallas",2007-12-12,-100,-100,-100,-100,100,-100,100,-100,-100,100,-367.766197916031,-600,-600,600,-600,400,-400,-800,1100,-1100
"23",667,"Dallas",2007-12-14,20,100,100,-100,100,-100,100,-100,-100,100,-347.766197916031,-500,-500,500,-500,300,-300,-900,1000,-1000
"24",692,"Dallas",2007-12-15,145,100,100,-100,100,-100,100,100,100,-100,-202.766197916031,-400,-400,400,-400,200,-200,-800,1100,-1100
"25",717,"Dallas",2007-12-17,41.6666666666667,-100,-100,100,-100,100,-100,-100,100,-100,-161.099531249365,-500,-500,500,-500,300,-300,-900,1200,-1200
"26",747,"Dallas",2007-12-19,64.5161290322581,-100,-100,-100,100,-100,100,-100,-100,100,-96.5834022171067,-600,-600,400,-400,200,-200,-1000,1100,-1100
"27",773,"Dallas",2007-12-21,10,100,100,-100,100,-100,100,-100,-100,100,-86.5834022171067,-500,-500,300,-300,100,-100,-1100,1000,-1000
"28",830,"Dallas",2007-12-26,-100,-100,-100,-100,100,-100,100,-100,-100,100,-186.583402217107,-600,-600,200,-200,0,0,-1200,900,-900
"29",835,"Dallas",2007-12-27,-100,-100,-100,-100,100,-100,100,-100,-100,100,-286.583402217107,-700,-700,100,-100,-100,100,-1300,800,-800
"30",865,"Dallas",2007-12-29,26.6666666666667,100,100,-100,100,-100,100,-100,-100,100,-259.91673555044,-600,-600,0,0,-200,200,-1400,700,-700
"31",929,"Dallas",2008-01-02,39.2156862745098,100,100,100,-100,100,-100,100,100,-100,-220.70104927593,-500,-500,100,-100,-100,100,-1300,800,-800
"32",959,"Dallas",2008-01-04,3.33333333333333,-100,-100,-100,100,-100,100,-100,-100,100,-217.367715942597,-600,-600,0,0,-200,200,-1400,700,-700
"33",982,"Dallas",2008-01-06,24.6913580246914,100,100,-100,100,-100,100,100,-100,100,-192.676357917906,-500,-500,-100,100,-300,300,-1300,600,-600
"34",1029,"Dallas",2008-01-09,76.9230769230769,100,100,-100,100,-100,100,100,100,-100,-115.753280994829,-400,-400,-200,200,-400,400,-1200,700,-700
"35",1064,"Dallas",2008-01-11,20,100,100,-100,100,-100,100,100,-100,100,-95.7532809948286,-300,-300,-300,300,-500,500,-1100,600,-600
"36",1078,"Dallas",2008-01-12,41.6666666666667,-100,-100,100,-100,100,-100,-100,-100,100,-54.0866143281619,-400,-400,-200,200,-400,400,-1200,500,-500
"37",1104,"Dallas",2008-01-14,-100,-100,-100,100,-100,100,-100,-100,100,-100,-154.086614328162,-500,-500,-100,100,-300,300,-1300,600,-600
"38",1179,"Dallas",2008-01-19,5.55555555555556,-100,100,100,-100,100,-100,-100,-100,100,-148.531058772606,-600,-400,0,0,-200,200,-1400,500,-500
"39",1190,"Dallas",2008-01-21,-100,-100,-100,-100,100,-100,100,-100,100,-100,-248.531058772606,-700,-500,-100,100,-300,300,-1500,600,-600
"40",1220,"Dallas",2008-01-23,37.037037037037,100,100,100,-100,100,-100,-100,-100,100,-211.494021735569,-600,-400,0,0,-200,200,-1600,500,-500
"41",1261,"Dallas",2008-01-25,32.7868852459016,-100,-100,100,-100,100,-100,100,100,-100,-178.707136489668,-700,-500,100,-100,-100,100,-1500,600,-600
"42",1291,"Dallas",2008-01-27,16.6666666666667,-100,-100,-100,100,-100,100,-100,-100,100,-162.040469823001,-800,-600,0,0,-200,200,-1600,500,-500
"43",1304,"Dallas",2008-01-28,43.4782608695652,100,100,-100,100,-100,100,100,-100,100,-118.562208953436,-700,-500,-100,100,-300,300,-1500,400,-400
"44",1350,"Dallas",2008-01-31,-100,-100,-100,100,-100,-100,100,-100,100,-100,-218.562208953436,-800,-600,0,0,-400,400,-1600,500,-500
"45",1392,"Dallas",2008-02-03,-100,-100,-100,-100,100,-100,100,-100,-100,100,-318.562208953436,-900,-700,-100,100,-500,500,-1700,400,-400
"46",1396,"Dallas",2008-02-04,160,100,100,100,-100,100,-100,100,100,-100,-158.562208953436,-800,-600,0,0,-400,400,-1600,500,-500
"47",1433,"Dallas",2008-02-06,5,-100,-100,100,-100,100,-100,-100,100,-100,-153.562208953436,-900,-700,100,-100,-300,300,-1700,600,-600
"48",1463,"Dallas",2008-02-08,8.33333333333333,-100,-100,-100,100,-100,100,-100,-100,100,-145.228875620102,-1000,-800,0,0,-400,400,-1800,500,-500
"49",1490,"Dallas",2008-02-10,-100,-100,-100,-100,100,-100,100,-100,100,-100,-245.228875620102,-1100,-900,-100,100,-500,500,-1900,600,-600
"50",1500,"Dallas",2008-02-11,-100,-100,-100,-100,100,-100,100,-100,-100,100,-345.228875620102,-1200,-1000,-200,200,-600,600,-2000,500,-500
"51",1543,"Dallas",2008-02-13,64.5161290322581,100,100,-100,100,-100,100,100,-100,100,-280.712746587844,-1100,-900,-300,300,-700,700,-1900,400,-400
"52",1556,"Dallas",2008-02-14,-100,-100,-100,0,0,100,-100,-100,-100,100,-380.712746587844,-1200,-1000,-300,300,-600,600,-2000,300,-300
"53",1580,"Dallas",2008-02-20,-100,-100,-100,100,-100,100,-100,-100,100,-100,-480.712746587844,-1300,-1100,-200,200,-500,500,-2100,400,-400
"54",1612,"Dallas",2008-02-22,19.4174757281553,100,100,-100,100,-100,100,-100,-100,100,-461.295270859689,-1200,-1000,-300,300,-600,600,-2200,300,-300
"55",1646,"Dallas",2008-02-24,30.7692307692308,100,100,-100,100,-100,100,100,-100,100,-430.526040090458,-1100,-900,-400,400,-700,700,-2100,200,-200
"56",1655,"Dallas",2008-02-25,16.6666666666667,-100,-100,0,0,100,-100,-100,100,-100,-413.859373423792,-1200,-1000,-400,400,-600,600,-2200,300,-300
"57",1702,"Dallas",2008-02-28,-100,100,100,100,-100,100,-100,100,100,-100,-513.859373423792,-1100,-900,-300,300,-500,500,-2100,400,-400
"58",1719,"Dallas",2008-02-28,20,-100,-100,100,-100,100,-100,100,100,-100,-493.859373423792,-1200,-1000,-200,200,-400,400,-2000,500,-500
"59",1742,"Dallas",2008-03-02,-100,100,100,100,-100,100,-100,100,-100,100,-593.859373423792,-1100,-900,-100,100,-300,300,-1900,400,-400
"60",1764,"Dallas",2008-03-03,-100,100,-100,100,-100,100,-100,100,100,-100,-693.859373423792,-1000,-1000,0,0,-200,200,-1800,500,-500
"61",1811,"Dallas",2008-03-06,-100,-100,-100,100,-100,100,-100,-100,100,-100,-793.859373423792,-1100,-1100,100,-100,-100,100,-1900,600,-600
"62",1851,"Dallas",2008-03-08,4,100,100,100,-100,100,-100,-100,100,-100,-789.859373423792,-1000,-1000,200,-200,0,0,-2000,700,-700
"63",1875,"Dallas",2008-03-10,5.88235294117647,100,100,-100,100,-100,100,100,100,-100,-783.977020482615,-900,-900,100,-100,-100,100,-1900,800,-800
"64",1909,"Dallas",2008-03-12,12.1212121212121,100,100,100,-100,100,-100,100,100,-100,-771.855808361403,-800,-800,200,-200,0,0,-1800,900,-900
"65",1935,"Dallas",2008-03-14,3.33333333333333,100,100,100,-100,0,0,-100,100,-100,-768.52247502807,-700,-700,300,-300,0,0,-1900,1000,-1000
"66",1958,"Dallas",2008-03-16,2.5,100,100,-100,100,-100,100,-100,-100,100,-766.02247502807,-600,-600,200,-200,-100,100,-2000,900,-900
"67",1993,"Dallas",2008-03-18,-100,-100,-100,-100,100,-100,100,100,100,-100,-866.02247502807,-700,-700,100,-100,-200,200,-1900,1000,-1000
"68",2023,"Dallas",2008-03-20,-100,-100,-100,-100,100,-100,100,-100,-100,100,-966.02247502807,-800,-800,0,0,-300,300,-2000,900,-900
"69",2069,"Dallas",2008-03-23,-100,-100,-100,-100,100,-100,100,-100,100,-100,-1066.02247502807,-900,-900,-100,100,-400,400,-2100,1000,-1000
"70",2097,"Dallas",2008-03-25,5,100,-100,100,-100,100,-100,-100,100,-100,-1061.02247502807,-800,-1000,0,0,-300,300,-2200,1100,-1100
"71",2134,"Dallas",2008-03-27,-100,-100,-100,100,-100,100,-100,-100,-100,100,-1161.02247502807,-900,-1100,100,-100,-200,200,-2300,1000,-1000
"72",2182,"Dallas",2008-03-30,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1261.02247502807,-1000,-1200,200,-200,-100,100,-2400,1100,-1100
"73",2196,"Dallas",2008-03-31,34.4827586206897,100,100,-100,100,-100,100,-100,-100,100,-1226.53971640738,-900,-1100,100,-100,-200,200,-2500,1000,-1000
"74",2227,"Dallas",2008-04-02,50,100,100,-100,100,-100,100,100,-100,100,-1176.53971640738,-800,-1000,0,0,-300,300,-2400,900,-900
"75",2274,"Dallas",2008-04-06,170,100,100,-100,100,-100,100,100,-100,100,-1006.53971640738,-700,-900,-100,100,-400,400,-2300,800,-800
"76",2305,"Dallas",2008-04-08,2.5,-100,-100,-100,100,-100,100,100,-100,100,-1004.03971640738,-800,-1000,-200,200,-500,500,-2200,700,-700
"77",2333,"Dallas",2008-04-10,39.2156862745098,-100,-100,-100,100,-100,100,-100,100,-100,-964.82403013287,-900,-1100,-300,300,-600,600,-2300,800,-800
"78",2376,"Dallas",2008-04-12,-100,-100,-100,100,-100,100,-100,100,100,-100,-1064.82403013287,-1000,-1200,-200,200,-500,500,-2200,900,-900
"79",2390,"Dallas",2008-04-13,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1164.82403013287,-1100,-1300,-300,300,-600,600,-2300,800,-800
"80",2437,"Dallas",2008-04-16,28.5714285714286,100,100,100,-100,100,-100,100,100,-100,-1136.25260156144,-1000,-1200,-200,200,-500,500,-2200,900,-900
"81",2452,"Dallas",2008-04-19,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1236.25260156144,-1100,-1300,-100,100,-400,400,-2300,1000,-1000
"82",2468,"Dallas",2008-04-22,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1336.25260156144,-1200,-1400,0,0,-300,300,-2400,1100,-1100
"83",2487,"Dallas",2008-04-25,37.7358490566038,100,100,-100,100,-100,100,100,-100,100,-1298.51675250484,-1100,-1300,-100,100,-400,400,-2300,1000,-1000
"84",2505,"Dallas",2008-04-27,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1398.51675250484,-1200,-1400,-200,200,-500,500,-2400,900,-900
"85",2516,"Dallas",2008-04-29,-100,100,100,0,0,-100,100,100,100,-100,-1498.51675250484,-1100,-1300,-200,200,-600,600,-2300,1000,-1000
"86",2649,"Dallas",2008-10-30,-100,-100,-100,100,-100,100,-100,-100,-100,100,-1598.51675250484,-1200,-1400,-100,100,-500,500,-2400,900,-900
"87",2680,"Dallas",2008-11-01,40,100,100,-100,100,-100,100,100,-100,100,-1558.51675250484,-1100,-1300,-200,200,-600,600,-2300,800,-800
"88",2707,"Dallas",2008-11-03,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1658.51675250484,-1200,-1400,-300,300,-700,700,-2400,700,-700
"89",2716,"Dallas",2008-11-04,165,100,100,-100,100,-100,100,100,-100,100,-1493.51675250484,-1100,-1300,-400,400,-800,800,-2300,600,-600
"90",2768,"Dallas",2008-11-07,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1593.51675250484,-1200,-1400,-300,300,-700,700,-2400,700,-700
"91",2790,"Dallas",2008-11-09,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1693.51675250484,-1300,-1500,-200,200,-600,600,-2500,800,-800
"92",2819,"Dallas",2008-11-11,-100,-100,-100,100,-100,100,-100,-100,-100,100,-1793.51675250484,-1400,-1600,-100,100,-500,500,-2600,700,-700
"93",2852,"Dallas",2008-11-13,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1893.51675250484,-1500,-1700,-200,200,-600,600,-2700,600,-600
"94",2873,"Dallas",2008-11-14,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1993.51675250484,-1600,-1800,-100,100,-500,500,-2800,700,-700
"95",2900,"Dallas",2008-11-16,80,100,100,100,-100,100,-100,100,-100,100,-1913.51675250484,-1500,-1700,0,0,-400,400,-2700,600,-600
"96",2914,"Dallas",2008-11-18,41.6666666666667,100,100,-100,100,-100,100,-100,-100,100,-1871.85008583817,-1400,-1600,-100,100,-500,500,-2800,500,-500
"97",2946,"Dallas",2008-11-19,145,100,100,-100,100,-100,100,100,-100,100,-1726.85008583817,-1300,-1500,-200,200,-600,600,-2700,400,-400
"98",2969,"Dallas",2008-11-21,22.2222222222222,100,100,-100,100,-100,100,100,-100,100,-1704.62786361595,-1200,-1400,-300,300,-700,700,-2600,300,-300
"99",3031,"Dallas",2008-11-25,29.4117647058824,-100,-100,100,-100,100,-100,100,100,-100,-1675.21609891007,-1300,-1500,-200,200,-600,600,-2500,400,-400
"100",3086,"Dallas",2008-11-28,-100,100,100,100,-100,100,-100,-100,100,-100,-1775.21609891007,-1200,-1400,-100,100,-500,500,-2600,500,-500
"101",3106,"Dallas",2008-11-29,55.5555555555556,100,100,-100,100,-100,100,100,-100,100,-1719.66054335451,-1100,-1300,-200,200,-600,600,-2500,400,-400
"102",3131,"Dallas",2008-12-02,11.1111111111111,-100,-100,100,-100,-100,100,-100,-100,100,-1708.5494322434,-1200,-1400,-100,100,-700,700,-2600,300,-300
"103",3163,"Dallas",2008-12-04,64.5161290322581,100,100,100,-100,100,-100,100,-100,100,-1644.03330321114,-1100,-1300,0,0,-600,600,-2500,200,-200
"104",3201,"Dallas",2008-12-06,35.7142857142857,-100,-100,-100,100,-100,100,-100,100,-100,-1608.31901749686,-1200,-1400,-100,100,-700,700,-2600,300,-300
"105",3235,"Dallas",2008-12-09,-100,-100,-100,100,-100,100,-100,100,100,-100,-1708.31901749686,-1300,-1500,0,0,-600,600,-2500,400,-400
"106",3263,"Dallas",2008-12-11,6.66666666666667,-100,-100,-100,100,-100,100,-100,-100,100,-1701.65235083019,-1400,-1600,-100,100,-700,700,-2600,300,-300
"107",3299,"Dallas",2008-12-13,7.69230769230769,-100,-100,-100,100,-100,100,-100,-100,100,-1693.96004313788,-1500,-1700,-200,200,-800,800,-2700,200,-200
"108",3327,"Dallas",2008-12-15,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1793.96004313788,-1600,-1800,-300,300,-900,900,-2800,100,-100
"109",3354,"Dallas",2008-12-17,71.4285714285714,100,100,-100,100,-100,100,100,-100,100,-1722.53147170931,-1500,-1700,-400,400,-1000,1000,-2700,0,0
"110",3378,"Dallas",2008-12-19,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1822.53147170931,-1600,-1800,-300,300,-900,900,-2800,100,-100
"111",3418,"Dallas",2008-12-21,38.4615384615385,100,100,-100,100,-100,100,100,-100,100,-1784.06993324777,-1500,-1700,-400,400,-1000,1000,-2700,0,0
"112",3451,"Dallas",2008-12-23,11.1111111111111,100,100,-100,100,-100,100,100,100,-100,-1772.95882213666,-1400,-1600,-500,500,-1100,1100,-2600,100,-100
"113",3466,"Dallas",2008-12-25,175,100,100,100,-100,100,-100,100,-100,100,-1597.95882213666,-1300,-1500,-400,400,-1000,1000,-2500,0,0
"114",3480,"Dallas",2008-12-26,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1697.95882213666,-1400,-1600,-500,500,-1100,1100,-2600,-100,100
"115",3506,"Dallas",2008-12-28,83.3333333333333,100,100,-100,100,-100,100,100,100,-100,-1614.62548880333,-1300,-1500,-600,600,-1200,1200,-2500,0,0
"116",3543,"Dallas",2008-12-30,7.27272727272727,-100,-100,100,-100,100,-100,100,100,-100,-1607.3527615306,-1400,-1600,-500,500,-1100,1100,-2400,100,-100
"117",3581,"Dallas",2009-01-02,26.3157894736842,100,100,-100,100,-100,100,100,100,-100,-1581.03697205692,-1300,-1500,-600,600,-1200,1200,-2300,200,-200
"118",3612,"Dallas",2009-01-04,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1681.03697205692,-1400,-1600,-700,700,-1300,1300,-2400,100,-100
"119",3637,"Dallas",2009-01-06,8.33333333333333,-100,-100,100,-100,100,-100,-100,-100,100,-1672.70363872358,-1500,-1700,-600,600,-1200,1200,-2500,0,0
"120",3667,"Dallas",2009-01-08,27.3972602739726,-100,-100,-100,100,-100,100,100,-100,100,-1645.30637844961,-1600,-1800,-700,700,-1300,1300,-2400,-100,100
"121",3692,"Dallas",2009-01-09,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1745.30637844961,-1700,-1900,-600,600,-1200,1200,-2500,0,0
"122",3716,"Dallas",2009-01-11,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1845.30637844961,-1800,-2000,-700,700,-1300,1300,-2600,-100,100
"123",3742,"Dallas",2009-01-13,-100,100,100,-100,100,-100,100,100,-100,100,-1945.30637844961,-1700,-1900,-800,800,-1400,1400,-2500,-200,200
"124",3759,"Dallas",2009-01-14,-100,-100,-100,100,-100,100,-100,-100,-100,100,-2045.30637844961,-1800,-2000,-700,700,-1300,1300,-2600,-300,300
"125",3807,"Dallas",2009-01-17,45.4545454545455,100,100,100,-100,100,-100,100,100,-100,-1999.85183299506,-1700,-1900,-600,600,-1200,1200,-2500,-200,200
"126",3816,"Dallas",2009-01-19,145,100,100,-100,100,-100,100,100,100,-100,-1854.85183299506,-1600,-1800,-700,700,-1300,1300,-2400,-100,100
"127",3856,"Dallas",2009-01-21,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1954.85183299506,-1700,-1900,-600,600,-1200,1200,-2500,0,0
"128",3876,"Dallas",2009-01-23,155,100,100,100,-100,100,-100,100,-100,100,-1799.85183299506,-1600,-1800,-500,500,-1100,1100,-2400,-100,100
"129",3906,"Dallas",2009-01-25,-100,-100,-100,100,-100,100,-100,100,100,-100,-1899.85183299506,-1700,-1900,-400,400,-1000,1000,-2300,0,0
"130",3965,"Dallas",2009-01-28,33.3333333333333,100,100,-100,100,-100,100,100,-100,100,-1866.51849966173,-1600,-1800,-500,500,-1100,1100,-2200,-100,100
"131",4002,"Dallas",2009-01-31,74.0740740740741,100,100,100,-100,100,-100,100,100,-100,-1792.44442558766,-1500,-1700,-400,400,-1000,1000,-2100,0,0
"132",4026,"Dallas",2009-02-02,280,100,100,-100,100,-100,100,100,-100,100,-1512.44442558766,-1400,-1600,-500,500,-1100,1100,-2000,-100,100
"133",4071,"Dallas",2009-02-04,62.5,100,100,100,-100,100,-100,-100,100,-100,-1449.94442558766,-1300,-1500,-400,400,-1000,1000,-2100,0,0
"134",4080,"Dallas",2009-02-05,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1549.94442558766,-1400,-1600,-500,500,-1100,1100,-2200,-100,100
"135",4109,"Dallas",2009-02-07,33.3333333333333,-100,-100,100,-100,100,-100,-100,-100,100,-1516.61109225432,-1500,-1700,-400,400,-1000,1000,-2300,-200,200
"136",4151,"Dallas",2009-02-10,13.3333333333333,100,100,100,-100,100,-100,100,-100,100,-1503.27775892099,-1400,-1600,-300,300,-900,900,-2200,-300,300
"137",4185,"Dallas",2009-02-12,-100,-100,-100,-100,100,-100,100,-100,100,-100,-1603.27775892099,-1500,-1700,-400,400,-1000,1000,-2300,-200,200
"138",4221,"Dallas",2009-02-18,27.027027027027,100,100,100,-100,100,-100,100,100,-100,-1576.25073189396,-1400,-1600,-300,300,-900,900,-2200,-100,100
