"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",21,"Denver",2007-10-31,12.1212121212121,100,100,100,-100,100,-100,100,-100,100,12.1212121212121,100,100,100,-100,100,-100,100,-100,100
"2",46,"Denver",2007-11-02,26.6666666666667,-100,100,-100,100,-100,100,100,-100,100,38.7878787878788,0,200,0,0,0,0,200,-200,200
"3",77,"Denver",2007-11-04,-100,-100,-100,-100,100,-100,100,-100,-100,100,-61.2121212121212,-100,100,-100,100,-100,100,100,-300,300
"4",90,"Denver",2007-11-06,-100,-100,-100,100,-100,100,-100,-100,0,0,-161.212121212121,-200,0,0,0,0,0,0,-300,300
"5",114,"Denver",2007-11-07,-100,-100,-100,100,-100,100,-100,100,-100,100,-261.212121212121,-300,-100,100,-100,100,-100,100,-400,400
"6",144,"Denver",2007-11-09,76.9230769230769,100,100,-100,100,100,-100,100,-100,100,-184.289044289044,-200,0,0,0,200,-200,200,-500,500
"7",156,"Denver",2007-11-10,80,100,100,100,-100,100,-100,100,-100,100,-104.289044289044,-100,100,100,-100,300,-300,300,-600,600
"8",185,"Denver",2007-11-12,29.8507462686567,100,100,100,-100,100,-100,100,100,-100,-74.4382980203876,0,200,200,-200,400,-400,400,-500,500
"9",223,"Denver",2007-11-14,14.2857142857143,100,100,-100,100,-100,100,100,100,-100,-60.1525837346733,100,300,100,-100,300,-300,500,-400,400
"10",275,"Denver",2007-11-17,7.69230769230769,100,100,-100,100,-100,100,100,-100,100,-52.4602760423656,200,400,0,0,200,-200,600,-500,500
"11",307,"Denver",2007-11-20,22.2222222222222,100,100,-100,100,100,-100,100,-100,100,-30.2380538201434,300,500,-100,100,300,-300,700,-600,600
"12",336,"Denver",2007-11-21,-100,-100,-100,-100,100,-100,100,-100,-100,100,-130.238053820143,200,400,-200,200,200,-200,600,-700,700
"13",351,"Denver",2007-11-23,5.26315789473684,-100,-100,-100,100,-100,100,-100,-100,100,-124.974895925407,100,300,-300,300,100,-100,500,-800,800
"14",376,"Denver",2007-11-24,-100,-100,-100,-100,100,-100,100,-100,-100,100,-224.974895925407,0,200,-400,400,0,0,400,-900,900
"15",415,"Denver",2007-11-27,-100,-100,-100,100,-100,100,-100,-100,100,-100,-324.974895925407,-100,100,-300,300,100,-100,300,-800,800
"16",442,"Denver",2007-11-29,-100,-100,-100,100,-100,100,-100,-100,100,-100,-424.974895925407,-200,0,-200,200,200,-200,200,-700,700
"17",465,"Denver",2007-11-30,20,100,100,100,-100,100,-100,100,100,-100,-404.974895925407,-100,100,-100,100,300,-300,300,-600,600
"18",491,"Denver",2007-12-02,46.5116279069767,100,100,100,-100,-100,100,100,100,-100,-358.46326801843,0,200,0,0,200,-200,400,-500,500
"19",537,"Denver",2007-12-05,-100,-100,-100,-100,100,-100,100,-100,-100,100,-458.46326801843,-100,100,-100,100,100,-100,300,-600,600
"20",546,"Denver",2007-12-06,330,100,100,100,-100,100,-100,100,100,-100,-128.46326801843,0,200,0,0,200,-200,400,-500,500
"21",583,"Denver",2007-12-08,6.25,-100,-100,-100,100,-100,100,-100,-100,100,-122.21326801843,-100,100,-100,100,100,-100,300,-600,600
"22",641,"Denver",2007-12-12,27.3972602739726,-100,-100,-100,100,-100,100,100,-100,100,-94.8160077444572,-200,0,-200,200,0,0,400,-700,700
"23",690,"Denver",2007-12-15,-100,-100,-100,-100,100,-100,100,-100,-100,100,-194.816007744457,-300,-100,-300,300,-100,100,300,-800,800
"24",701,"Denver",2007-12-16,-100,-100,-100,100,-100,100,-100,-100,100,-100,-294.816007744457,-400,-200,-200,200,0,0,200,-700,700
"25",757,"Denver",2007-12-20,27.7777777777778,-100,-100,100,-100,100,-100,-100,100,-100,-267.038229966679,-500,-300,-100,100,100,-100,100,-600,600
