"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",24,"Detroit",2007-11-01,52.6315789473684,100,100,-100,100,-100,100,100,-100,100,52.6315789473684,100,100,-100,100,-100,100,100,-100,100
"2",32,"Detroit",2007-11-02,150,100,100,100,-100,100,-100,100,-100,100,202.631578947368,200,200,0,0,0,0,200,-200,200
"3",75,"Detroit",2007-11-04,28.5714285714286,-100,-100,-100,100,-100,100,-100,-100,100,231.203007518797,100,100,-100,100,-100,100,100,-300,300
"4",126,"Detroit",2007-11-08,-100,-100,-100,100,-100,100,-100,100,100,-100,131.203007518797,0,0,0,0,0,0,200,-200,200
"5",139,"Detroit",2007-11-09,26.6666666666667,100,100,-100,100,-100,100,100,-100,100,157.869674185464,100,100,-100,100,-100,100,300,-300,300
"6",180,"Detroit",2007-11-11,36.3636363636364,-100,-100,100,-100,100,-100,-100,-100,100,194.2333105491,0,0,0,0,0,0,200,-400,400
"7",204,"Detroit",2007-11-13,-100,-100,-100,100,-100,100,-100,-100,-100,100,94.2333105491,-100,-100,100,-100,100,-100,100,-500,500
"8",230,"Detroit",2007-11-14,83.3333333333333,100,100,100,-100,100,-100,100,-100,100,177.566643882433,0,0,200,-200,200,-200,200,-600,600
"9",256,"Detroit",2007-11-16,-100,-100,-100,-100,100,-100,100,-100,100,-100,77.5666438824334,-100,-100,100,-100,100,-100,100,-500,500
"10",284,"Detroit",2007-11-18,-100,-100,-100,100,-100,100,-100,-100,-100,100,-22.4333561175666,-200,-200,200,-200,200,-200,0,-600,600
"11",327,"Detroit",2007-11-21,12.5,100,100,-100,100,-100,100,-100,-100,100,-9.93335611756662,-100,-100,100,-100,100,-100,-100,-700,700
"12",343,"Detroit",2007-11-23,16.6666666666667,-100,-100,-100,100,-100,100,-100,-100,100,6.73331054910004,-200,-200,0,0,0,0,-200,-800,800
"13",383,"Detroit",2007-11-25,-100,-100,-100,100,-100,100,-100,-100,-100,100,-93.2666894509,-300,-300,100,-100,100,-100,-300,-900,900
"14",425,"Detroit",2007-11-28,25,100,100,-100,100,-100,100,100,-100,100,-68.2666894509,-200,-200,0,0,0,0,-200,-1000,1000
"15",476,"Detroit",2007-12-01,43.4782608695652,100,100,100,-100,100,-100,100,100,-100,-24.7884285813347,-100,-100,100,-100,100,-100,-100,-900,900
"16",487,"Detroit",2007-12-02,28.169014084507,100,100,100,-100,100,-100,100,100,-100,3.38058550317231,0,0,200,-200,200,-200,0,-800,800
"17",512,"Detroit",2007-12-04,41.6666666666667,100,100,100,-100,100,-100,100,100,-100,45.047252169839,100,100,300,-300,300,-300,100,-700,700
"18",532,"Detroit",2007-12-05,100,100,100,-100,100,-100,100,100,-100,100,145.047252169839,200,200,200,-200,200,-200,200,-800,800
"19",555,"Detroit",2007-12-07,-100,-100,-100,100,-100,100,-100,-100,100,-100,45.047252169839,100,100,300,-300,300,-300,100,-700,700
"20",591,"Detroit",2007-12-09,10.8108108108108,100,100,100,-100,-100,100,100,-100,100,55.8580629806498,200,200,400,-400,200,-200,200,-800,800
"21",618,"Detroit",2007-12-11,41.6666666666667,100,100,100,-100,100,-100,-100,100,-100,97.5247296473165,300,300,500,-500,300,-300,100,-700,700
"22",638,"Detroit",2007-12-12,-100,-100,100,-100,100,-100,100,100,-100,100,-2.47527035268354,200,400,400,-400,200,-200,200,-800,800
"23",659,"Detroit",2007-12-14,18.1818181818182,-100,100,-100,100,-100,100,-100,0,0,15.7065478291346,100,500,300,-300,100,-100,100,-800,800
"24",697,"Detroit",2007-12-16,41.6666666666667,100,100,-100,100,-100,100,100,100,-100,57.3732144958013,200,600,200,-200,0,0,200,-700,700
"25",736,"Detroit",2007-12-19,210,100,100,-100,100,-100,100,100,-100,100,267.373214495801,300,700,100,-100,-100,100,300,-800,800
"26",771,"Detroit",2007-12-21,17.8571428571429,100,100,-100,100,-100,100,100,-100,100,285.230357352944,400,800,0,0,-200,200,400,-900,900
"27",801,"Detroit",2007-12-23,28.5714285714286,100,100,-100,100,-100,100,100,-100,100,313.801785924373,500,900,-100,100,-300,300,500,-1000,1000
"28",822,"Detroit",2007-12-26,46.5116279069767,100,100,-100,100,0,0,100,100,-100,360.31341383135,600,1000,-200,200,-300,300,600,-900,900
"29",849,"Detroit",2007-12-28,18.1818181818182,100,100,100,-100,100,-100,-100,100,-100,378.495232013168,700,1100,-100,100,-200,200,500,-800,800
"30",870,"Detroit",2007-12-29,52.6315789473684,100,100,-100,100,-100,100,100,-100,100,431.126810960536,800,1200,-200,200,-300,300,600,-900,900
"31",899,"Detroit",2007-12-31,7.69230769230769,100,100,-100,100,-100,100,100,-100,100,438.819118652844,900,1300,-300,300,-400,400,700,-1000,1000
"32",914,"Detroit",2008-01-02,43.4782608695652,100,100,100,-100,100,-100,100,-100,100,482.297379522409,1000,1400,-200,200,-300,300,800,-1100,1100
"33",944,"Detroit",2008-01-04,50,100,100,-100,100,100,-100,100,100,-100,532.297379522409,1100,1500,-300,300,-200,200,900,-1000,1000
"34",967,"Detroit",2008-01-05,-100,-100,-100,-100,100,-100,100,-100,100,-100,432.297379522409,1000,1400,-400,400,-300,300,800,-900,900
"35",1030,"Detroit",2008-01-09,-100,-100,-100,-100,100,-100,100,-100,100,-100,332.297379522409,900,1300,-500,500,-400,400,700,-800,800
"36",1038,"Detroit",2008-01-10,135,100,100,-100,100,-100,100,100,-100,100,467.297379522409,1000,1400,-600,600,-500,500,800,-900,900
"37",1066,"Detroit",2008-01-12,16.6666666666667,-100,-100,100,-100,100,-100,-100,-100,100,483.964046189076,900,1300,-500,500,-400,400,700,-1000,1000
"38",1086,"Detroit",2008-01-13,-100,-100,-100,-100,100,-100,100,-100,-100,100,383.964046189076,800,1200,-600,600,-500,500,600,-1100,1100
"39",1109,"Detroit",2008-01-15,28.5714285714286,100,100,100,-100,100,-100,100,-100,100,412.535474760504,900,1300,-500,500,-400,400,700,-1200,1200
"40",1155,"Detroit",2008-01-18,-100,-100,-100,-100,100,0,0,-100,-100,100,312.535474760504,800,1200,-600,600,-400,400,600,-1300,1300
"41",1178,"Detroit",2008-01-19,-100,-100,-100,-100,100,-100,100,-100,-100,100,212.535474760504,700,1100,-700,700,-500,500,500,-1400,1400
"42",1208,"Detroit",2008-01-21,-100,-100,-100,100,-100,100,-100,100,100,-100,112.535474760504,600,1000,-600,600,-400,400,600,-1300,1300
"43",1218,"Detroit",2008-01-23,31.7460317460317,100,100,-100,100,-100,100,-100,-100,100,144.281506506536,700,1100,-700,700,-500,500,500,-1400,1400
"44",1257,"Detroit",2008-01-25,30.7692307692308,100,100,100,-100,100,-100,-100,-100,100,175.050737275767,800,1200,-600,600,-400,400,400,-1500,1500
"45",1310,"Detroit",2008-01-29,30.3030303030303,-100,-100,100,-100,100,-100,100,0,0,205.353767578797,700,1100,-500,500,-300,300,500,-1500,1500
"46",1347,"Detroit",2008-01-31,24.0963855421687,-100,-100,-100,100,-100,100,-100,-100,100,229.450153120966,600,1000,-600,600,-400,400,400,-1600,1600
"47",1391,"Detroit",2008-02-03,40,100,100,-100,100,-100,100,100,-100,100,269.450153120966,700,1100,-700,700,-500,500,500,-1700,1700
"48",1431,"Detroit",2008-02-06,3.33333333333333,-100,-100,100,-100,100,-100,-100,100,-100,272.783486454299,600,1000,-600,600,-400,400,400,-1600,1600
"49",1459,"Detroit",2008-02-08,12.1212121212121,-100,-100,-100,100,-100,100,-100,-100,100,284.904698575511,500,900,-700,700,-500,500,300,-1700,1700
"50",1491,"Detroit",2008-02-10,7.69230769230769,100,100,100,-100,100,-100,100,100,-100,292.597006267819,600,1000,-600,600,-400,400,400,-1600,1600
"51",1514,"Detroit",2008-02-12,43.4782608695652,-100,-100,-100,100,100,-100,-100,-100,100,336.075267137384,500,900,-700,700,-300,300,300,-1700,1700
"52",1535,"Detroit",2008-02-13,15.3846153846154,100,100,-100,100,-100,100,100,-100,100,351.459882521999,600,1000,-800,800,-400,400,400,-1800,1800
"53",1561,"Detroit",2008-02-19,-100,-100,-100,-100,100,-100,100,-100,-100,100,251.459882522,500,900,-900,900,-500,500,300,-1900,1900
"54",1578,"Detroit",2008-02-20,-100,-100,-100,100,-100,100,-100,100,100,-100,151.459882522,400,800,-800,800,-400,400,400,-1800,1800
"55",1609,"Detroit",2008-02-22,7.69230769230769,100,100,100,-100,100,-100,100,100,-100,159.152190214307,500,900,-700,700,-300,300,500,-1700,1700
"56",1636,"Detroit",2008-02-24,120,100,100,100,-100,100,-100,100,100,-100,279.152190214307,600,1000,-600,600,-200,200,600,-1600,1600
"57",1660,"Detroit",2008-02-25,120,100,100,-100,100,-100,100,100,-100,100,399.152190214307,700,1100,-700,700,-300,300,700,-1700,1700
"58",1694,"Detroit",2008-02-27,-100,-100,-100,0,0,100,-100,-100,100,-100,299.152190214307,600,1000,-700,700,-200,200,600,-1600,1600
"59",1738,"Detroit",2008-03-01,28.5714285714286,100,100,-100,100,-100,100,100,-100,100,327.723618785736,700,1100,-800,800,-300,300,700,-1700,1700
"60",1771,"Detroit",2008-03-04,3.33333333333333,-100,-100,100,-100,100,-100,-100,-100,100,331.056952119069,600,1000,-700,700,-200,200,600,-1800,1800
"61",1792,"Detroit",2008-03-05,-100,-100,-100,-100,100,-100,100,-100,-100,100,231.056952119069,500,900,-800,800,-300,300,500,-1900,1900
"62",1820,"Detroit",2008-03-07,16.6666666666667,-100,-100,100,-100,100,-100,-100,-100,100,247.723618785736,400,800,-700,700,-200,200,400,-2000,2000
"63",1863,"Detroit",2008-03-09,20,-100,-100,100,-100,100,-100,-100,100,-100,267.723618785736,300,700,-600,600,-100,100,300,-1900,1900
"64",1897,"Detroit",2008-03-12,-100,-100,-100,-100,100,-100,100,-100,-100,100,167.723618785736,200,600,-700,700,-200,200,200,-2000,2000
"65",1927,"Detroit",2008-03-14,62.5,100,100,-100,100,-100,100,100,-100,100,230.223618785736,300,700,-800,800,-300,300,300,-2100,2100
"66",1959,"Detroit",2008-03-16,40,100,100,100,-100,100,-100,100,-100,100,270.223618785736,400,800,-700,700,-200,200,400,-2200,2200
"67",1987,"Detroit",2008-03-18,50,100,100,100,-100,100,-100,-100,100,-100,320.223618785736,500,900,-600,600,-100,100,300,-2100,2100
"68",2016,"Detroit",2008-03-19,-100,-100,-100,-100,100,-100,100,-100,-100,100,220.223618785736,400,800,-700,700,-200,200,200,-2200,2200
"69",2074,"Detroit",2008-03-23,-100,-100,-100,-100,100,-100,100,-100,-100,100,120.223618785736,300,700,-800,800,-300,300,100,-2300,2300
"70",2083,"Detroit",2008-03-24,90.9090909090909,100,100,100,-100,100,-100,-100,-100,100,211.132709694827,400,800,-700,700,-200,200,0,-2400,2400
"71",2106,"Detroit",2008-03-26,-100,-100,-100,-100,100,-100,100,-100,-100,100,111.132709694827,300,700,-800,800,-300,300,-100,-2500,2500
"72",2129,"Detroit",2008-03-27,1.17647058823529,-100,-100,-100,100,-100,100,100,-100,100,112.309180283062,200,600,-900,900,-400,400,0,-2600,2600
"73",2159,"Detroit",2008-03-29,33.3333333333333,100,100,-100,100,-100,100,-100,-100,100,145.642513616395,300,700,-1000,1000,-500,500,-100,-2700,2700
"74",2202,"Detroit",2008-04-01,68.9655172413793,-100,100,-100,100,100,-100,100,100,-100,214.608030857775,200,800,-1100,1100,-400,400,0,-2600,2600
"75",2247,"Detroit",2008-04-04,18.1818181818182,100,100,100,-100,100,-100,100,0,0,232.789849039593,300,900,-1000,1000,-300,300,100,-2600,2600
"76",2272,"Detroit",2008-04-06,5,100,100,-100,100,-100,100,100,100,-100,237.789849039593,400,1000,-1100,1100,-400,400,200,-2500,2500
"77",2297,"Detroit",2008-04-08,-100,-100,-100,-100,100,-100,100,100,100,-100,137.789849039593,300,900,-1200,1200,-500,500,300,-2400,2400
"78",2322,"Detroit",2008-04-09,-100,-100,-100,100,-100,100,-100,100,-100,100,37.7898490395928,200,800,-1100,1100,-400,400,400,-2500,2500
"79",2351,"Detroit",2008-04-11,52.6315789473684,100,100,-100,100,-100,100,100,-100,100,90.4214279869612,300,900,-1200,1200,-500,500,500,-2600,2600
"80",2383,"Detroit",2008-04-13,43.4782608695652,100,100,-100,100,-100,100,100,-100,100,133.899688856526,400,1000,-1300,1300,-600,600,600,-2700,2700
"81",2411,"Detroit",2008-04-15,28.5714285714286,100,100,100,-100,100,-100,100,100,-100,162.471117427955,500,1100,-1200,1200,-500,500,700,-2600,2600
"82",2420,"Detroit",2008-04-16,26.6666666666667,100,100,-100,100,-100,100,100,0,0,189.137784094622,600,1200,-1300,1300,-600,600,800,-2600,2600
"83",2459,"Detroit",2008-04-20,-100,-100,-100,-100,100,-100,100,-100,-100,100,89.1377840946217,500,1100,-1400,1400,-700,700,700,-2700,2700
"84",2473,"Detroit",2008-04-23,12.5,100,100,100,-100,100,-100,-100,100,-100,101.637784094622,600,1200,-1300,1300,-600,600,600,-2600,2600
"85",2486,"Detroit",2008-04-25,-100,-100,-100,-100,100,-100,100,-100,-100,100,1.63778409462169,500,1100,-1400,1400,-700,700,500,-2700,2700
"86",2504,"Detroit",2008-04-27,38.4615384615385,100,100,-100,100,-100,100,100,100,-100,40.0993225561601,600,1200,-1500,1500,-800,800,600,-2600,2600
"87",2513,"Detroit",2008-04-29,16,100,100,100,-100,0,0,100,-100,100,56.0993225561601,700,1300,-1400,1400,-800,800,700,-2700,2700
"88",2526,"Detroit",2008-05-01,47.6190476190476,100,100,-100,100,-100,100,100,100,-100,103.718370175208,800,1400,-1500,1500,-900,900,800,-2600,2600
"89",2535,"Detroit",2008-05-03,34.4827586206897,100,100,-100,100,-100,100,100,-100,100,138.201128795897,900,1500,-1600,1600,-1000,1000,900,-2700,2700
"90",2541,"Detroit",2008-05-05,38.4615384615385,100,100,100,-100,100,-100,-100,100,-100,176.662667257436,1000,1600,-1500,1500,-900,900,800,-2600,2600
"91",2550,"Detroit",2008-05-07,-100,-100,-100,100,-100,100,-100,-100,100,-100,76.6626672574359,900,1500,-1400,1400,-800,800,700,-2500,2500
"92",2556,"Detroit",2008-05-10,210,100,100,-100,100,-100,100,100,-100,100,286.662667257436,1000,1600,-1500,1500,-900,900,800,-2600,2600
"93",2565,"Detroit",2008-05-13,40,-100,-100,-100,100,-100,100,-100,-100,100,326.662667257436,900,1500,-1600,1600,-1000,1000,700,-2700,2700
"94",2584,"Detroit",2008-05-20,-100,-100,-100,-100,100,-100,100,-100,-100,100,226.662667257436,800,1400,-1700,1700,-1100,1100,600,-2800,2800
"95",2588,"Detroit",2008-05-22,175,100,100,100,-100,100,-100,100,100,-100,401.662667257436,900,1500,-1600,1600,-1000,1000,700,-2700,2700
"96",2591,"Detroit",2008-05-24,-100,-100,-100,-100,100,-100,100,-100,100,-100,301.662667257436,800,1400,-1700,1700,-1100,1100,600,-2600,2600
"97",2595,"Detroit",2008-05-26,40,100,100,-100,100,-100,100,100,-100,100,341.662667257436,900,1500,-1800,1800,-1200,1200,700,-2700,2700
"98",2600,"Detroit",2008-05-28,-100,100,100,100,-100,100,-100,100,100,-100,241.662667257436,1000,1600,-1700,1700,-1100,1100,800,-2600,2600
"99",2603,"Detroit",2008-05-30,-100,-100,-100,-100,100,-100,100,-100,100,-100,141.662667257436,900,1500,-1800,1800,-1200,1200,700,-2500,2500
"100",2631,"Detroit",2008-10-29,14.2857142857143,-100,-100,100,-100,100,-100,-100,100,-100,155.94838154315,800,1400,-1700,1700,-1100,1100,600,-2400,2400
"101",2677,"Detroit",2008-11-01,20,-100,-100,100,-100,100,-100,100,100,-100,175.94838154315,700,1300,-1600,1600,-1000,1000,700,-2300,2300
"102",2702,"Detroit",2008-11-03,62.5,100,100,100,-100,100,-100,100,100,-100,238.44838154315,800,1400,-1500,1500,-900,900,800,-2200,2200
"103",2718,"Detroit",2008-11-05,145,100,100,100,-100,100,-100,100,100,-100,383.44838154315,900,1500,-1400,1400,-800,800,900,-2100,2100
"104",2752,"Detroit",2008-11-07,-100,-100,-100,100,-100,100,-100,-100,100,-100,283.44838154315,800,1400,-1300,1300,-700,700,800,-2000,2000
"105",2791,"Detroit",2008-11-09,-100,-100,-100,-100,100,-100,100,100,-100,100,183.44838154315,700,1300,-1400,1400,-800,800,900,-2100,2100
"106",2824,"Detroit",2008-11-11,28.5714285714286,100,100,-100,100,-100,100,100,-100,100,212.019810114579,800,1400,-1500,1500,-900,900,1000,-2200,2200
"107",2854,"Detroit",2008-11-13,54.054054054054,100,100,100,-100,100,-100,100,100,-100,266.073864168633,900,1500,-1400,1400,-800,800,1100,-2100,2100
"108",2878,"Detroit",2008-11-14,400,100,100,100,-100,100,-100,100,100,-100,666.073864168633,1000,1600,-1300,1300,-700,700,1200,-2000,2000
"109",2902,"Detroit",2008-11-16,-100,-100,-100,-100,100,-100,100,-100,-100,100,566.073864168633,900,1500,-1400,1400,-800,800,1100,-2100,2100
"110",2937,"Detroit",2008-11-19,71.4285714285714,100,100,-100,100,-100,100,100,100,-100,637.502435597204,1000,1600,-1500,1500,-900,900,1200,-2000,2000
"111",2954,"Detroit",2008-11-20,-100,-100,-100,-100,100,-100,100,-100,-100,100,537.502435597204,900,1500,-1600,1600,-1000,1000,1100,-2100,2100
"112",3005,"Detroit",2008-11-23,-100,-100,-100,-100,100,-100,100,-100,100,-100,437.502435597204,800,1400,-1700,1700,-1100,1100,1000,-2000,2000
"113",3047,"Detroit",2008-11-26,6.66666666666667,100,100,-100,100,-100,100,-100,0,0,444.169102263871,900,1500,-1800,1800,-1200,1200,900,-2000,2000
"114",3075,"Detroit",2008-11-28,20,100,100,100,-100,100,-100,-100,-100,100,464.169102263871,1000,1600,-1700,1700,-1100,1100,800,-2100,2100
"115",3109,"Detroit",2008-11-30,-100,-100,-100,-100,100,-100,100,-100,-100,100,364.169102263871,900,1500,-1800,1800,-1200,1200,700,-2200,2200
