"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",3,"GoldenState",2007-10-30,-100,-100,-100,-100,100,100,-100,-100,-100,100,-100,-100,-100,-100,100,100,-100,-100,-100,100
"2",54,"GoldenState",2007-11-02,-100,-100,-100,100,-100,100,-100,-100,100,-100,-200,-200,-200,0,0,200,-200,-200,0,0
"3",66,"GoldenState",2007-11-03,-100,-100,-100,100,-100,100,-100,-100,100,-100,-300,-300,-300,100,-100,300,-300,-300,100,-100
"4",101,"GoldenState",2007-11-06,-100,-100,-100,100,-100,100,-100,-100,-100,100,-400,-400,-400,200,-200,400,-400,-400,0,0
"5",127,"GoldenState",2007-11-08,-100,100,100,100,-100,100,-100,-100,100,-100,-500,-300,-300,300,-300,500,-500,-500,100,-100
"6",229,"GoldenState",2007-11-14,-100,-100,-100,100,-100,100,-100,-100,-100,100,-600,-400,-400,400,-400,600,-600,-600,0,0
"7",257,"GoldenState",2007-11-16,40,100,100,100,-100,100,-100,100,100,-100,-560,-300,-300,500,-500,700,-700,-500,100,-100
"8",280,"GoldenState",2007-11-18,220,100,100,-100,100,-100,100,100,-100,100,-340,-200,-200,400,-400,600,-600,-400,0,0
"9",304,"GoldenState",2007-11-20,83.3333333333333,100,100,-100,100,-100,100,100,-100,100,-256.666666666667,-100,-100,300,-300,500,-500,-300,-100,100
"10",314,"GoldenState",2007-11-21,-100,-100,-100,-100,100,-100,100,-100,-100,100,-356.666666666667,-200,-200,200,-200,400,-400,-400,-200,200
"11",338,"GoldenState",2007-11-23,74.0740740740741,100,100,100,-100,100,-100,100,100,-100,-282.592592592593,-100,-100,300,-300,500,-500,-300,-100,100
"12",370,"GoldenState",2007-11-24,60.6060606060606,100,-100,-100,100,-100,100,100,-100,100,-221.986531986532,0,-200,200,-200,400,-400,-200,-200,200
