"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",6,"Houston",2007-10-30,43.4782608695652,-100,-100,-100,100,-100,100,-100,100,-100,43.4782608695652,-100,-100,-100,100,-100,100,-100,100,-100
"2",26,"Houston",2007-11-01,140,100,100,100,-100,100,-100,100,-100,100,183.478260869565,0,0,0,0,0,0,0,0,0
"3",63,"Houston",2007-11-03,10,-100,-100,-100,100,-100,100,-100,-100,100,193.478260869565,-100,-100,-100,100,-100,100,-100,-100,100
"4",84,"Houston",2007-11-05,-100,-100,-100,100,-100,100,-100,-100,100,-100,93.4782608695652,-200,-200,0,0,0,0,-200,0,0
"5",95,"Houston",2007-11-06,115,100,100,-100,100,-100,100,-100,100,-100,208.478260869565,-100,-100,-100,100,-100,100,-300,100,-100
"6",145,"Houston",2007-11-09,21.0526315789474,100,100,100,-100,100,-100,100,100,-100,229.530892448513,0,0,0,0,0,0,-200,200,-200
"7",172,"Houston",2007-11-11,36.3636363636364,-100,-100,-100,100,-100,100,100,-100,100,265.894528812149,-100,-100,-100,100,-100,100,-100,100,-100
"8",196,"Houston",2007-11-13,-100,-100,-100,100,-100,100,-100,-100,100,-100,165.894528812149,-200,-200,0,0,0,0,-200,200,-200
"9",225,"Houston",2007-11-14,-100,-100,-100,-100,100,-100,100,100,-100,100,65.894528812149,-300,-300,-100,100,-100,100,-100,100,-100
"10",248,"Houston",2007-11-16,-100,100,100,-100,100,-100,100,100,-100,100,-34.105471187851,-200,-200,-200,200,-200,200,0,0,0
"11",273,"Houston",2007-11-17,-100,-100,-100,100,-100,100,-100,100,-100,100,-134.105471187851,-300,-300,-100,100,-100,100,100,-100,100
"12",315,"Houston",2007-11-21,-100,-100,-100,100,-100,100,-100,-100,100,-100,-234.105471187851,-400,-400,0,0,0,0,0,0,0
"13",348,"Houston",2007-11-23,-100,-100,-100,100,-100,100,-100,-100,-100,100,-334.105471187851,-500,-500,100,-100,100,-100,-100,-100,100
"14",375,"Houston",2007-11-24,40,100,100,-100,100,-100,100,100,-100,100,-294.105471187851,-400,-400,0,0,0,0,0,-200,200
"15",402,"Houston",2007-11-26,36.3636363636364,100,100,-100,100,-100,100,100,-100,100,-257.741834824215,-300,-300,-100,100,-100,100,100,-300,300
"16",432,"Houston",2007-11-28,160,100,100,-100,100,-100,100,100,-100,100,-97.7418348242147,-200,-200,-200,200,-200,200,200,-400,400
