"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",9,"Indiana",2007-10-31,105,100,100,100,-100,100,-100,-100,100,-100,105,100,100,100,-100,100,-100,-100,100,-100
"2",33,"Indiana",2007-11-02,36.3636363636364,-100,-100,-100,100,-100,100,-100,-100,100,141.363636363636,0,0,0,0,0,0,-200,0,0
"3",60,"Indiana",2007-11-03,180,100,100,100,-100,100,-100,100,-100,100,321.363636363636,100,100,100,-100,100,-100,-100,-100,100
"4",109,"Indiana",2007-11-07,-100,-100,-100,-100,100,-100,100,-100,-100,100,221.363636363636,0,0,0,0,0,0,-200,-200,200
"5",132,"Indiana",2007-11-09,-100,-100,-100,-100,100,-100,100,-100,100,-100,121.363636363636,-100,-100,-100,100,-100,100,-300,-100,100
"6",155,"Indiana",2007-11-10,-100,-100,-100,100,-100,100,-100,-100,-100,100,21.3636363636364,-200,-200,0,0,0,0,-400,-200,200
"7",193,"Indiana",2007-11-13,-100,-100,-100,-100,100,-100,100,-100,-100,100,-78.6363636363636,-300,-300,-100,100,-100,100,-500,-300,300
"8",206,"Indiana",2007-11-14,-100,-100,-100,-100,100,-100,100,100,-100,100,-178.636363636364,-400,-400,-200,200,-200,200,-400,-400,400
"9",238,"Indiana",2007-11-16,-100,-100,-100,100,-100,100,-100,-100,100,-100,-278.636363636364,-500,-500,-100,100,-100,100,-500,-300,300
"10",263,"Indiana",2007-11-17,190,100,100,100,-100,100,-100,100,-100,100,-88.6363636363636,-400,-400,0,0,0,0,-400,-400,400
"11",299,"Indiana",2007-11-20,-100,-100,-100,100,-100,100,-100,-100,100,-100,-188.636363636364,-500,-500,100,-100,100,-100,-500,-300,300
"12",320,"Indiana",2007-11-21,275,100,100,100,-100,-100,100,100,-100,100,86.3636363636364,-400,-400,200,-200,0,0,-400,-400,400
"13",345,"Indiana",2007-11-23,280,100,100,100,-100,100,-100,100,0,0,366.363636363636,-300,-300,300,-300,100,-100,-300,-400,400
"14",385,"Indiana",2007-11-25,-100,-100,-100,100,-100,100,-100,-100,100,-100,266.363636363636,-400,-400,400,-400,200,-200,-400,-300,300
"15",416,"Indiana",2007-11-27,295,100,100,100,-100,100,-100,100,100,-100,561.363636363636,-300,-300,500,-500,300,-300,-300,-200,200
