"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",5,"LALakers",2007-10-30,-100,100,100,-100,100,-100,100,100,100,-100,-100,100,100,-100,100,-100,100,100,100,-100
"2",52,"LALakers",2007-11-02,365,100,100,0,0,100,-100,100,-100,100,265,200,200,-100,100,0,0,200,0,0
"3",81,"LALakers",2007-11-04,86.9565217391304,100,100,100,-100,100,-100,100,100,-100,351.95652173913,300,300,0,0,100,-100,300,100,-100
"4",103,"LALakers",2007-11-06,-100,-100,-100,100,-100,100,-100,-100,100,-100,251.95652173913,200,200,100,-100,200,-200,200,200,-200
"5",151,"LALakers",2007-11-09,12.5,100,100,-100,100,-100,100,100,-100,100,264.45652173913,300,300,0,0,100,-100,300,100,-100
"6",200,"LALakers",2007-11-13,-100,-100,-100,100,-100,0,0,100,100,-100,164.45652173913,200,200,100,-100,100,-100,400,200,-200
"7",226,"LALakers",2007-11-14,240,100,100,-100,100,-100,100,-100,-100,100,404.45652173913,300,300,0,0,0,0,300,100,-100
"8",255,"LALakers",2007-11-16,57.1428571428571,100,100,-100,100,-100,100,100,100,-100,461.599378881988,400,400,-100,100,-100,100,400,200,-200
"9",285,"LALakers",2007-11-18,43.4782608695652,100,100,-100,100,-100,100,100,-100,100,505.077639751553,500,500,-200,200,-200,200,500,100,-100
"10",300,"LALakers",2007-11-20,80,100,100,100,-100,100,-100,100,100,-100,585.077639751553,600,600,-100,100,-100,100,600,200,-200
"11",326,"LALakers",2007-11-21,-100,-100,-100,100,-100,100,-100,-100,100,-100,485.077639751553,500,500,0,0,0,0,500,300,-300
"12",342,"LALakers",2007-11-23,-100,-100,-100,-100,100,-100,100,100,100,-100,385.077639751553,400,400,-100,100,-100,100,600,400,-400
"13",389,"LALakers",2007-11-25,-100,-100,-100,100,-100,100,-100,-100,100,-100,285.077639751553,300,300,0,0,0,0,500,500,-500
"14",417,"LALakers",2007-11-27,11.1111111111111,-100,-100,-100,100,-100,100,-100,-100,100,296.188750862664,200,200,-100,100,-100,100,400,400,-400
"15",441,"LALakers",2007-11-29,43.4782608695652,100,100,100,-100,100,-100,100,100,-100,339.667011732229,300,300,0,0,0,0,500,500,-500
