"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",17,"Memphis",2007-10-31,-100,100,100,100,-100,100,-100,100,100,-100,-100,100,100,100,-100,100,-100,100,100,-100
"2",59,"Memphis",2007-11-03,-100,-100,-100,100,-100,100,-100,-100,-100,100,-200,0,0,200,-200,200,-200,0,0,0
"3",120,"Memphis",2007-11-07,90.9090909090909,100,100,-100,100,-100,100,100,-100,100,-109.090909090909,100,100,100,-100,100,-100,100,-100,100
"4",148,"Memphis",2007-11-09,-100,-100,-100,0,0,-100,100,-100,-100,100,-209.090909090909,0,0,100,-100,0,0,0,-200,200
"5",164,"Memphis",2007-11-10,-100,-100,-100,-100,100,-100,100,-100,-100,100,-309.090909090909,-100,-100,0,0,-100,100,-100,-300,300
"6",195,"Memphis",2007-11-13,230,100,100,100,-100,100,-100,100,100,-100,-79.0909090909091,0,0,100,-100,0,0,0,-200,200
"7",220,"Memphis",2007-11-14,-100,100,100,-100,100,-100,100,100,100,-100,-179.090909090909,100,100,0,0,-100,100,100,-100,100
"8",249,"Memphis",2007-11-16,-100,100,100,100,-100,100,-100,100,100,-100,-279.090909090909,200,200,100,-100,0,0,200,0,0
"9",272,"Memphis",2007-11-17,-100,100,100,100,-100,0,0,100,100,-100,-379.090909090909,300,300,200,-200,0,0,300,100,-100
"10",289,"Memphis",2007-11-19,42.5531914893617,100,100,100,-100,100,-100,100,100,-100,-336.537717601547,400,400,300,-300,100,-100,400,200,-200
"11",321,"Memphis",2007-11-21,-100,-100,-100,-100,100,-100,100,-100,-100,100,-436.537717601547,300,300,200,-200,0,0,300,100,-100
"12",350,"Memphis",2007-11-23,-100,-100,-100,-100,100,-100,100,100,-100,100,-536.537717601547,200,200,100,-100,-100,100,400,0,0
"13",373,"Memphis",2007-11-24,43.4782608695652,-100,100,100,-100,100,-100,100,100,-100,-493.059456731982,100,300,200,-200,0,0,500,100,-100
"14",408,"Memphis",2007-11-27,200,100,100,100,-100,100,-100,100,100,-100,-293.059456731982,200,400,300,-300,100,-100,600,200,-200
"15",420,"Memphis",2007-11-28,-100,-100,-100,-100,100,-100,100,100,-100,100,-393.059456731982,100,300,200,-200,0,0,700,100,-100
"16",471,"Memphis",2007-12-01,22.2222222222222,100,100,-100,100,-100,100,100,-100,100,-370.83723450976,200,400,100,-100,-100,100,800,0,0
"17",501,"Memphis",2007-12-03,-100,-100,-100,100,-100,100,-100,-100,-100,100,-470.83723450976,100,300,200,-200,0,0,700,-100,100
"18",536,"Memphis",2007-12-05,-100,-100,-100,-100,100,-100,100,100,100,-100,-570.83723450976,0,200,100,-100,-100,100,800,0,0
"19",562,"Memphis",2007-12-07,-100,100,100,100,-100,100,-100,100,100,-100,-670.83723450976,100,300,200,-200,0,0,900,100,-100
"20",574,"Memphis",2007-12-08,-100,-100,-100,-100,100,-100,100,100,-100,100,-770.83723450976,0,200,100,-100,-100,100,1000,0,0
"21",617,"Memphis",2007-12-11,-100,-100,-100,100,-100,100,-100,100,100,-100,-870.83723450976,-100,100,200,-200,0,0,1100,100,-100
"22",665,"Memphis",2007-12-14,-100,-100,-100,-100,100,-100,100,-100,100,-100,-970.83723450976,-200,0,100,-100,-100,100,1000,200,-200
"23",676,"Memphis",2007-12-15,750,100,100,100,-100,100,-100,100,100,-100,-220.83723450976,-100,100,200,-200,0,0,1100,300,-300
"24",713,"Memphis",2007-12-17,-100,-100,-100,100,-100,100,-100,100,100,-100,-320.83723450976,-200,0,300,-300,100,-100,1200,400,-400
"25",739,"Memphis",2007-12-19,260,100,100,-100,100,-100,100,-100,-100,100,-60.83723450976,-100,100,200,-200,0,0,1100,300,-300
"26",772,"Memphis",2007-12-21,-100,-100,-100,-100,100,-100,100,-100,-100,100,-160.83723450976,-200,0,100,-100,-100,100,1000,200,-200
"27",787,"Memphis",2007-12-22,-100,-100,-100,-100,100,-100,100,-100,-100,100,-260.83723450976,-300,-100,0,0,-200,200,900,100,-100
"28",823,"Memphis",2007-12-26,-100,-100,-100,100,-100,100,-100,-100,100,-100,-360.83723450976,-400,-200,100,-100,-100,100,800,200,-200
"29",847,"Memphis",2007-12-28,-100,-100,-100,-100,100,-100,100,-100,-100,100,-460.83723450976,-500,-300,0,0,-200,200,700,100,-100
"30",890,"Memphis",2007-12-30,-100,-100,-100,100,-100,100,-100,-100,100,-100,-560.83723450976,-600,-400,100,-100,-100,100,600,200,-200
"31",920,"Memphis",2008-01-02,215,100,100,-100,100,-100,100,100,-100,100,-345.83723450976,-500,-300,0,0,-200,200,700,100,-100
"32",948,"Memphis",2008-01-04,-100,100,100,-100,100,100,-100,100,100,-100,-445.83723450976,-400,-200,-100,100,-100,100,800,200,-200
"33",985,"Memphis",2008-01-06,43.4782608695652,100,100,-100,100,-100,100,100,100,-100,-402.358973640195,-300,-100,-200,200,-200,200,900,300,-300
"34",1005,"Memphis",2008-01-08,-100,-100,-100,100,-100,100,-100,-100,100,-100,-502.358973640195,-400,-200,-100,100,-100,100,800,400,-400
"35",1040,"Memphis",2008-01-10,-100,100,-100,100,-100,100,-100,-100,100,-100,-602.358973640195,-300,-300,0,0,0,0,700,500,-500
"36",1062,"Memphis",2008-01-11,-100,-100,-100,-100,100,-100,100,100,-100,100,-702.358973640195,-400,-400,-100,100,-100,100,800,400,-400
"37",1090,"Memphis",2008-01-13,-100,100,100,-100,100,-100,100,100,-100,100,-802.358973640195,-300,-300,-200,200,-200,200,900,300,-300
"38",1115,"Memphis",2008-01-15,-100,-100,-100,100,-100,100,-100,100,100,-100,-902.358973640195,-400,-400,-100,100,-100,100,1000,400,-400
"39",1153,"Memphis",2008-01-18,42.5531914893617,100,100,100,-100,100,-100,100,100,-100,-859.805782150833,-300,-300,0,0,0,0,1100,500,-500
"40",1168,"Memphis",2008-01-19,-100,-100,-100,-100,100,-100,100,-100,100,-100,-959.805782150833,-400,-400,-100,100,-100,100,1000,600,-600
"41",1205,"Memphis",2008-01-21,80,100,100,-100,100,-100,100,100,100,-100,-879.805782150833,-300,-300,-200,200,-200,200,1100,700,-700
"42",1225,"Memphis",2008-01-23,-100,-100,-100,-100,100,-100,100,-100,-100,100,-979.805782150833,-400,-400,-300,300,-300,300,1000,600,-600
"43",1250,"Memphis",2008-01-25,-100,-100,-100,-100,100,-100,100,100,-100,100,-1079.80578215083,-500,-500,-400,400,-400,400,1100,500,-500
"44",1277,"Memphis",2008-01-26,62.5,100,100,100,-100,100,-100,-100,-100,100,-1017.30578215083,-400,-400,-300,300,-300,300,1000,400,-400
"45",1303,"Memphis",2008-01-28,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1117.30578215083,-500,-500,-400,400,-400,400,900,300,-300
"46",1333,"Memphis",2008-01-30,-100,-100,100,-100,100,-100,100,100,-100,100,-1217.30578215083,-600,-400,-500,500,-500,500,1000,200,-200
"47",1379,"Memphis",2008-02-02,-100,-100,-100,-100,100,-100,100,-100,100,-100,-1317.30578215083,-700,-500,-600,600,-600,600,900,300,-300
"48",1419,"Memphis",2008-02-05,-100,-100,-100,-100,100,100,-100,-100,-100,100,-1417.30578215083,-800,-600,-700,700,-500,500,800,200,-200
"49",1464,"Memphis",2008-02-08,-100,100,100,-100,100,-100,100,100,-100,100,-1517.30578215083,-700,-500,-800,800,-600,600,900,100,-100
"50",1476,"Memphis",2008-02-09,-100,100,100,100,-100,100,-100,100,100,-100,-1617.30578215083,-600,-400,-700,700,-500,500,1000,200,-200
