"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",23,"Miami",2007-11-01,-100,-100,-100,-100,100,-100,100,-100,-100,100,-100,-100,-100,-100,100,-100,100,-100,-100,100
"2",34,"Miami",2007-11-02,-100,100,100,-100,100,-100,100,100,-100,100,-200,0,0,-200,200,-200,200,0,-200,200
"3",73,"Miami",2007-11-04,-100,-100,-100,-100,100,-100,100,100,-100,100,-300,-100,-100,-300,300,-300,300,100,-300,300
"4",116,"Miami",2007-11-07,-100,100,100,-100,100,-100,100,-100,100,-100,-400,0,0,-400,400,-400,400,0,-200,200
"5",137,"Miami",2007-11-09,-100,100,100,100,-100,100,-100,-100,-100,100,-500,100,100,-300,300,-300,300,-100,-300,300
"6",176,"Miami",2007-11-11,130,100,100,-100,100,-100,100,100,-100,100,-370,200,200,-400,400,-400,400,0,-400,400
"7",192,"Miami",2007-11-13,-100,-100,-100,-100,100,-100,100,-100,100,-100,-470,100,100,-500,500,-500,500,-100,-300,300
"8",213,"Miami",2007-11-14,-100,-100,-100,100,-100,100,-100,100,100,-100,-570,0,0,-400,400,-400,400,0,-200,200
"9",240,"Miami",2007-11-16,-100,100,100,-100,100,0,0,100,-100,100,-670,100,100,-500,500,-400,400,100,-300,300
"10",266,"Miami",2007-11-17,64.5161290322581,100,100,-100,100,100,-100,-100,100,-100,-605.483870967742,200,200,-600,600,-300,300,0,-200,200
"11",317,"Miami",2007-11-21,-100,-100,-100,-100,100,-100,100,-100,-100,100,-705.483870967742,100,100,-700,700,-400,400,-100,-300,300
"12",347,"Miami",2007-11-23,145,100,100,100,-100,100,-100,100,-100,100,-560.483870967742,200,200,-600,600,-300,300,0,-400,400
"13",368,"Miami",2007-11-24,-100,-100,-100,100,-100,100,-100,-100,100,-100,-660.483870967742,100,100,-500,500,-200,200,-100,-300,300
"14",409,"Miami",2007-11-27,27.3972602739726,100,100,100,-100,100,-100,100,100,-100,-633.086610693769,200,200,-400,400,-100,100,0,-200,200
"15",455,"Miami",2007-11-30,-100,-100,-100,-100,100,-100,100,100,-100,100,-733.086610693769,100,100,-500,500,-200,200,100,-300,300
"16",492,"Miami",2007-12-02,-100,-100,-100,100,-100,-100,100,-100,100,-100,-833.086610693769,0,0,-400,400,-300,300,0,-200,200
"17",506,"Miami",2007-12-03,-100,100,100,100,-100,100,-100,-100,100,-100,-933.086610693769,100,100,-300,300,-200,200,-100,-100,100
"18",548,"Miami",2007-12-06,-100,-100,-100,100,-100,100,-100,100,100,-100,-1033.08661069377,0,0,-200,200,-100,100,0,0,0
"19",568,"Miami",2007-12-07,-100,100,100,100,-100,100,-100,-100,100,-100,-1133.08661069377,100,100,-100,100,0,0,-100,100,-100
"20",588,"Miami",2007-12-09,71.4285714285714,100,100,100,-100,100,-100,100,-100,100,-1061.6580392652,200,200,0,0,100,-100,0,0,0
"21",606,"Miami",2007-12-10,900,100,100,100,-100,100,-100,100,-100,100,-161.658039265198,300,300,100,-100,200,-200,100,-100,100
"22",647,"Miami",2007-12-13,-100,-100,-100,-100,100,-100,100,-100,-100,100,-261.658039265198,200,200,0,0,100,-100,0,-200,200
"23",683,"Miami",2007-12-15,-100,-100,-100,100,-100,100,-100,-100,-100,100,-361.658039265198,100,100,100,-100,200,-200,-100,-300,300
"24",711,"Miami",2007-12-17,23.5294117647059,-100,-100,-100,100,-100,100,100,-100,100,-338.128627500492,0,0,0,0,100,-100,0,-400,400
