"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",12,"Milwaukee",2007-10-31,-100,-100,-100,-100,100,-100,100,-100,-100,100,-100,-100,-100,-100,100,-100,100,-100,-100,100
"2",30,"Milwaukee",2007-11-02,-100,-100,100,100,-100,100,-100,-100,100,-100,-200,-200,0,0,0,0,0,-200,0,0
"3",61,"Milwaukee",2007-11-03,155,100,100,-100,100,-100,100,100,-100,100,-45,-100,100,-100,100,-100,100,-100,-100,100
"4",93,"Milwaukee",2007-11-06,140,100,100,100,-100,100,-100,100,-100,100,95,0,200,0,0,0,0,0,-200,200
"5",146,"Milwaukee",2007-11-09,-100,-100,-100,100,-100,100,-100,-100,100,-100,-5,-100,100,100,-100,100,-100,-100,-100,100
"6",178,"Milwaukee",2007-11-11,-100,-100,-100,100,-100,100,-100,100,100,-100,-105,-200,0,200,-200,200,-200,0,0,0
"7",219,"Milwaukee",2007-11-14,38.4615384615385,-100,-100,-100,100,-100,100,-100,100,-100,-66.5384615384615,-300,-100,100,-100,100,-100,-100,100,-100
"8",269,"Milwaukee",2007-11-17,29.8507462686567,100,100,100,-100,100,-100,-100,-100,100,-36.6877152698048,-200,0,200,-200,200,-200,-200,0,0
"9",298,"Milwaukee",2007-11-20,240,100,100,100,-100,100,-100,100,100,-100,203.312284730195,-100,100,300,-300,300,-300,-100,100,-100
"10",325,"Milwaukee",2007-11-21,115,100,100,100,-100,100,-100,100,100,-100,318.312284730195,0,200,400,-400,400,-400,0,200,-200
"11",377,"Milwaukee",2007-11-24,155,100,100,-100,100,-100,100,100,100,-100,473.312284730195,100,300,300,-300,300,-300,100,300,-300
"12",411,"Milwaukee",2007-11-27,-100,-100,-100,100,-100,100,-100,-100,100,-100,373.312284730195,0,200,400,-400,400,-400,0,400,-400
"13",424,"Milwaukee",2007-11-28,-100,-100,-100,-100,100,-100,100,-100,-100,100,273.312284730195,-100,100,300,-300,300,-300,-100,300,-300
"14",452,"Milwaukee",2007-11-30,-100,-100,-100,-100,100,-100,100,-100,-100,100,173.312284730195,-200,0,200,-200,200,-200,-200,200,-200
"15",475,"Milwaukee",2007-12-01,-100,-100,-100,100,-100,100,-100,-100,100,-100,73.3122847301952,-300,-100,300,-300,300,-300,-300,300,-300
"16",520,"Milwaukee",2007-12-04,110,100,100,-100,100,-100,100,100,-100,100,183.312284730195,-200,0,200,-200,200,-200,-200,200,-200
"17",542,"Milwaukee",2007-12-05,-100,-100,-100,-100,100,-100,100,-100,100,-100,83.3122847301952,-300,-100,100,-100,100,-100,-300,300,-300
"18",570,"Milwaukee",2007-12-07,-100,-100,-100,100,-100,100,-100,-100,-100,100,-16.6877152698048,-400,-200,200,-200,200,-200,-400,200,-200
