"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",45,"Minnesota",2007-11-02,-100,100,-100,-100,100,-100,100,-100,-100,100,-100,100,-100,-100,100,-100,100,-100,-100,100
"2",72,"Minnesota",2007-11-04,-100,100,100,-100,100,-100,100,100,-100,100,-200,200,0,-200,200,-200,200,0,-200,200
"3",91,"Minnesota",2007-11-06,-100,-100,-100,100,-100,100,-100,-100,100,-100,-300,100,-100,-100,100,-100,100,-100,-100,100
"4",152,"Minnesota",2007-11-09,-100,-100,-100,-100,100,-100,100,-100,-100,100,-400,0,-200,-200,200,-200,200,-200,-200,200
"5",166,"Minnesota",2007-11-10,-100,-100,-100,-100,100,0,0,-100,100,-100,-500,-100,-300,-300,300,-200,200,-300,-100,100
"6",217,"Minnesota",2007-11-14,76.9230769230769,100,100,100,-100,100,-100,100,100,-100,-423.076923076923,0,-200,-200,200,-100,100,-200,0,0
"7",251,"Minnesota",2007-11-16,-100,-100,-100,-100,100,100,-100,-100,-100,100,-523.076923076923,-100,-300,-300,300,0,0,-300,-100,100
"8",267,"Minnesota",2007-11-17,-100,-100,-100,-100,100,-100,100,-100,100,-100,-623.076923076923,-200,-400,-400,400,-100,100,-400,0,0
"9",323,"Minnesota",2007-11-21,-100,-100,-100,-100,100,-100,100,-100,-100,100,-723.076923076923,-300,-500,-500,500,-200,200,-500,-100,100
"10",352,"Minnesota",2007-11-23,-100,100,100,-100,100,-100,100,100,-100,100,-823.076923076923,-200,-400,-600,600,-300,300,-400,-200,200
"11",371,"Minnesota",2007-11-24,-100,-100,-100,-100,100,-100,100,-100,-100,100,-923.076923076923,-300,-500,-700,700,-400,400,-500,-300,300
"12",394,"Minnesota",2007-11-26,600,100,100,100,-100,100,-100,-100,100,-100,-323.076923076923,-200,-400,-600,600,-300,300,-600,-200,200
"13",428,"Minnesota",2007-11-28,-100,100,100,100,-100,100,-100,100,100,-100,-423.076923076923,-100,-300,-500,500,-200,200,-500,-100,100
"14",453,"Minnesota",2007-11-30,-100,-100,-100,100,-100,100,-100,-100,100,-100,-523.076923076923,-200,-400,-400,400,-100,100,-600,0,0
"15",472,"Minnesota",2007-12-01,-100,-100,-100,-100,100,-100,100,-100,-100,100,-623.076923076923,-300,-500,-500,500,-200,200,-700,-100,100
"16",515,"Minnesota",2007-12-04,-100,-100,-100,100,-100,100,-100,-100,100,-100,-723.076923076923,-400,-600,-400,400,-100,100,-800,0,0
"17",544,"Minnesota",2007-12-06,-100,100,100,-100,100,-100,100,100,-100,100,-823.076923076923,-300,-500,-500,500,-200,200,-700,-100,100
"18",577,"Minnesota",2007-12-08,475,100,100,-100,100,-100,100,100,-100,100,-348.076923076923,-200,-400,-600,600,-300,300,-600,-200,200
"19",612,"Minnesota",2007-12-11,-100,-100,-100,-100,100,-100,100,-100,-100,100,-448.076923076923,-300,-500,-700,700,-400,400,-700,-300,300
"20",626,"Minnesota",2007-12-12,-100,100,100,100,-100,100,-100,100,100,-100,-548.076923076923,-200,-400,-600,600,-300,300,-600,-200,200
"21",663,"Minnesota",2007-12-14,-100,-100,-100,-100,100,-100,100,-100,-100,100,-648.076923076923,-300,-500,-700,700,-400,400,-700,-300,300
"22",694,"Minnesota",2007-12-15,-100,100,100,-100,100,-100,100,100,100,-100,-748.076923076923,-200,-400,-800,800,-500,500,-600,-200,200
"23",712,"Minnesota",2007-12-17,-100,100,100,-100,100,-100,100,-100,-100,100,-848.076923076923,-100,-300,-900,900,-600,600,-700,-300,300
"24",741,"Minnesota",2007-12-19,-100,-100,-100,-100,100,0,0,-100,-100,100,-948.076923076923,-200,-400,-1000,1000,-600,600,-800,-400,400
"25",769,"Minnesota",2007-12-21,195,100,100,100,-100,100,-100,100,100,-100,-753.076923076923,-100,-300,-900,900,-500,500,-700,-300,300
"26",786,"Minnesota",2007-12-22,-100,-100,-100,100,-100,-100,100,-100,100,-100,-853.076923076923,-200,-400,-800,800,-600,600,-800,-200,200
"27",834,"Minnesota",2007-12-26,-100,100,100,-100,100,-100,100,100,100,-100,-953.076923076923,-100,-300,-900,900,-700,700,-700,-100,100
"28",858,"Minnesota",2007-12-28,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1053.07692307692,-200,-400,-800,800,-600,600,-800,0,0
"29",882,"Minnesota",2007-12-29,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1153.07692307692,-300,-500,-900,900,-700,700,-900,-100,100
"30",908,"Minnesota",2007-12-31,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1253.07692307692,-400,-600,-1000,1000,-800,800,-1000,-200,200
"31",927,"Minnesota",2008-01-02,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1353.07692307692,-500,-700,-1100,1100,-900,900,-1100,-300,300
"32",953,"Minnesota",2008-01-04,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1453.07692307692,-600,-800,-1000,1000,-800,800,-1200,-200,200
"33",981,"Minnesota",2008-01-06,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1553.07692307692,-700,-900,-1100,1100,-900,900,-1300,-300,300
"34",1007,"Minnesota",2008-01-08,80,100,100,100,-100,100,-100,100,-100,100,-1473.07692307692,-600,-800,-1000,1000,-800,800,-1200,-400,400
"35",1056,"Minnesota",2008-01-11,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1573.07692307692,-700,-900,-900,900,-700,700,-1300,-300,300
"36",1070,"Minnesota",2008-01-12,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1673.07692307692,-800,-1000,-800,800,-600,600,-1400,-200,200
"37",1113,"Minnesota",2008-01-15,-100,100,100,-100,100,-100,100,100,100,-100,-1773.07692307692,-700,-900,-900,900,-700,700,-1300,-100,100
"38",1160,"Minnesota",2008-01-18,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1873.07692307692,-800,-1000,-1000,1000,-800,800,-1400,-200,200
"39",1182,"Minnesota",2008-01-19,-100,100,100,100,-100,100,-100,100,-100,100,-1973.07692307692,-700,-900,-900,900,-700,700,-1300,-300,300
"40",1204,"Minnesota",2008-01-21,700,100,100,100,-100,100,-100,100,100,-100,-1273.07692307692,-600,-800,-800,800,-600,600,-1200,-200,200
"41",1229,"Minnesota",2008-01-23,330,100,100,100,-100,100,-100,100,100,-100,-943.076923076923,-500,-700,-700,700,-500,500,-1100,-100,100
"42",1256,"Minnesota",2008-01-25,-100,100,100,-100,100,-100,100,100,-100,100,-1043.07692307692,-400,-600,-800,800,-600,600,-1000,-200,200
"43",1293,"Minnesota",2008-01-27,105,100,100,100,-100,100,-100,100,100,-100,-938.076923076923,-300,-500,-700,700,-500,500,-900,-100,100
"44",1318,"Minnesota",2008-01-29,-100,-100,-100,-100,100,-100,100,-100,100,-100,-1038.07692307692,-400,-600,-800,800,-600,600,-1000,0,0
"45",1335,"Minnesota",2008-01-30,50,100,100,-100,100,-100,100,100,-100,100,-988.076923076923,-300,-500,-900,900,-700,700,-900,-100,100
