"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",40,"NewYork",2007-11-02,-100,100,100,100,-100,100,-100,100,100,-100,-100,100,100,100,-100,100,-100,100,100,-100
"2",71,"NewYork",2007-11-04,23.5294117647059,-100,-100,-100,100,-100,100,-100,-100,100,-76.4705882352941,0,0,0,0,0,0,0,0,0
"3",89,"NewYork",2007-11-06,140,100,100,100,-100,100,-100,100,0,0,63.5294117647059,100,100,100,-100,100,-100,100,0,0
"4",135,"NewYork",2007-11-09,-100,-100,-100,100,-100,100,-100,-100,100,-100,-36.4705882352941,0,0,200,-200,200,-200,0,100,-100
"5",175,"NewYork",2007-11-11,-100,-100,-100,-100,100,-100,100,-100,-100,100,-136.470588235294,-100,-100,100,-100,100,-100,-100,0,0
"6",202,"NewYork",2007-11-13,-100,100,100,100,-100,100,-100,100,-100,100,-236.470588235294,0,0,200,-200,200,-200,0,-100,100
"7",228,"NewYork",2007-11-14,-100,100,100,-100,100,-100,100,-100,-100,100,-336.470588235294,100,100,100,-100,100,-100,-100,-200,200
"8",254,"NewYork",2007-11-16,-100,-100,-100,100,-100,100,-100,100,-100,100,-436.470588235294,0,0,200,-200,200,-200,0,-300,300
"9",276,"NewYork",2007-11-17,-100,-100,-100,-100,100,-100,100,-100,-100,100,-536.470588235294,-100,-100,100,-100,100,-100,-100,-400,400
"10",303,"NewYork",2007-11-20,-100,-100,-100,-100,100,-100,100,-100,-100,100,-636.470588235294,-200,-200,0,0,0,0,-200,-500,500
"11",328,"NewYork",2007-11-21,-100,-100,-100,-100,100,-100,100,100,-100,100,-736.470588235294,-300,-300,-100,100,-100,100,-100,-600,600
"12",363,"NewYork",2007-11-24,120,100,100,-100,100,-100,100,-100,-100,100,-616.470588235294,-200,-200,-200,200,-200,200,-200,-700,700
"13",391,"NewYork",2007-11-26,200,100,100,100,-100,100,-100,100,100,-100,-416.470588235294,-100,-100,-100,100,-100,100,-100,-600,600
"14",440,"NewYork",2007-11-29,-100,-100,-100,-100,100,-100,100,-100,-100,100,-516.470588235294,-200,-200,-200,200,-200,200,-200,-700,700
"15",451,"NewYork",2007-11-30,100,100,100,-100,100,-100,100,100,-100,100,-416.470588235294,-100,-100,-300,300,-300,300,-100,-800,800
"16",489,"NewYork",2007-12-02,-100,-100,-100,100,-100,100,-100,-100,-100,100,-516.470588235294,-200,-200,-200,200,-200,200,-200,-900,900
"17",530,"NewYork",2007-12-05,185,100,100,100,-100,100,-100,100,100,-100,-331.470588235294,-100,-100,-100,100,-100,100,-100,-800,800
"18",550,"NewYork",2007-12-07,-100,-100,-100,100,-100,100,-100,-100,-100,100,-431.470588235294,-200,-200,0,0,0,0,-200,-900,900
"19",575,"NewYork",2007-12-08,-100,-100,-100,-100,100,-100,100,-100,100,-100,-531.470588235294,-300,-300,-100,100,-100,100,-300,-800,800
"20",603,"NewYork",2007-12-10,-100,-100,-100,-100,100,-100,100,100,100,-100,-631.470588235294,-400,-400,-200,200,-200,200,-200,-700,700
