"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",22,"OklahomaCity",2007-10-31,-100,-100,-100,100,-100,100,-100,-100,-100,100,-100,-100,-100,100,-100,100,-100,-100,-100,100
"2",27,"OklahomaCity",2007-11-01,-100,100,100,-100,100,-100,100,-100,-100,100,-200,0,0,0,0,0,0,-200,-200,200
"3",70,"OklahomaCity",2007-11-04,-100,-100,-100,100,-100,100,-100,-100,100,-100,-300,-100,-100,100,-100,100,-100,-300,-100,100
"4",100,"OklahomaCity",2007-11-06,-100,-100,-100,-100,100,-100,100,-100,-100,100,-400,-200,-200,0,0,0,0,-400,-200,200
"5",119,"OklahomaCity",2007-11-07,-100,-100,-100,-100,100,-100,100,-100,-100,100,-500,-300,-300,-100,100,-100,100,-500,-300,300
"6",149,"OklahomaCity",2007-11-09,-100,100,100,-100,100,-100,100,100,0,0,-600,-200,-200,-200,200,-200,200,-400,-300,300
"7",179,"OklahomaCity",2007-11-11,-100,100,100,100,-100,100,-100,100,-100,100,-700,-100,-100,-100,100,-100,100,-300,-400,400
"8",190,"OklahomaCity",2007-11-13,-100,-100,-100,-100,100,-100,100,-100,-100,100,-800,-200,-200,-200,200,-200,200,-400,-500,500
"9",214,"OklahomaCity",2007-11-14,240,100,100,100,-100,100,-100,-100,100,-100,-560,-100,-100,-100,100,-100,100,-500,-400,400
"10",246,"OklahomaCity",2007-11-16,235,100,100,100,-100,100,-100,-100,100,-100,-325,0,0,0,0,0,0,-600,-300,300
"11",262,"OklahomaCity",2007-11-17,-100,-100,-100,-100,100,-100,100,-100,-100,100,-425,-100,-100,-100,100,-100,100,-700,-400,400
"12",290,"OklahomaCity",2007-11-19,-100,-100,-100,100,-100,100,-100,-100,100,-100,-525,-200,-200,0,0,0,0,-800,-300,300
"13",359,"OklahomaCity",2007-11-23,-100,-100,-100,-100,100,-100,100,100,-100,100,-625,-300,-300,-100,100,-100,100,-700,-400,400
"14",387,"OklahomaCity",2007-11-25,-100,-100,-100,100,-100,100,-100,-100,-100,100,-725,-400,-400,0,0,0,0,-800,-500,500
"15",418,"OklahomaCity",2007-11-27,-100,100,100,-100,100,-100,100,100,-100,100,-825,-300,-300,-100,100,-100,100,-700,-600,600
"16",435,"OklahomaCity",2007-11-28,-100,-100,-100,-100,100,-100,100,-100,100,-100,-925,-400,-400,-200,200,-200,200,-800,-500,500
"17",463,"OklahomaCity",2007-11-30,105,100,100,-100,100,-100,100,100,-100,100,-820,-300,-300,-300,300,-300,300,-700,-600,600
"18",493,"OklahomaCity",2007-12-02,-100,-100,-100,-100,100,-100,100,100,-100,100,-920,-400,-400,-400,400,-400,400,-600,-700,700
"19",539,"OklahomaCity",2007-12-05,57.1428571428571,100,100,-100,100,-100,100,-100,100,-100,-862.857142857143,-300,-300,-500,500,-500,500,-700,-600,600
"20",569,"OklahomaCity",2007-12-07,90.9090909090909,100,100,100,-100,100,-100,100,-100,100,-771.948051948052,-200,-200,-400,400,-400,400,-600,-700,700
"21",594,"OklahomaCity",2007-12-09,-100,100,100,-100,100,-100,100,100,-100,100,-871.948051948052,-100,-100,-500,500,-500,500,-500,-800,800
"22",620,"OklahomaCity",2007-12-11,-100,-100,-100,100,-100,100,-100,-100,100,-100,-971.948051948052,-200,-200,-400,400,-400,400,-600,-700,700
"23",636,"OklahomaCity",2007-12-12,185,100,100,100,-100,100,-100,100,100,-100,-786.948051948052,-100,-100,-300,300,-300,300,-500,-600,600
"24",664,"OklahomaCity",2007-12-14,110,100,100,-100,100,-100,100,100,-100,100,-676.948051948052,0,0,-400,400,-400,400,-400,-700,700
"25",696,"OklahomaCity",2007-12-15,-100,-100,-100,-100,100,-100,100,-100,-100,100,-776.948051948052,-100,-100,-500,500,-500,500,-500,-800,800
"26",751,"OklahomaCity",2007-12-19,-100,-100,-100,100,-100,100,-100,100,100,-100,-876.948051948052,-200,-200,-400,400,-400,400,-400,-700,700
"27",777,"OklahomaCity",2007-12-21,180,100,100,100,-100,100,-100,100,100,-100,-696.948051948052,-100,-100,-300,300,-300,300,-300,-600,600
"28",812,"OklahomaCity",2007-12-24,-100,-100,-100,-100,100,-100,100,-100,-100,100,-796.948051948052,-200,-200,-400,400,-400,400,-400,-700,700
"29",839,"OklahomaCity",2007-12-27,-100,100,100,100,-100,100,-100,-100,100,-100,-896.948051948052,-100,-100,-300,300,-300,300,-500,-600,600
"30",881,"OklahomaCity",2007-12-29,43.4782608695652,100,100,-100,100,-100,100,100,-100,100,-853.469791078487,0,0,-400,400,-400,400,-400,-700,700
"31",909,"OklahomaCity",2007-12-31,-100,-100,-100,-100,100,-100,100,100,100,-100,-953.469791078487,-100,-100,-500,500,-500,500,-300,-600,600
"32",940,"OklahomaCity",2008-01-03,-100,100,100,-100,100,-100,100,100,100,-100,-1053.46979107849,0,0,-600,600,-600,600,-200,-500,500
"33",978,"OklahomaCity",2008-01-06,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1153.46979107849,-100,-100,-700,700,-700,700,-300,-600,600
