"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",11,"Orlando",2007-10-31,33.8983050847458,100,100,-100,100,-100,100,100,-100,100,33.8983050847458,100,100,-100,100,-100,100,100,-100,100
"2",31,"Orlando",2007-11-02,-100,-100,-100,100,-100,100,-100,-100,-100,100,-66.1016949152542,0,0,0,0,0,0,0,-200,200
"3",58,"Orlando",2007-11-03,110,100,100,-100,100,-100,100,100,-100,100,43.8983050847458,100,100,-100,100,-100,100,100,-300,300
"4",92,"Orlando",2007-11-06,33.3333333333333,100,100,100,-100,100,-100,100,100,-100,77.2316384180791,200,200,0,0,0,0,200,-200,200
"5",106,"Orlando",2007-11-07,170,100,100,100,-100,100,-100,100,100,-100,247.231638418079,300,300,100,-100,100,-100,300,-100,100
"6",136,"Orlando",2007-11-09,95.2380952380952,100,100,100,-100,100,-100,100,100,-100,342.469733656174,400,400,200,-200,200,-200,400,0,0
"7",157,"Orlando",2007-11-10,-100,-100,-100,-100,100,-100,100,100,-100,100,242.469733656174,300,300,100,-100,100,-100,500,-100,100
"8",189,"Orlando",2007-11-13,15.3846153846154,100,100,-100,100,-100,100,100,-100,100,257.85434904079,400,400,0,0,0,0,600,-200,200
"9",208,"Orlando",2007-11-14,130,100,100,100,-100,100,-100,100,100,-100,387.85434904079,500,500,100,-100,100,-100,700,-100,100
"10",242,"Orlando",2007-11-16,58.8235294117647,100,100,-100,100,-100,100,100,-100,100,446.677878452554,600,600,0,0,0,0,800,-200,200
"11",281,"Orlando",2007-11-18,100,100,100,100,-100,100,-100,-100,100,-100,546.677878452554,700,700,100,-100,100,-100,700,-100,100
"12",292,"Orlando",2007-11-19,100,100,100,-100,100,-100,100,100,-100,100,646.677878452554,800,800,0,0,0,0,800,-200,200
"13",330,"Orlando",2007-11-21,-100,-100,-100,100,-100,100,-100,-100,100,-100,546.677878452554,700,700,100,-100,100,-100,700,-100,100
"14",339,"Orlando",2007-11-23,20,100,100,100,-100,-100,100,-100,-100,100,566.677878452554,800,800,200,-200,0,0,600,-200,200
"15",367,"Orlando",2007-11-24,36.3636363636364,100,100,100,-100,100,-100,100,100,-100,603.041514816191,900,900,300,-300,100,-100,700,-100,100
"16",400,"Orlando",2007-11-26,46.5116279069767,100,100,-100,100,-100,100,100,-100,100,649.553142723168,1000,1000,200,-200,0,0,800,-200,200
"17",436,"Orlando",2007-11-28,26.6666666666667,100,100,-100,100,-100,100,100,100,-100,676.219809389834,1100,1100,100,-100,-100,100,900,-100,100
"18",462,"Orlando",2007-11-30,-100,100,100,100,-100,100,-100,100,0,0,576.219809389834,1200,1200,200,-200,0,0,1000,-100,100
"19",496,"Orlando",2007-12-02,95.2380952380952,100,100,-100,100,-100,100,100,-100,100,671.457904627929,1300,1300,100,-100,-100,100,1100,-200,200
"20",508,"Orlando",2007-12-03,150,100,100,100,-100,100,-100,-100,100,-100,821.457904627929,1400,1400,200,-200,0,0,1000,-100,100
"21",553,"Orlando",2007-12-07,-100,-100,-100,100,-100,100,-100,-100,100,-100,721.457904627929,1300,1300,300,-300,100,-100,900,0,0
"22",599,"Orlando",2007-12-10,-100,-100,-100,-100,100,-100,100,-100,-100,100,621.457904627929,1200,1200,200,-200,0,0,800,-100,100
"23",640,"Orlando",2007-12-12,-100,-100,-100,-100,100,-100,100,-100,-100,100,521.457904627929,1100,1100,100,-100,-100,100,700,-200,200
"24",654,"Orlando",2007-12-14,42.5531914893617,100,100,-100,100,-100,100,100,-100,100,564.011096117291,1200,1200,0,0,-200,200,800,-300,300
"25",675,"Orlando",2007-12-15,-100,-100,-100,100,-100,100,-100,-100,100,-100,464.011096117291,1100,1100,100,-100,-100,100,700,-200,200
"26",718,"Orlando",2007-12-17,-100,100,100,100,-100,100,-100,100,100,-100,364.011096117291,1200,1200,200,-200,0,0,800,-100,100
"27",746,"Orlando",2007-12-19,145,100,100,-100,100,-100,100,100,100,-100,509.011096117291,1300,1300,100,-100,-100,100,900,0,0
"28",763,"Orlando",2007-12-21,-100,-100,-100,-100,100,-100,100,-100,0,0,409.011096117291,1200,1200,0,0,-200,200,800,0,0
"29",804,"Orlando",2007-12-23,-100,-100,-100,100,-100,100,-100,-100,100,-100,309.011096117291,1100,1100,100,-100,-100,100,700,100,-100
"30",819,"Orlando",2007-12-26,13.7931034482759,100,100,100,-100,100,-100,100,100,-100,322.804199565567,1200,1200,200,-200,0,0,800,200,-200
"31",844,"Orlando",2007-12-28,52.6315789473684,100,100,100,-100,100,-100,-100,100,-100,375.435778512935,1300,1300,300,-300,100,-100,700,300,-300
"32",871,"Orlando",2007-12-29,23.5294117647059,-100,100,0,0,-100,100,100,-100,100,398.965190277641,1200,1400,300,-300,0,0,800,200,-200
"33",896,"Orlando",2007-12-31,66.6666666666667,-100,-100,100,-100,100,-100,100,-100,100,465.631856944308,1100,1300,400,-400,100,-100,900,100,-100
"34",911,"Orlando",2008-01-02,-100,-100,-100,-100,100,-100,100,-100,100,-100,365.631856944308,1000,1200,300,-300,0,0,800,200,-200
"35",941,"Orlando",2008-01-04,-100,-100,-100,-100,100,-100,100,-100,-100,100,265.631856944308,900,1100,200,-200,-100,100,700,100,-100
"36",1014,"Orlando",2008-01-08,-100,-100,-100,100,-100,100,-100,100,100,-100,165.631856944308,800,1000,300,-300,0,0,800,200,-200
"37",1036,"Orlando",2008-01-09,51.2820512820513,100,100,100,-100,100,-100,100,100,-100,216.913908226359,900,1100,400,-400,100,-100,900,300,-300
"38",1058,"Orlando",2008-01-11,-100,-100,-100,-100,100,-100,100,-100,-100,100,116.913908226359,800,1000,300,-300,0,0,800,200,-200
"39",1072,"Orlando",2008-01-12,-100,100,100,100,-100,100,-100,100,100,-100,16.9139082263593,900,1100,400,-400,100,-100,900,300,-300
"40",1105,"Orlando",2008-01-15,37.037037037037,100,100,-100,100,-100,100,100,-100,100,53.9509452633963,1000,1200,300,-300,0,0,1000,200,-200
"41",1126,"Orlando",2008-01-16,-100,-100,-100,-100,100,-100,100,-100,-100,100,-46.0490547366037,900,1100,200,-200,-100,100,900,100,-100
"42",1165,"Orlando",2008-01-19,41.6666666666667,100,100,-100,100,100,-100,-100,100,-100,-4.38238806993701,1000,1200,100,-100,0,0,800,200,-200
"43",1207,"Orlando",2008-01-21,125,100,100,100,-100,100,-100,-100,100,-100,120.617611930063,1100,1300,200,-200,100,-100,700,300,-300
"44",1226,"Orlando",2008-01-23,58.8235294117647,100,100,-100,100,-100,100,100,-100,100,179.441141341828,1200,1400,100,-100,0,0,800,200,-200
"45",1258,"Orlando",2008-01-25,-100,-100,-100,100,-100,100,-100,100,-100,100,79.4411413418277,1100,1300,200,-200,100,-100,900,100,-100
"46",1285,"Orlando",2008-01-27,71.4285714285714,-100,100,-100,100,-100,100,100,100,-100,150.869712770399,1000,1400,100,-100,0,0,1000,200,-200
"47",1327,"Orlando",2008-01-30,4,100,-100,100,-100,0,0,-100,-100,100,154.869712770399,1100,1300,200,-200,0,0,900,100,-100
"48",1362,"Orlando",2008-02-01,57.1428571428571,-100,-100,100,-100,100,-100,100,-100,100,212.012569913256,1000,1200,300,-300,100,-100,1000,0,0
"49",1374,"Orlando",2008-02-02,58.8235294117647,100,100,100,-100,100,-100,100,100,-100,270.836099325021,1100,1300,400,-400,200,-200,1100,100,-100
"50",1395,"Orlando",2008-02-04,-100,-100,-100,100,-100,100,-100,-100,100,-100,170.836099325021,1000,1200,500,-500,300,-300,1000,200,-200
"51",1425,"Orlando",2008-02-06,13.3333333333333,100,100,-100,100,-100,100,100,-100,100,184.169432658354,1100,1300,400,-400,200,-200,1100,100,-100
"52",1449,"Orlando",2008-02-08,-100,-100,-100,100,-100,100,-100,-100,-100,100,84.1694326583543,1000,1200,500,-500,300,-300,1000,0,0
"53",1501,"Orlando",2008-02-11,-100,-100,-100,100,-100,100,-100,-100,100,-100,-15.8305673416457,900,1100,600,-600,400,-400,900,100,-100
"54",1529,"Orlando",2008-02-13,41.6666666666667,100,100,-100,100,-100,100,100,100,-100,25.836099325021,1000,1200,500,-500,300,-300,1000,200,-200
