"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",8,"Philadelphia",2007-10-31,-100,-100,-100,100,-100,100,-100,100,-100,100,-100,-100,-100,100,-100,100,-100,100,-100,100
"2",48,"Philadelphia",2007-11-02,400,100,100,-100,100,-100,100,100,100,-100,300,0,0,0,0,0,0,200,0,0
"3",55,"Philadelphia",2007-11-03,-100,-100,-100,-100,100,-100,100,100,100,-100,200,-100,-100,-100,100,-100,100,300,100,-100
"4",111,"Philadelphia",2007-11-07,51.2820512820513,100,100,-100,100,-100,100,100,-100,100,251.282051282051,0,0,-200,200,-200,200,400,0,0
"5",129,"Philadelphia",2007-11-09,-100,-100,-100,100,-100,100,-100,100,100,-100,151.282051282051,-100,-100,-100,100,-100,100,500,100,-100
"6",173,"Philadelphia",2007-11-11,-100,-100,-100,-100,100,-100,100,-100,-100,100,51.2820512820513,-200,-200,-200,200,-200,200,400,0,0
"7",198,"Philadelphia",2007-11-13,-100,-100,-100,-100,100,-100,100,-100,-100,100,-48.7179487179487,-300,-300,-300,300,-300,300,300,-100,100
"8",222,"Philadelphia",2007-11-14,-100,-100,-100,-100,100,-100,100,-100,-100,100,-148.717948717949,-400,-400,-400,400,-400,400,200,-200,200
"9",235,"Philadelphia",2007-11-16,66.6666666666667,100,100,-100,100,-100,100,100,100,-100,-82.051282051282,-300,-300,-500,500,-500,500,300,-100,100
"10",296,"Philadelphia",2007-11-20,-100,-100,-100,100,-100,100,-100,-100,100,-100,-182.051282051282,-400,-400,-400,400,-400,400,200,0,0
"11",344,"Philadelphia",2007-11-23,-100,100,100,-100,100,-100,100,100,-100,100,-282.051282051282,-300,-300,-500,500,-500,500,300,-100,100
"12",369,"Philadelphia",2007-11-24,-100,-100,100,-100,100,-100,100,-100,-100,100,-382.051282051282,-400,-200,-600,600,-600,600,200,-200,200
"13",412,"Philadelphia",2007-11-27,225,100,100,100,-100,100,-100,100,100,-100,-157.051282051282,-300,-100,-500,500,-500,500,300,-100,100
"14",421,"Philadelphia",2007-11-28,-100,-100,-100,100,-100,100,-100,-100,100,-100,-257.051282051282,-400,-200,-400,400,-400,400,200,0,0
"15",445,"Philadelphia",2007-11-30,68.9655172413793,-100,-100,-100,100,-100,100,-100,-100,100,-188.085764809903,-500,-300,-500,500,-500,500,100,-100,100
"16",470,"Philadelphia",2007-12-01,-100,100,100,100,-100,100,-100,-100,-100,100,-288.085764809903,-400,-200,-400,400,-400,400,0,-200,200
"17",497,"Philadelphia",2007-12-03,-100,-100,-100,-100,100,-100,100,-100,-100,100,-388.085764809903,-500,-300,-500,500,-500,500,-100,-300,300
"18",521,"Philadelphia",2007-12-05,-100,-100,-100,100,-100,100,-100,-100,100,-100,-488.085764809903,-600,-400,-400,400,-400,400,-200,-200,200
"19",549,"Philadelphia",2007-12-07,57.1428571428571,100,100,100,-100,100,-100,100,-100,100,-430.942907667046,-500,-300,-300,300,-300,300,-100,-300,300
"20",576,"Philadelphia",2007-12-08,170,100,100,-100,100,-100,100,100,100,-100,-260.942907667046,-400,-200,-400,400,-400,400,0,-200,200
"21",601,"Philadelphia",2007-12-10,215,100,100,100,-100,100,-100,100,-100,100,-45.9429076670456,-300,-100,-300,300,-300,300,100,-300,300
"22",625,"Philadelphia",2007-12-12,25,-100,-100,100,-100,100,-100,-100,100,-100,-20.9429076670456,-400,-200,-200,200,-200,200,0,-200,200
"23",655,"Philadelphia",2007-12-14,-100,-100,-100,100,-100,100,-100,-100,100,-100,-120.942907667046,-500,-300,-100,100,-100,100,-100,-100,100
"24",682,"Philadelphia",2007-12-15,290,100,100,-100,100,-100,100,100,-100,100,169.057092332954,-400,-200,-200,200,-200,200,0,-200,200
"25",730,"Philadelphia",2007-12-19,-100,-100,-100,-100,100,-100,100,-100,-100,100,69.0570923329544,-500,-300,-300,300,-300,300,-100,-300,300
"26",761,"Philadelphia",2007-12-21,-100,-100,-100,100,-100,100,-100,-100,-100,100,-30.9429076670456,-600,-400,-200,200,-200,200,-200,-400,400
"27",788,"Philadelphia",2007-12-22,155,100,100,-100,100,-100,100,100,-100,100,124.057092332954,-500,-300,-300,300,-300,300,-100,-500,500
"28",813,"Philadelphia",2007-12-26,64.5161290322581,100,100,-100,100,-100,100,-100,-100,100,188.573221365212,-400,-200,-400,400,-400,400,-200,-600,600
"29",860,"Philadelphia",2007-12-28,135,100,100,-100,100,-100,100,100,-100,100,323.573221365212,-300,-100,-500,500,-500,500,-100,-700,700
"30",886,"Philadelphia",2007-12-30,-100,-100,-100,-100,100,-100,100,-100,-100,100,223.573221365212,-400,-200,-600,600,-600,600,-200,-800,800
"31",910,"Philadelphia",2007-12-31,71.4285714285714,100,100,-100,100,-100,100,-100,100,-100,295.001792793784,-300,-100,-700,700,-700,700,-300,-700,700
"32",932,"Philadelphia",2008-01-02,-100,100,100,100,-100,100,-100,100,100,-100,195.001792793784,-200,0,-600,600,-600,600,-200,-600,600
"33",964,"Philadelphia",2008-01-04,-100,-100,-100,100,-100,100,-100,-100,100,-100,95.0017927937839,-300,-100,-500,500,-500,500,-300,-500,500
"34",990,"Philadelphia",2008-01-06,-100,-100,-100,0,0,-100,100,-100,100,-100,-4.99820720621609,-400,-200,-500,500,-600,600,-400,-400,400
"35",1003,"Philadelphia",2008-01-08,-100,-100,-100,-100,100,-100,100,-100,-100,100,-104.998207206216,-500,-300,-600,600,-700,700,-500,-500,500
"36",1016,"Philadelphia",2008-01-09,-100,-100,-100,100,-100,100,-100,-100,100,-100,-204.998207206216,-600,-400,-500,500,-600,600,-600,-400,400
"37",1043,"Philadelphia",2008-01-11,-100,-100,-100,100,-100,100,-100,-100,100,-100,-304.998207206216,-700,-500,-400,400,-500,500,-700,-300,300
"38",1098,"Philadelphia",2008-01-14,-100,100,100,-100,100,-100,100,100,-100,100,-404.998207206216,-600,-400,-500,500,-600,600,-600,-400,400
"39",1118,"Philadelphia",2008-01-15,400,100,100,100,-100,100,-100,100,100,-100,-4.99820720621609,-500,-300,-400,400,-500,500,-500,-300,300
"40",1150,"Philadelphia",2008-01-18,-100,-100,-100,100,-100,100,-100,-100,0,0,-104.998207206216,-600,-400,-300,300,-400,400,-600,-300,300
"41",1169,"Philadelphia",2008-01-19,110,100,100,100,-100,100,-100,100,100,-100,5.00179279378391,-500,-300,-200,200,-300,300,-500,-200,200
"42",1195,"Philadelphia",2008-01-21,-100,-100,-100,100,-100,100,-100,100,-100,100,-94.9982072062161,-600,-400,-100,100,-200,200,-400,-300,300
"43",1217,"Philadelphia",2008-01-23,-100,-100,-100,-100,100,-100,100,100,-100,100,-194.998207206216,-700,-500,-200,200,-300,300,-300,-400,400
"44",1254,"Philadelphia",2008-01-25,-100,-100,-100,-100,100,-100,100,-100,-100,100,-294.998207206216,-800,-600,-300,300,-400,400,-400,-500,500
"45",1276,"Philadelphia",2008-01-26,215,100,100,100,-100,100,-100,100,100,-100,-79.9982072062161,-700,-500,-200,200,-300,300,-300,-400,400
"46",1331,"Philadelphia",2008-01-30,22.2222222222222,100,100,-100,100,-100,100,100,100,-100,-57.7759849839939,-600,-400,-300,300,-400,400,-200,-300,300
"47",1361,"Philadelphia",2008-02-01,-100,100,100,100,-100,100,-100,-100,-100,100,-157.775984983994,-500,-300,-200,200,-300,300,-300,-400,400
"48",1394,"Philadelphia",2008-02-04,-100,100,-100,-100,100,-100,100,-100,-100,100,-257.775984983994,-400,-400,-300,300,-400,400,-400,-500,500
"49",1413,"Philadelphia",2008-02-05,110,100,100,100,-100,100,-100,100,-100,100,-147.775984983994,-300,-300,-200,200,-300,300,-300,-600,600
"50",1443,"Philadelphia",2008-02-07,19.8019801980198,100,100,-100,100,-100,100,100,-100,100,-127.974004785974,-200,-200,-300,300,-400,400,-200,-700,700
"51",1473,"Philadelphia",2008-02-09,36.3636363636364,100,100,-100,100,-100,100,100,-100,100,-91.6103684223377,-100,-100,-400,400,-500,500,-100,-800,800
"52",1499,"Philadelphia",2008-02-11,125,100,100,-100,100,-100,100,100,-100,100,33.3896315776623,0,0,-500,500,-600,600,0,-900,900
"53",1527,"Philadelphia",2008-02-13,20,100,100,-100,100,-100,100,100,-100,100,53.3896315776623,100,100,-600,600,-700,700,100,-1000,1000
"54",1564,"Philadelphia",2008-02-19,-100,-100,-100,100,-100,100,-100,-100,100,-100,-46.6103684223377,0,0,-500,500,-600,600,0,-900,900
"55",1569,"Philadelphia",2008-02-20,33.3333333333333,100,100,100,-100,100,-100,100,100,-100,-13.2770350890044,100,100,-400,400,-500,500,100,-800,800
"56",1600,"Philadelphia",2008-02-22,-100,-100,-100,100,-100,100,-100,-100,100,-100,-113.277035089004,0,0,-300,300,-400,400,0,-700,700
"57",1626,"Philadelphia",2008-02-23,110,100,100,100,-100,100,-100,-100,-100,100,-3.27703508900436,100,100,-200,200,-300,300,-100,-800,800
"58",1685,"Philadelphia",2008-02-27,100,100,100,-100,100,-100,100,-100,-100,100,96.7229649109956,200,200,-300,300,-400,400,-200,-900,900
"59",1728,"Philadelphia",2008-02-28,-100,-100,-100,-100,100,-100,100,-100,-100,100,-3.27703508900436,100,100,-400,400,-500,500,-300,-1000,1000
"60",1736,"Philadelphia",2008-03-01,460,100,100,100,-100,100,-100,100,100,-100,456.722964910996,200,200,-300,300,-400,400,-200,-900,900
"61",1766,"Philadelphia",2008-03-03,57.1428571428571,100,100,-100,100,-100,100,100,-100,100,513.865822053853,300,300,-400,400,-500,500,-100,-1000,1000
"62",1817,"Philadelphia",2008-03-07,12.1212121212121,100,100,0,0,-100,100,100,-100,100,525.987034175065,400,400,-400,400,-600,600,0,-1100,1100
"63",1860,"Philadelphia",2008-03-09,64.5161290322581,100,100,100,-100,100,-100,100,100,-100,590.503163207323,500,500,-300,300,-500,500,100,-1000,1000
"64",1871,"Philadelphia",2008-03-10,-100,-100,-100,-100,100,-100,100,-100,-100,100,490.503163207323,400,400,-400,400,-600,600,0,-1100,1100
"65",1898,"Philadelphia",2008-03-12,290,100,100,-100,100,-100,100,100,-100,100,780.503163207323,500,500,-500,500,-700,700,100,-1200,1200
"66",1934,"Philadelphia",2008-03-14,140,100,100,100,-100,100,-100,100,100,-100,920.503163207323,600,600,-400,400,-600,600,200,-1100,1100
"67",1943,"Philadelphia",2008-03-15,145,100,100,100,-100,100,-100,100,100,-100,1065.50316320732,700,700,-300,300,-500,500,300,-1000,1000
"68",2001,"Philadelphia",2008-03-19,64.5161290322581,-100,-100,100,-100,100,-100,-100,-100,100,1130.01929223958,600,600,-200,200,-400,400,200,-1100,1100
"69",2030,"Philadelphia",2008-03-21,-100,-100,-100,100,-100,100,-100,100,100,-100,1030.01929223958,500,500,-100,100,-300,300,300,-1000,1000
"70",2051,"Philadelphia",2008-03-22,24.6913580246914,-100,-100,-100,100,-100,100,-100,-100,100,1054.71065026427,400,400,-200,200,-400,400,200,-1100,1100
"71",2078,"Philadelphia",2008-03-24,425,100,100,-100,100,-100,100,100,-100,100,1479.71065026427,500,500,-300,300,-500,500,300,-1200,1200
"72",2111,"Philadelphia",2008-03-26,60.6060606060606,100,100,100,-100,100,-100,100,0,0,1540.31671087033,600,600,-200,200,-400,400,400,-1200,1200
"73",2137,"Philadelphia",2008-03-28,-100,-100,-100,-100,100,-100,100,-100,-100,100,1440.31671087033,500,500,-300,300,-500,500,300,-1300,1300
"74",2178,"Philadelphia",2008-03-30,-100,100,100,-100,100,-100,100,-100,-100,100,1340.31671087033,600,600,-400,400,-600,600,200,-1400,1400
"75",2200,"Philadelphia",2008-04-01,76.9230769230769,100,100,100,-100,100,-100,100,-100,100,1417.23978779341,700,700,-300,300,-500,500,300,-1500,1500
"76",2242,"Philadelphia",2008-04-04,115,100,100,100,-100,100,-100,100,100,-100,1532.23978779341,800,800,-200,200,-400,400,400,-1400,1400
