"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",28,"Phoenix",2007-11-01,13.7931034482759,-100,-100,-100,100,-100,100,100,-100,100,13.7931034482759,-100,-100,-100,100,-100,100,100,-100,100
"2",51,"Phoenix",2007-11-02,-100,-100,-100,0,0,100,-100,-100,-100,100,-86.2068965517241,-200,-200,-100,100,0,0,0,-200,200
"3",79,"Phoenix",2007-11-04,28.5714285714286,100,100,-100,100,-100,100,100,100,-100,-57.6354679802956,-100,-100,-200,200,-100,100,100,-100,100
"4",86,"Phoenix",2007-11-06,51.2820512820513,100,100,-100,100,-100,100,100,100,-100,-6.35341669824428,0,0,-300,300,-200,200,200,0,0
"5",108,"Phoenix",2007-11-07,-100,-100,-100,-100,100,-100,100,-100,-100,100,-106.353416698244,-100,-100,-400,400,-300,300,100,-100,100
"6",138,"Phoenix",2007-11-09,26.6666666666667,-100,-100,100,-100,100,-100,100,-100,100,-79.6867500315776,-200,-200,-300,300,-200,200,200,-200,200
"7",158,"Phoenix",2007-11-10,80,100,100,-100,100,-100,100,-100,-100,100,0.313249968422387,-100,-100,-400,400,-300,300,100,-300,300
"8",201,"Phoenix",2007-11-13,7.14285714285714,-100,-100,100,-100,100,-100,-100,-100,100,7.45610711127953,-200,-200,-300,300,-200,200,0,-400,400
"9",233,"Phoenix",2007-11-15,23.5294117647059,100,100,100,-100,100,-100,-100,100,-100,30.9855188759854,-100,-100,-200,200,-100,100,-100,-300,300
"10",274,"Phoenix",2007-11-17,40,100,100,100,-100,100,-100,-100,-100,100,70.9855188759854,0,0,-100,100,0,0,-200,-400,400
"11",310,"Phoenix",2007-11-20,30.3030303030303,-100,-100,-100,100,-100,100,-100,-100,100,101.288549179016,-100,-100,-200,200,-100,100,-300,-500,500
"12",331,"Phoenix",2007-11-21,6.25,100,100,100,-100,100,-100,-100,-100,100,107.538549179016,0,0,-100,100,0,0,-400,-600,600
"13",353,"Phoenix",2007-11-23,6.06060606060606,100,100,-100,100,-100,100,100,100,-100,113.599155239622,100,100,-200,200,-100,100,-300,-500,500
"14",404,"Phoenix",2007-11-26,-100,-100,-100,100,-100,100,-100,-100,-100,100,13.5991552396218,0,0,-100,100,0,0,-400,-600,600
"15",431,"Phoenix",2007-11-28,-100,-100,-100,-100,100,-100,100,-100,-100,100,-86.4008447603782,-100,-100,-200,200,-100,100,-500,-700,700
"16",461,"Phoenix",2007-11-30,43.4782608695652,-100,-100,100,-100,100,-100,-100,0,0,-42.922583890813,-200,-200,-100,100,0,0,-600,-700,700
"17",490,"Phoenix",2007-12-02,25,100,100,100,-100,100,-100,100,-100,100,-17.922583890813,-100,-100,0,0,100,-100,-500,-800,800
"18",514,"Phoenix",2007-12-04,40,-100,-100,100,-100,100,-100,-100,-100,100,22.077416109187,-200,-200,100,-100,200,-200,-600,-900,900
"19",528,"Phoenix",2007-12-05,30.7692307692308,100,100,100,-100,100,-100,100,100,-100,52.8466468784178,-100,-100,200,-200,300,-300,-500,-800,800
"20",552,"Phoenix",2007-12-07,37.037037037037,100,100,100,-100,100,-100,100,100,-100,89.8836839154548,0,0,300,-300,400,-400,-400,-700,700
"21",578,"Phoenix",2007-12-08,-100,-100,-100,-100,100,-100,100,-100,-100,100,-10.1163160845452,-100,-100,200,-200,300,-300,-500,-800,800
"22",605,"Phoenix",2007-12-10,-100,-100,-100,100,-100,100,-100,-100,-100,100,-110.116316084545,-200,-200,300,-300,400,-400,-600,-900,900
"23",645,"Phoenix",2007-12-12,29.8507462686567,-100,-100,-100,100,-100,100,-100,-100,100,-80.2655698158885,-300,-300,200,-200,300,-300,-700,-1000,1000
"24",688,"Phoenix",2007-12-15,-100,-100,-100,-100,100,-100,100,100,-100,100,-180.265569815888,-400,-400,100,-100,200,-200,-600,-1100,1100
"25",716,"Phoenix",2007-12-17,105,100,100,-100,100,-100,100,100,-100,100,-75.2655698158885,-300,-300,0,0,100,-100,-500,-1200,1200
"26",748,"Phoenix",2007-12-19,-100,100,100,-100,100,-100,100,100,-100,100,-175.265569815888,-200,-200,-100,100,0,0,-400,-1300,1300
"27",795,"Phoenix",2007-12-22,15.3846153846154,100,100,100,-100,100,-100,100,-100,100,-159.880954431273,-100,-100,0,0,100,-100,-300,-1400,1400
"28",810,"Phoenix",2007-12-24,-100,-100,-100,100,-100,100,-100,-100,100,-100,-259.880954431273,-200,-200,100,-100,200,-200,-400,-1300,1300
"29",838,"Phoenix",2007-12-27,23.8095238095238,100,100,-100,100,-100,100,100,-100,100,-236.071430621749,-100,-100,0,0,100,-100,-300,-1400,1400
"30",855,"Phoenix",2007-12-28,5.55555555555556,-100,-100,-100,100,-100,100,-100,-100,100,-230.515875066194,-200,-200,-100,100,0,0,-400,-1500,1500
