"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",2,"Portland",2007-10-30,-100,100,100,100,-100,100,-100,100,0,0,-100,100,100,100,-100,100,-100,100,0,0
"2",44,"Portland",2007-11-02,-100,-100,-100,100,-100,100,-100,-100,-100,100,-200,0,0,200,-200,200,-200,0,-100,100
"3",64,"Portland",2007-11-03,-100,100,100,-100,100,-100,100,100,-100,100,-300,100,100,100,-100,100,-100,100,-200,200
"4",121,"Portland",2007-11-07,125,100,100,-100,100,-100,100,100,-100,100,-175,200,200,0,0,0,0,200,-300,300
"5",147,"Portland",2007-11-09,71.4285714285714,100,100,0,0,-100,100,100,-100,100,-103.571428571429,300,300,0,0,-100,100,300,-400,400
"6",167,"Portland",2007-11-10,290,100,100,-100,100,-100,100,100,-100,100,186.428571428571,400,400,-100,100,-200,200,400,-500,500
"7",203,"Portland",2007-11-13,190,100,100,100,-100,100,-100,100,-100,100,376.428571428571,500,500,0,0,-100,100,500,-600,600
"8",224,"Portland",2007-11-14,-100,-100,-100,-100,100,-100,100,-100,100,-100,276.428571428571,400,400,-100,100,-200,200,400,-500,500
"9",236,"Portland",2007-11-16,-100,-100,-100,-100,100,-100,100,-100,100,-100,176.428571428571,300,300,-200,200,-300,300,300,-400,400
"10",260,"Portland",2007-11-17,-100,-100,-100,100,-100,100,-100,-100,100,-100,76.4285714285714,200,200,-100,100,-200,200,200,-300,300
"11",288,"Portland",2007-11-19,-100,-100,-100,100,-100,100,-100,-100,100,-100,-23.5714285714286,100,100,0,0,-100,100,100,-200,200
"12",333,"Portland",2007-11-21,-100,-100,-100,100,-100,100,-100,-100,100,-100,-123.571428571429,0,0,100,-100,0,0,0,-100,100
