"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",20,"Sacramento",2007-10-31,-100,-100,-100,100,-100,100,-100,100,100,-100,-100,-100,-100,100,-100,100,-100,100,100,-100
"2",50,"Sacramento",2007-11-02,-100,-100,-100,-100,100,-100,100,100,100,-100,-200,-200,-200,0,0,0,0,200,200,-200
"3",99,"Sacramento",2007-11-06,76.9230769230769,100,100,-100,100,-100,100,100,-100,100,-123.076923076923,-100,-100,-100,100,-100,100,300,100,-100
"4",153,"Sacramento",2007-11-09,-100,100,100,-100,100,-100,100,100,-100,100,-223.076923076923,0,0,-200,200,-200,200,400,0,0
"5",165,"Sacramento",2007-11-10,50,100,100,-100,100,0,0,100,100,-100,-173.076923076923,100,100,-300,300,-200,200,500,100,-100
"6",188,"Sacramento",2007-11-12,-100,-100,-100,100,-100,100,-100,100,100,-100,-273.076923076923,0,0,-200,200,-100,100,600,200,-200
"7",218,"Sacramento",2007-11-14,-100,-100,-100,100,-100,100,-100,-100,100,-100,-373.076923076923,-100,-100,-100,100,0,0,500,300,-300
"8",253,"Sacramento",2007-11-16,58.8235294117647,100,100,100,-100,100,-100,-100,-100,100,-314.253393665158,0,0,0,0,100,-100,400,200,-200
"9",283,"Sacramento",2007-11-18,175,100,100,100,-100,100,-100,100,-100,100,-139.253393665158,100,100,100,-100,200,-200,500,100,-100
"10",309,"Sacramento",2007-11-20,-100,100,100,-100,100,-100,100,100,-100,100,-239.253393665158,200,200,0,0,100,-100,600,0,0
"11",332,"Sacramento",2007-11-21,-100,-100,-100,100,-100,100,-100,100,-100,100,-339.253393665158,100,100,100,-100,200,-200,700,-100,100
"12",358,"Sacramento",2007-11-23,-100,100,100,-100,100,-100,100,-100,-100,100,-439.253393665158,200,200,0,0,100,-100,600,-200,200
"13",397,"Sacramento",2007-11-26,220,100,100,100,-100,100,-100,100,100,-100,-219.253393665158,300,300,100,-100,200,-200,700,-100,100
"14",437,"Sacramento",2007-11-28,-100,-100,-100,-100,100,-100,100,-100,-100,100,-319.253393665158,200,200,0,0,100,-100,600,-200,200
"15",479,"Sacramento",2007-12-01,220,100,100,100,-100,100,-100,100,100,-100,-99.2533936651584,300,300,100,-100,200,-200,700,-100,100
