"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",1,"SanAntonio",2007-10-30,7.14285714285714,-100,-100,100,-100,100,-100,-100,0,0,7.14285714285714,-100,-100,100,-100,100,-100,-100,0,0
"2",18,"SanAntonio",2007-10-31,40,-100,-100,100,-100,100,-100,-100,100,-100,47.1428571428571,-200,-200,200,-200,200,-200,-200,100,-100
"3",49,"SanAntonio",2007-11-02,5,100,100,-100,100,-100,100,-100,100,-100,52.1428571428571,-100,-100,100,-100,100,-100,-300,200,-200
"4",96,"SanAntonio",2007-11-06,-100,-100,-100,-100,100,-100,100,100,100,-100,-47.8571428571429,-200,-200,0,0,0,0,-200,300,-300
"5",115,"SanAntonio",2007-11-07,8.33333333333333,-100,-100,-100,100,-100,100,100,100,-100,-39.5238095238095,-300,-300,-100,100,-100,100,-100,400,-400
"6",142,"SanAntonio",2007-11-09,60.6060606060606,100,100,-100,100,-100,100,100,-100,100,21.0822510822511,-200,-200,-200,200,-200,200,0,300,-300
"7",177,"SanAntonio",2007-11-11,14.2857142857143,100,100,100,-100,100,-100,-100,100,-100,35.3679653679654,-100,-100,-100,100,-100,100,-100,400,-400
"8",199,"SanAntonio",2007-11-13,27.3972602739726,100,100,100,-100,0,0,-100,100,-100,62.765225641938,0,0,0,0,-100,100,-200,500,-500
"9",232,"SanAntonio",2007-11-15,-100,-100,-100,100,-100,100,-100,100,100,-100,-37.234774358062,-100,-100,100,-100,0,0,-100,600,-600
"10",247,"SanAntonio",2007-11-16,20,-100,-100,-100,100,-100,100,-100,-100,100,-17.234774358062,-200,-200,0,0,-100,100,-200,500,-500
"11",302,"SanAntonio",2007-11-20,40,100,100,-100,100,-100,100,-100,-100,100,22.765225641938,-100,-100,-100,100,-200,200,-300,400,-400
"12",329,"SanAntonio",2007-11-21,37.7358490566038,100,100,100,-100,100,-100,100,100,-100,60.5010746985417,0,0,0,0,-100,100,-200,500,-500
"13",349,"SanAntonio",2007-11-23,11.1111111111111,100,100,-100,100,-100,100,-100,-100,100,71.6121858096529,100,100,-100,100,-200,200,-300,400,-400
"14",388,"SanAntonio",2007-11-25,16.6666666666667,100,100,100,-100,100,-100,100,-100,100,88.2788524763195,200,200,0,0,-100,100,-200,300,-300
"15",398,"SanAntonio",2007-11-26,-100,-100,-100,100,-100,100,-100,-100,100,-100,-11.7211475236805,100,100,100,-100,0,0,-300,400,-400
"16",429,"SanAntonio",2007-11-28,9.09090909090909,100,100,-100,100,100,-100,100,100,-100,-2.63023843277138,200,200,0,0,100,-100,-200,500,-500
"17",454,"SanAntonio",2007-11-30,16.6666666666667,100,100,100,-100,100,-100,100,100,-100,14.0364282338953,300,300,100,-100,200,-200,-100,600,-600
"18",485,"SanAntonio",2007-12-02,6.66666666666667,100,100,-100,100,-100,100,100,-100,100,20.703094900562,400,400,0,0,100,-100,0,500,-500
"19",533,"SanAntonio",2007-12-05,120,100,100,100,-100,-100,100,100,100,-100,140.703094900562,500,500,100,-100,0,0,100,600,-600
"20",563,"SanAntonio",2007-12-07,95.2380952380952,100,100,100,-100,-100,100,100,-100,100,235.941190138657,600,600,200,-200,-100,100,200,500,-500
"21",624,"SanAntonio",2007-12-11,-100,-100,-100,-100,100,-100,100,100,-100,100,135.941190138657,500,500,100,-100,-200,200,300,400,-400
"22",650,"SanAntonio",2007-12-13,-100,100,100,100,-100,-100,100,100,100,-100,35.9411901386572,600,600,200,-200,-300,300,400,500,-500
"23",689,"SanAntonio",2007-12-15,40.8163265306122,100,100,-100,100,-100,100,100,-100,100,76.7575166692694,700,700,100,-100,-400,400,500,400,-400
"24",715,"SanAntonio",2007-12-17,-100,-100,-100,-100,100,-100,100,-100,-100,100,-23.2424833307306,600,600,0,0,-500,500,400,300,-300
"25",740,"SanAntonio",2007-12-19,-100,-100,-100,-100,100,-100,100,100,-100,100,-123.242483330731,500,500,-100,100,-600,600,500,200,-200
"26",791,"SanAntonio",2007-12-22,3.33333333333333,-100,-100,0,0,100,-100,-100,-100,100,-119.909149997397,400,400,-100,100,-500,500,400,100,-100
"27",825,"SanAntonio",2007-12-26,19.047619047619,100,100,-100,100,-100,100,100,-100,100,-100.861530949778,500,500,-200,200,-600,600,500,0,0
"28",853,"SanAntonio",2007-12-28,-100,-100,-100,-100,100,-100,100,-100,-100,100,-200.861530949778,400,400,-300,300,-700,700,400,-100,100
"29",889,"SanAntonio",2007-12-30,20,100,100,100,-100,100,-100,100,100,-100,-180.861530949778,500,500,-200,200,-600,600,500,0,0
"30",938,"SanAntonio",2008-01-03,-100,-100,-100,-100,100,-100,100,100,-100,100,-280.861530949778,400,400,-300,300,-700,700,600,-100,100
"31",955,"SanAntonio",2008-01-04,7.14285714285714,-100,-100,100,-100,100,-100,-100,100,-100,-273.718673806921,300,300,-200,200,-600,600,500,0,0
"32",984,"SanAntonio",2008-01-06,33.3333333333333,-100,-100,-100,100,-100,100,100,-100,100,-240.385340473588,200,200,-300,300,-700,700,600,-100,100
"33",996,"SanAntonio",2008-01-07,-100,-100,-100,100,-100,100,-100,100,100,-100,-340.385340473588,100,100,-200,200,-600,600,700,0,0
"34",1037,"SanAntonio",2008-01-10,-100,-100,-100,-100,100,-100,100,-100,-100,100,-440.385340473588,0,0,-300,300,-700,700,600,-100,100
"35",1069,"SanAntonio",2008-01-12,4.76190476190476,100,100,100,-100,100,-100,100,100,-100,-435.623435711683,100,100,-200,200,-600,600,700,0,0
"36",1097,"SanAntonio",2008-01-14,11.1111111111111,-100,-100,-100,100,-100,100,-100,-100,100,-424.512324600572,0,0,-300,300,-700,700,600,-100,100
"37",1137,"SanAntonio",2008-01-17,-100,-100,-100,-100,100,-100,100,-100,-100,100,-524.512324600572,-100,-100,-400,400,-800,800,500,-200,200
"38",1174,"SanAntonio",2008-01-19,-100,-100,-100,-100,100,-100,100,100,-100,100,-624.512324600572,-200,-200,-500,500,-900,900,600,-300,300
