"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",7,"Toronto",2007-10-31,32.7868852459016,100,100,100,-100,100,-100,-100,-100,100,32.7868852459016,100,100,100,-100,100,-100,-100,-100,100
"2",36,"Toronto",2007-11-02,155,100,100,-100,100,-100,100,100,-100,100,187.786885245902,200,200,0,0,0,0,0,-200,200
"3",67,"Toronto",2007-11-04,-100,-100,-100,100,-100,-100,100,100,-100,100,87.7868852459016,100,100,100,-100,-100,100,100,-300,300
"4",94,"Toronto",2007-11-06,-100,-100,-100,100,-100,100,-100,-100,-100,100,-12.2131147540984,0,0,200,-200,0,0,0,-400,400
"5",105,"Toronto",2007-11-07,-100,-100,-100,100,-100,100,-100,-100,100,-100,-112.213114754098,-100,-100,300,-300,100,-100,-100,-300,300
"6",130,"Toronto",2007-11-09,76.9230769230769,100,100,100,-100,100,-100,-100,100,-100,-35.2900378310214,0,0,400,-400,200,-200,-200,-200,200
"7",162,"Toronto",2007-11-10,220,100,100,-100,100,-100,100,100,100,-100,184.709962168979,100,100,300,-300,100,-100,-100,-100,100
"8",209,"Toronto",2007-11-14,-100,-100,-100,-100,100,-100,100,-100,100,-100,84.7099621689786,0,0,200,-200,0,0,-200,0,0
"9",237,"Toronto",2007-11-16,29.8507462686567,100,100,100,-100,100,-100,100,100,-100,114.560708437635,100,100,300,-300,100,-100,-100,100,-100
"10",279,"Toronto",2007-11-18,-100,-100,-100,-100,100,-100,100,-100,-100,100,14.5607084376353,0,0,200,-200,0,0,-200,0,0
"11",306,"Toronto",2007-11-20,-100,100,100,100,-100,100,-100,-100,100,-100,-85.4392915623647,100,100,300,-300,100,-100,-300,100,-100
"12",322,"Toronto",2007-11-21,155,100,100,-100,100,-100,100,100,-100,100,69.5607084376353,200,200,200,-200,0,0,-200,0,0
"13",362,"Toronto",2007-11-24,-100,100,100,100,-100,100,-100,-100,100,-100,-30.4392915623647,300,300,300,-300,100,-100,-300,100,-100
"14",381,"Toronto",2007-11-25,48.780487804878,100,100,-100,100,-100,100,100,-100,100,18.3411962425133,400,400,200,-200,0,0,-200,0,0
"15",419,"Toronto",2007-11-28,33.3333333333333,100,100,-100,100,-100,100,-100,-100,100,51.6745295758467,500,500,100,-100,-100,100,-300,-100,100
"16",447,"Toronto",2007-11-30,36.3636363636364,100,100,-100,100,-100,100,100,-100,100,88.038165939483,600,600,0,0,-200,200,-200,-200,200
"17",468,"Toronto",2007-12-01,-100,-100,-100,0,0,100,-100,100,0,0,-11.961834060517,500,500,0,0,-100,100,-100,-200,200
"18",499,"Toronto",2007-12-03,57.1428571428571,100,100,-100,100,-100,100,100,-100,100,45.1810230823402,600,600,-100,100,-200,200,0,-300,300
"19",527,"Toronto",2007-12-05,-100,-100,-100,100,-100,100,-100,-100,100,-100,-54.8189769176598,500,500,0,0,-100,100,-100,-200,200
"20",558,"Toronto",2007-12-07,-100,-100,-100,100,-100,100,-100,-100,100,-100,-154.81897691766,400,400,100,-100,0,0,-200,-100,100
"21",585,"Toronto",2007-12-09,160,100,100,-100,100,-100,100,100,100,-100,5.18102308234018,500,500,0,0,-100,100,-100,0,0
"22",614,"Toronto",2007-12-11,68.9655172413793,100,100,100,-100,100,-100,100,-100,100,74.1465403237195,600,600,100,-100,0,0,0,-100,100
"23",627,"Toronto",2007-12-12,190,100,100,-100,100,-100,100,100,-100,100,264.146540323719,700,700,0,0,-100,100,100,-200,200
"24",652,"Toronto",2007-12-14,120,100,100,-100,100,-100,100,100,100,-100,384.146540323719,800,800,-100,100,-200,200,200,-100,100
"25",699,"Toronto",2007-12-16,-100,-100,-100,-100,100,-100,100,-100,-100,100,284.146540323719,700,700,-200,200,-300,300,100,-200,200
"26",726,"Toronto",2007-12-18,45.4545454545455,-100,-100,-100,100,-100,100,100,-100,100,329.601085778265,600,600,-300,300,-400,400,200,-300,300
"27",750,"Toronto",2007-12-19,-100,-100,-100,100,-100,100,-100,-100,-100,100,229.601085778265,500,500,-200,200,-300,300,100,-400,400
"28",778,"Toronto",2007-12-21,-100,-100,-100,100,-100,100,-100,-100,100,-100,129.601085778265,400,400,-100,100,-200,200,0,-300,300
"29",796,"Toronto",2007-12-22,-100,-100,-100,100,-100,100,-100,-100,-100,100,29.6010857782649,300,300,0,0,-100,100,-100,-400,400
"30",854,"Toronto",2007-12-28,250,100,100,-100,100,-100,100,100,-100,100,279.601085778265,400,400,-100,100,-200,200,0,-500,500
"31",876,"Toronto",2007-12-29,-100,-100,-100,-100,100,-100,100,-100,0,0,179.601085778265,300,300,-200,200,-300,300,-100,-500,500
"32",906,"Toronto",2007-12-31,215,100,100,100,-100,100,-100,100,-100,100,394.601085778265,400,400,-100,100,-200,200,0,-600,600
"33",943,"Toronto",2008-01-04,-100,-100,-100,-100,100,100,-100,-100,100,-100,294.601085778265,300,300,-200,200,-100,100,-100,-500,500
"34",979,"Toronto",2008-01-06,-100,-100,-100,-100,100,-100,100,-100,100,-100,194.601085778265,200,200,-300,300,-200,200,-200,-400,400
"35",1015,"Toronto",2008-01-09,26.6666666666667,100,100,100,-100,100,-100,100,100,-100,221.267752444932,300,300,-200,200,-100,100,-100,-300,300
"36",1050,"Toronto",2008-01-11,41.6666666666667,100,100,-100,100,-100,100,-100,-100,100,262.934419111598,400,400,-300,300,-200,200,-200,-400,400
"37",1079,"Toronto",2008-01-13,41.6666666666667,100,100,100,-100,100,-100,-100,-100,100,304.601085778265,500,500,-200,200,-100,100,-300,-500,500
"38",1110,"Toronto",2008-01-15,-100,-100,-100,100,-100,100,-100,-100,-100,100,204.601085778265,400,400,-100,100,0,0,-400,-600,600
"39",1127,"Toronto",2008-01-16,47.6190476190476,100,100,100,-100,100,-100,100,-100,100,252.220133397313,500,500,0,0,100,-100,-300,-700,700
"40",1147,"Toronto",2008-01-18,42.5531914893617,100,100,-100,100,-100,100,100,-100,100,294.773324886674,600,600,-100,100,0,0,-200,-800,800
"41",1170,"Toronto",2008-01-19,-100,-100,-100,100,-100,100,-100,-100,100,-100,194.773324886674,500,500,0,0,100,-100,-300,-700,700
"42",1224,"Toronto",2008-01-23,330,100,100,100,-100,100,-100,100,100,-100,524.773324886674,600,600,100,-100,200,-200,-200,-600,600
"43",1251,"Toronto",2008-01-25,15.3846153846154,100,100,-100,100,-100,100,100,-100,100,540.15794027129,700,700,0,0,100,-100,-100,-700,700
"44",1312,"Toronto",2008-01-29,-100,-100,-100,100,-100,100,-100,-100,-100,100,440.15794027129,600,600,100,-100,200,-200,-200,-800,800
"45",1329,"Toronto",2008-01-30,15.3846153846154,100,100,100,-100,100,-100,100,100,-100,455.542555655905,700,700,200,-200,300,-300,-100,-700,700
"46",1355,"Toronto",2008-02-01,-100,-100,-100,100,-100,100,-100,-100,100,-100,355.542555655905,600,600,300,-300,400,-400,-200,-600,600
"47",1398,"Toronto",2008-02-04,22.2222222222222,100,100,100,-100,100,-100,100,100,-100,377.764777878127,700,700,400,-400,500,-500,-100,-500,500
"48",1451,"Toronto",2008-02-08,-100,-100,-100,100,-100,100,-100,-100,-100,100,277.764777878127,600,600,500,-500,600,-600,-200,-600,600
"49",1494,"Toronto",2008-02-10,39.2156862745098,100,100,-100,100,-100,100,100,-100,100,316.980464152637,700,700,400,-400,500,-500,-100,-700,700
"50",1503,"Toronto",2008-02-11,-100,-100,-100,-100,100,-100,100,100,-100,100,216.980464152637,600,600,300,-300,400,-400,0,-800,800
"51",1531,"Toronto",2008-02-13,16.6666666666667,100,100,100,-100,100,-100,-100,-100,100,233.647130819304,700,700,400,-400,500,-500,-100,-900,900
"52",1571,"Toronto",2008-02-20,60.6060606060606,100,100,100,-100,100,-100,100,100,-100,294.253191425364,800,800,500,-500,600,-600,0,-800,800
"53",1604,"Toronto",2008-02-22,-100,-100,-100,100,-100,100,-100,-100,0,0,194.253191425364,700,700,600,-600,700,-700,-100,-800,800
"54",1637,"Toronto",2008-02-24,11.1111111111111,100,100,100,-100,100,-100,100,0,0,205.364302536475,800,800,700,-700,800,-800,0,-800,800
"55",1652,"Toronto",2008-02-25,64.5161290322581,100,100,-100,100,-100,100,-100,-100,100,269.880431568734,900,900,600,-600,700,-700,-100,-900,900
"56",1679,"Toronto",2008-02-27,12.1212121212121,100,100,-100,100,-100,100,100,-100,100,282.001643689946,1000,1000,500,-500,600,-600,0,-1000,1000
"57",1705,"Toronto",2008-02-28,-100,-100,-100,100,-100,100,-100,-100,100,-100,182.001643689946,900,900,600,-600,700,-700,-100,-900,900
"58",1746,"Toronto",2008-03-02,-100,-100,-100,100,-100,100,-100,-100,100,-100,82.0016436899457,800,800,700,-700,800,-800,-200,-800,800
"59",1770,"Toronto",2008-03-04,-100,-100,-100,-100,100,-100,100,-100,0,0,-17.9983563100543,700,700,600,-600,700,-700,-300,-800,800
"60",1790,"Toronto",2008-03-05,135,100,100,-100,100,-100,100,100,100,-100,117.001643689946,800,800,500,-500,600,-600,-200,-700,700
"61",1815,"Toronto",2008-03-07,-100,-100,-100,100,-100,100,-100,100,-100,100,17.0016436899457,700,700,600,-600,700,-700,-100,-800,800
"62",1857,"Toronto",2008-03-09,10,-100,-100,100,-100,100,-100,100,100,-100,27.0016436899457,600,600,700,-700,800,-800,0,-700,700
"63",1892,"Toronto",2008-03-11,-100,100,100,100,-100,100,-100,100,100,-100,-72.9983563100543,700,700,800,-800,900,-900,100,-600,600
"64",1914,"Toronto",2008-03-12,-100,-100,-100,100,-100,-100,100,100,100,-100,-172.998356310054,600,600,900,-900,800,-800,200,-500,500
"65",1938,"Toronto",2008-03-14,-100,-100,-100,100,-100,100,-100,-100,-100,100,-272.998356310054,500,500,1000,-1000,900,-900,100,-600,600
"66",1970,"Toronto",2008-03-16,-100,-100,-100,-100,100,-100,100,100,-100,100,-372.998356310054,400,400,900,-900,800,-800,200,-700,700
"67",1986,"Toronto",2008-03-17,-100,-100,-100,-100,100,-100,100,-100,-100,100,-472.998356310054,300,300,800,-800,700,-700,100,-800,800
"68",2005,"Toronto",2008-03-19,2,100,100,-100,100,-100,100,100,-100,100,-470.998356310054,400,400,700,-700,600,-600,200,-900,900
"69",2038,"Toronto",2008-03-21,-100,-100,-100,-100,100,-100,100,-100,-100,100,-570.998356310054,300,300,600,-600,500,-500,100,-1000,1000
"70",2071,"Toronto",2008-03-23,-100,-100,-100,-100,100,-100,100,-100,-100,100,-670.998356310054,200,200,500,-500,400,-400,0,-1100,1100
"71",2105,"Toronto",2008-03-26,275,100,100,-100,100,-100,100,100,-100,100,-395.998356310054,300,300,400,-400,300,-300,100,-1200,1200
"72",2139,"Toronto",2008-03-28,2.85714285714286,-100,-100,100,-100,100,-100,-100,100,-100,-393.141213452911,200,200,500,-500,400,-400,0,-1100,1100
"73",2175,"Toronto",2008-03-30,-100,-100,-100,100,-100,100,-100,100,100,-100,-493.141213452911,100,100,600,-600,500,-500,100,-1000,1000
"74",2188,"Toronto",2008-03-31,68.9655172413793,100,100,100,-100,100,-100,100,-100,100,-424.175696211532,200,200,700,-700,600,-600,200,-1100,1100
"75",2216,"Toronto",2008-04-02,-100,-100,-100,100,-100,100,-100,-100,-100,100,-524.175696211532,100,100,800,-800,700,-700,100,-1200,1200
"76",2239,"Toronto",2008-04-04,-100,-100,-100,100,-100,-100,100,-100,100,-100,-624.175696211532,0,0,900,-900,600,-600,0,-1100,1100
"77",2266,"Toronto",2008-04-05,-100,-100,-100,-100,100,-100,100,-100,-100,100,-724.175696211532,-100,-100,800,-800,500,-500,-100,-1200,1200
"78",2315,"Toronto",2008-04-09,5,100,100,-100,100,-100,100,100,100,-100,-719.175696211532,0,0,700,-700,400,-400,0,-1100,1100
"79",2339,"Toronto",2008-04-11,13.7931034482759,100,100,-100,100,-100,100,100,0,0,-705.382592763256,100,100,600,-600,300,-300,100,-1100,1100
"80",2384,"Toronto",2008-04-13,-100,-100,-100,-100,100,-100,100,-100,-100,100,-805.382592763256,0,0,500,-500,200,-200,0,-1200,1200
"81",2393,"Toronto",2008-04-14,2.5,-100,-100,-100,100,-100,100,100,-100,100,-802.882592763256,-100,-100,400,-400,100,-100,100,-1300,1300
"82",2440,"Toronto",2008-04-16,-100,-100,-100,-100,100,-100,100,-100,-100,100,-902.882592763256,-200,-200,300,-300,0,0,0,-1400,1400
"83",2456,"Toronto",2008-04-20,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1002.88259276326,-300,-300,400,-400,100,-100,-100,-1300,1300
"84",2470,"Toronto",2008-04-22,-100,100,100,100,-100,100,-100,100,-100,100,-1102.88259276326,-200,-200,500,-500,200,-200,0,-1400,1400
"85",2479,"Toronto",2008-04-24,48.780487804878,100,100,0,0,-100,100,-100,-100,100,-1054.10210495838,-100,-100,500,-500,100,-100,-100,-1500,1500
"86",2491,"Toronto",2008-04-26,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1154.10210495838,-200,-200,400,-400,0,0,-200,-1600,1600
"87",2508,"Toronto",2008-04-28,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1254.10210495838,-300,-300,300,-300,-100,100,-300,-1700,1700
"88",2624,"Toronto",2008-10-29,175,100,100,-100,100,-100,100,100,-100,100,-1079.10210495838,-200,-200,200,-200,-200,200,-200,-1800,1800
"89",2653,"Toronto",2008-10-31,35.7142857142857,-100,-100,100,-100,100,-100,-100,-100,100,-1043.38781924409,-300,-300,300,-300,-100,100,-300,-1900,1900
"90",2684,"Toronto",2008-11-01,95.2380952380952,100,100,-100,100,-100,100,100,100,-100,-948.149724005997,-200,-200,200,-200,-200,200,-200,-1800,1800
"91",2717,"Toronto",2008-11-05,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1048.149724006,-300,-300,300,-300,-100,100,-300,-1700,1700
"92",2756,"Toronto",2008-11-07,-100,-100,-100,100,-100,100,-100,-100,-100,100,-1148.149724006,-400,-400,400,-400,0,0,-400,-1800,1800
"93",2786,"Toronto",2008-11-09,52.6315789473684,100,100,-100,100,-100,100,100,-100,100,-1095.51814505863,-300,-300,300,-300,-100,100,-300,-1900,1900
"94",2806,"Toronto",2008-11-10,-100,100,100,-100,100,-100,100,-100,100,-100,-1195.51814505863,-200,-200,200,-200,-200,200,-400,-1800,1800
"95",2827,"Toronto",2008-11-12,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1295.51814505863,-300,-300,300,-300,-100,100,-500,-1700,1700
"96",2895,"Toronto",2008-11-16,64.5161290322581,100,100,100,-100,100,-100,100,100,-100,-1231.00201602637,-200,-200,400,-400,0,0,-400,-1600,1600
"97",2918,"Toronto",2008-11-18,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1331.00201602637,-300,-300,500,-500,100,-100,-500,-1500,1500
"98",2936,"Toronto",2008-11-19,120,100,100,100,-100,100,-100,100,100,-100,-1211.00201602637,-200,-200,600,-600,200,-200,-400,-1400,1400
"99",2957,"Toronto",2008-11-21,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1311.00201602637,-300,-300,700,-700,300,-300,-500,-1300,1300
"100",3001,"Toronto",2008-11-23,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1411.00201602637,-400,-400,800,-800,400,-400,-600,-1200,1200
"101",3039,"Toronto",2008-11-26,23.8095238095238,-100,-100,-100,100,-100,100,-100,-100,100,-1387.19249221685,-500,-500,700,-700,300,-300,-700,-1300,1300
"102",3065,"Toronto",2008-11-28,38.4615384615385,-100,-100,-100,100,-100,100,100,-100,100,-1348.73095375531,-600,-600,600,-600,200,-200,-600,-1400,1400
"103",3118,"Toronto",2008-11-30,-100,-100,-100,100,-100,100,-100,100,-100,100,-1448.73095375531,-700,-700,700,-700,300,-300,-500,-1500,1500
"104",3138,"Toronto",2008-12-02,-100,-100,-100,100,-100,100,-100,-100,100,-100,-1548.73095375531,-800,-800,800,-800,400,-400,-600,-1400,1400
"105",3188,"Toronto",2008-12-05,-100,-100,-100,-100,100,-100,100,-100,-100,100,-1648.73095375531,-900,-900,700,-700,300,-300,-700,-1500,1500
