"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",4,"Utah",2007-10-30,100,100,100,-100,100,100,-100,100,-100,100,100,100,100,-100,100,100,-100,100,-100,100
"2",25,"Utah",2007-11-01,-100,-100,-100,100,-100,100,-100,-100,-100,100,0,0,0,0,0,200,-200,0,-200,200
"3",65,"Utah",2007-11-03,18.1818181818182,100,100,100,-100,100,-100,100,100,-100,18.1818181818182,100,100,100,-100,300,-300,100,-100,100
"4",82,"Utah",2007-11-04,-100,-100,-100,100,-100,100,-100,-100,100,-100,-81.8181818181818,0,0,200,-200,400,-400,0,0,0
"5",117,"Utah",2007-11-07,20,-100,-100,100,-100,100,-100,-100,100,-100,-61.8181818181818,-100,-100,300,-300,500,-500,-100,100,-100
"6",150,"Utah",2007-11-09,34.4827586206897,-100,-100,-100,100,-100,100,-100,0,0,-27.3354231974922,-200,-200,200,-200,400,-400,-200,100,-100
"7",163,"Utah",2007-11-10,16.6666666666667,100,100,-100,100,-100,100,100,-100,100,-10.6687565308255,-100,-100,100,-100,300,-300,-100,0,0
"8",187,"Utah",2007-11-12,5.88235294117647,100,100,100,-100,100,-100,-100,100,-100,-4.78640358964902,0,0,200,-200,400,-400,-200,100,-100
"9",210,"Utah",2007-11-14,90.9090909090909,100,100,-100,100,-100,100,100,100,-100,86.1226873194419,100,100,100,-100,300,-300,-100,200,-200
"10",244,"Utah",2007-11-16,-100,-100,-100,-100,100,-100,100,-100,100,-100,-13.8773126805581,0,0,0,0,200,-200,-200,300,-300
"11",264,"Utah",2007-11-17,-100,-100,-100,100,-100,100,-100,-100,-100,100,-113.877312680558,-100,-100,100,-100,300,-300,-300,200,-200
"12",293,"Utah",2007-11-19,14.2857142857143,100,100,-100,100,-100,100,100,-100,100,-99.5915983948438,0,0,0,0,200,-200,-200,100,-100
"13",355,"Utah",2007-11-23,33.3333333333333,100,100,-100,100,-100,100,100,-100,100,-66.2582650615105,100,100,-100,100,100,-100,-100,0,0
"14",384,"Utah",2007-11-25,83.3333333333333,100,100,100,-100,100,-100,100,-100,100,17.0750682718229,200,200,0,0,200,-200,0,-100,100
"15",392,"Utah",2007-11-26,-100,-100,-100,100,-100,100,-100,-100,100,-100,-82.9249317281771,100,100,100,-100,300,-300,-100,0,0
"16",422,"Utah",2007-11-28,38.4615384615385,100,100,100,-100,100,-100,100,100,-100,-44.4633932666387,200,200,200,-200,400,-400,0,100,-100
"17",459,"Utah",2007-11-30,43.4782608695652,100,100,100,-100,100,-100,100,-100,100,-0.985132397073469,300,300,300,-300,500,-500,100,0,0
"18",505,"Utah",2007-12-03,16.6666666666667,-100,-100,100,-100,100,-100,100,100,-100,15.6815342695932,200,200,400,-400,600,-600,200,100,-100
