"","Index","Team","Date","ML","SpreadOpen","SpreadClose","OverOpen","UnderOpen","OverClose","UnderClose","Spread2H","Over2H","Under2H","MLProfit","SpreadOpenProfit","SpreadCloseProfit","OverOpenProfit","UnderOpenProfit","OverCloseProfit","UnderCloseProfit","Spread2HProfit","Over2HProfit","Under2HProfit"
"1",10,"Washington",2007-10-31,-100,-100,-100,100,-100,100,-100,100,100,-100,-100,-100,-100,100,-100,100,-100,100,100,-100
"2",42,"Washington",2007-11-02,-100,-100,-100,-100,100,-100,100,-100,-100,100,-200,-200,-200,0,0,0,0,0,0,0
"3",57,"Washington",2007-11-03,-100,-100,-100,-100,100,-100,100,-100,-100,100,-300,-300,-300,-100,100,-100,100,-100,-100,100
"4",124,"Washington",2007-11-08,-100,100,100,-100,100,-100,100,-100,-100,100,-400,-200,-200,-200,200,-200,200,-200,-200,200
"5",143,"Washington",2007-11-09,-100,-100,-100,-100,100,100,-100,-100,-100,100,-500,-300,-300,-300,300,-100,100,-300,-300,300
"6",170,"Washington",2007-11-11,190,100,100,-100,100,-100,100,100,0,0,-310,-200,-200,-400,400,-200,200,-200,-300,300
"7",205,"Washington",2007-11-14,41.6666666666667,100,100,-100,100,-100,100,-100,-100,100,-268.333333333333,-100,-100,-500,500,-300,300,-300,-400,400
"8",252,"Washington",2007-11-16,58.8235294117647,100,100,-100,100,100,-100,100,-100,100,-209.509803921569,0,0,-600,600,-200,200,-200,-500,500
"9",259,"Washington",2007-11-17,48.780487804878,100,100,100,-100,100,-100,100,100,-100,-160.729316116691,100,100,-500,500,-100,100,-100,-400,400
"10",295,"Washington",2007-11-20,43.4782608695652,100,100,100,-100,100,-100,100,100,-100,-117.251055247125,200,200,-400,400,0,0,0,-300,300
"11",312,"Washington",2007-11-21,250,100,100,100,-100,100,-100,100,100,-100,132.748944752875,300,300,-300,300,100,-100,100,-200,200
"12",337,"Washington",2007-11-23,-100,-100,-100,100,-100,100,-100,-100,100,-100,32.7489447528746,200,200,-200,200,200,-200,0,-100,100
"13",374,"Washington",2007-11-24,-100,100,-100,100,-100,100,-100,-100,100,-100,-67.2510552471254,300,100,-100,100,300,-300,-100,0,0
"14",396,"Washington",2007-11-26,750,100,100,-100,100,0,0,100,100,-100,682.748944752875,400,200,-200,200,300,-300,0,100,-100
"15",430,"Washington",2007-11-28,-100,-100,-100,-100,100,100,-100,-100,100,-100,582.748944752875,300,100,-300,300,400,-400,-100,200,-200
"16",446,"Washington",2007-11-30,-100,100,100,-100,100,-100,100,100,-100,100,482.748944752875,400,200,-400,400,300,-300,0,100,-100
"17",467,"Washington",2007-12-01,64.5161290322581,100,100,0,0,100,-100,-100,0,0,547.265073785133,500,300,-400,400,400,-400,-100,100,-100
"18",523,"Washington",2007-12-05,18.1818181818182,100,100,100,-100,100,-100,-100,100,-100,565.446891966951,600,400,-300,300,500,-500,-200,200,-200
"19",551,"Washington",2007-12-07,-100,-100,-100,100,-100,100,-100,-100,100,-100,465.446891966951,500,300,-200,200,600,-600,-300,300,-300
"20",595,"Washington",2007-12-09,66.6666666666667,100,100,-100,100,-100,100,100,-100,100,532.113558633618,600,400,-300,300,500,-500,-200,200,-200
"21",611,"Washington",2007-12-11,25,100,100,-100,100,-100,100,100,-100,100,557.113558633618,700,500,-400,400,400,-400,-100,100,-100
"22",648,"Washington",2007-12-13,220,100,100,-100,100,-100,100,100,-100,100,777.113558633618,800,600,-500,500,300,-300,0,0,0
"23",677,"Washington",2007-12-15,31.7460317460317,100,100,-100,100,-100,100,100,-100,100,808.859590379649,900,700,-600,600,200,-200,100,-100,100
"24",733,"Washington",2007-12-19,-100,-100,-100,-100,100,-100,100,-100,-100,100,708.859590379649,800,600,-700,700,100,-100,0,-200,200
"25",767,"Washington",2007-12-21,-100,-100,-100,-100,100,-100,100,-100,-100,100,608.859590379649,700,500,-800,800,0,0,-100,-300,300
"26",780,"Washington",2007-12-22,-100,-100,100,-100,100,-100,100,100,-100,100,508.859590379649,600,600,-900,900,-100,100,0,-400,400
"27",818,"Washington",2007-12-26,190,100,100,100,-100,100,-100,100,-100,100,698.859590379649,700,700,-800,800,0,0,100,-500,500
"28",846,"Washington",2007-12-28,-100,100,100,100,-100,100,-100,-100,100,-100,598.859590379649,800,800,-700,700,100,-100,0,-400,400
"29",867,"Washington",2007-12-29,28.5714285714286,100,100,-100,100,-100,100,100,-100,100,627.431018951078,900,900,-800,800,0,0,100,-500,500
"30",913,"Washington",2008-01-02,-100,-100,-100,100,-100,100,-100,-100,-100,100,527.431018951078,800,800,-700,700,100,-100,0,-600,600
"31",958,"Washington",2008-01-04,58.8235294117647,100,100,-100,100,-100,100,100,-100,100,586.254548362843,900,900,-800,800,0,0,100,-700,700
"32",977,"Washington",2008-01-06,25,100,100,-100,100,-100,100,100,-100,100,611.254548362843,1000,1000,-900,900,-100,100,200,-800,800
"33",1001,"Washington",2008-01-08,-100,-100,-100,-100,100,-100,100,-100,-100,100,511.254548362843,900,900,-1000,1000,-200,200,100,-900,900
"34",1048,"Washington",2008-01-11,120,100,100,100,-100,100,-100,-100,100,-100,631.254548362843,1000,1000,-900,900,-100,100,0,-800,800
"35",1067,"Washington",2008-01-12,250,100,100,-100,100,-100,100,100,-100,100,881.254548362843,1100,1100,-1000,1000,-200,200,100,-900,900
"36",1094,"Washington",2008-01-14,800,100,100,-100,100,-100,100,100,100,-100,1681.25454836284,1200,1200,-1100,1100,-300,300,200,-800,800
"37",1112,"Washington",2008-01-15,-100,-100,-100,100,-100,100,-100,-100,100,-100,1581.25454836284,1100,1100,-1000,1000,-200,200,100,-700,700
"38",1145,"Washington",2008-01-18,23.5294117647059,100,100,100,-100,100,-100,100,-100,100,1604.78396012755,1200,1200,-900,900,-100,100,200,-800,800
"39",1189,"Washington",2008-01-21,160,100,100,-100,100,-100,100,100,100,-100,1764.78396012755,1300,1300,-1000,1000,-200,200,300,-700,700
"40",1222,"Washington",2008-01-23,-100,-100,-100,100,-100,100,-100,-100,100,-100,1664.78396012755,1200,1200,-900,900,-100,100,200,-600,600
"41",1249,"Washington",2008-01-25,21.2765957446809,100,100,-100,100,-100,100,-100,-100,100,1686.06055587223,1300,1300,-1000,1000,-200,200,100,-700,700
"42",1288,"Washington",2008-01-27,-100,-100,-100,100,-100,100,-100,-100,100,-100,1586.06055587223,1200,1200,-900,900,-100,100,0,-600,600
"43",1311,"Washington",2008-01-29,135,100,100,100,-100,100,-100,100,-100,100,1721.06055587223,1300,1300,-800,800,0,0,100,-700,700
"44",1330,"Washington",2008-01-30,-100,-100,-100,100,-100,100,-100,-100,100,-100,1621.06055587223,1200,1200,-700,700,100,-100,0,-600,600
"45",1359,"Washington",2008-02-01,-100,-100,-100,-100,100,-100,100,-100,100,-100,1521.06055587223,1100,1100,-800,800,0,0,-100,-500,500
"46",1389,"Washington",2008-02-03,-100,-100,-100,-100,100,-100,100,100,-100,100,1421.06055587223,1000,1000,-900,900,-100,100,0,-600,600
"47",1414,"Washington",2008-02-05,-100,-100,-100,100,-100,100,-100,-100,-100,100,1321.06055587223,900,900,-800,800,0,0,-100,-700,700
"48",1423,"Washington",2008-02-06,-100,-100,-100,-100,100,-100,100,-100,-100,100,1221.06055587223,800,800,-900,900,-100,100,-200,-800,800
"49",1470,"Washington",2008-02-08,-100,100,100,100,-100,100,-100,100,100,-100,1121.06055587223,900,900,-800,800,0,0,-100,-700,700
"50",1498,"Washington",2008-02-10,-100,100,100,100,-100,100,-100,100,100,-100,1021.06055587223,1000,1000,-700,700,100,-100,0,-600,600
"51",1512,"Washington",2008-02-11,-100,100,100,100,-100,100,-100,-100,-100,100,921.060555872229,1100,1100,-600,600,200,-200,-100,-700,700
"52",1552,"Washington",2008-02-13,135,100,100,-100,100,-100,100,-100,100,-100,1056.06055587223,1200,1200,-700,700,100,-100,-200,-600,600
"53",1557,"Washington",2008-02-19,-100,-100,-100,100,-100,100,-100,-100,-100,100,956.060555872229,1100,1100,-600,600,200,-200,-300,-700,700
"54",1602,"Washington",2008-02-22,-100,100,100,-100,100,-100,100,100,-100,100,856.060555872229,1200,1200,-700,700,100,-100,-200,-800,800
"55",1621,"Washington",2008-02-23,28.5714285714286,100,100,100,-100,100,-100,100,100,-100,884.631984443658,1300,1300,-600,600,200,-200,-100,-700,700
"56",1654,"Washington",2008-02-25,625,100,100,-100,100,-100,100,100,-100,100,1509.63198444366,1400,1400,-700,700,100,-100,0,-800,800
"57",1674,"Washington",2008-02-26,-100,-100,-100,-100,100,-100,100,100,-100,100,1409.63198444366,1300,1300,-800,800,0,0,100,-900,900
"58",1714,"Washington",2008-02-28,220,100,100,-100,100,-100,100,100,-100,100,1629.63198444366,1400,1400,-900,900,-100,100,200,-1000,1000
"59",1751,"Washington",2008-03-02,285,100,100,-100,100,-100,100,100,-100,100,1914.63198444366,1500,1500,-1000,1000,-200,200,300,-1100,1100
"60",1785,"Washington",2008-03-05,-100,-100,-100,100,-100,100,-100,-100,100,-100,1814.63198444366,1400,1400,-900,900,-100,100,200,-1000,1000
"61",1816,"Washington",2008-03-07,230,100,100,100,-100,100,-100,-100,-100,100,2044.63198444366,1500,1500,-800,800,0,0,100,-1100,1100
"62",1843,"Washington",2008-03-08,-100,-100,-100,100,-100,100,-100,-100,-100,100,1944.63198444366,1400,1400,-700,700,100,-100,0,-1200,1200
